interaction_id,type_ped,type_cyc,ids_ped,ids_cyc,start_frame,end_frame,start_time_s,end_time_s,duration_s,interaction_label,direction,approach,position,distance,dist_mean,dist_min,speed,speed_mean,in_hull,split,density_ped_evolution,mean_density_ped,std_density_ped,min_density_ped,max_density_ped,trend_density_ped,density_cyc_evolution,mean_density_cyc,std_density_cyc,min_density_cyc,max_density_cyc,trend_density_cyc,pet,pet_val,ttac,ttac_min,risk,risk_score,speed_var_ped,speed_var_cyc,spatial_var_ped,spatial_var_cyc,most_reactive_agent,recording
0.0,ped_noise,cyc_noise,[41],[34],3378.0,3412.0,135.12,136.48,1.36,AVOIDANCE,OPPOSITE_DIRECTION,APPROACH_AND_ESCAPE,RIGHT,CLOSE,3.2405101926633195,2.0481520685366963,VERY_FAST,23.84190920631644,,,,,,,,,,,,,,,LOW,15.04,None,,MEDIUM,3.0,STABLE,ACCELERATING,LINEAR,LINEAR,ped,00_tracks.csv
1.0,ped_noise,cyc_noise,[358],[361],22527.0,22561.0,901.08,902.44,1.36,AVOIDANCE,OPPOSITE_DIRECTION,APPROACH_AND_ESCAPE,RIGHT,CRITICAL_PROXIMITY,2.7559612289151914,1.1268218413422812,VERY_FAST,25.119765527249967,,,,,,,,,,,,,,,LOW,15.12,None,,MEDIUM,3.0,STABLE,ACCELERATING,LINEAR,LINEAR,cyc,00_tracks.csv
2.0,ped_cluster,cyc_noise,"[336, 338]",[361],22593.0,22643.0,903.72,905.72,2.0,OVERTAKING_GROUP,SAME_DIRECTION,,BEHIND,CRITICAL_PROXIMITY,2.854086868770588,1.3919492928754178,FAST,18.118033203775365,False,False,STABLE,0.0,0.0,0.0,0.0,0.0,STABLE,0.0,0.0,0.0,0.0,0.0,,,,,HIGH,2.0,,,,,,00_tracks.csv
3.0,ped_noise,cyc_noise,[338],[376],23581.0,23586.0,943.24,943.44,0.2,AVOIDANCE,OPPOSITE_DIRECTION,APPROACH_AND_ESCAPE,RIGHT,MODERATE_DISTANCE,4.647408106846534,4.526206648770226,VERY_FAST,57.461331423866305,,,,,,,,,,,,,,,None,,None,,LOW,2.0,STABLE,ACCELERATING,LINEAR,LINEAR,cyc,00_tracks.csv
0.0,ped_noise,cyc_noise,[128],[133],9723.0,9752.0,388.92,390.08,1.16,AVOIDANCE,OPPOSITE_DIRECTION,APPROACH_AND_ESCAPE,LEFT,CLOSE,3.108382270422111,1.834485853887878,VERY_FAST,28.480845206850127,,,,,,,,,,,,,,,LOW,17.8,None,,MEDIUM,3.0,STABLE,DECELERATING,LINEAR,LINEAR,cyc,01_tracks.csv
1.0,ped_noise,cyc_noise,[129],[133],9733.0,9761.0,389.32,390.44,1.12,AVOIDANCE,OPPOSITE_DIRECTION,APPROACH_AND_ESCAPE,LEFT,CRITICAL_PROXIMITY,2.7873030195433626,1.128379790667149,VERY_FAST,30.845261636563574,,,,,,,,,,,,,,,LOW,25.84,None,,MEDIUM,3.0,ACCELERATING,ACCELERATING,LINEAR,LINEAR,cyc,01_tracks.csv
2.0,ped_noise,cyc_noise,[263],[267],17866.0,17906.0,714.64,716.24,1.6,AVOIDANCE,OPPOSITE_DIRECTION,APPROACH_AND_ESCAPE,LEFT,CRITICAL_PROXIMITY,2.708741500800084,0.9525726627247235,VERY_FAST,21.745438834605082,,,,,,,,,,,,,,,LOW,5.48,None,,MEDIUM,3.0,DECELERATING,DECELERATING,LINEAR,LINEAR,cyc,01_tracks.csv
3.0,ped_noise,cyc_noise,[268],[267],17953.0,18002.0,718.12,720.08,1.96,OVERTAKING,SAME_DIRECTION,APPROACH_AND_ESCAPE,LEFT,CLOSE,3.1423065292041836,1.9449535282202546,FAST,16.59392886162208,,,,,,,,,,,,,,,MEDIUM,3.72,LOW,22.878458221415812,MEDIUM,3.0,STABLE,STABLE,LINEAR,LINEAR,cyc,01_tracks.csv
0.0,ped_noise,cyc_noise,[11],[32],1277.0,1323.0,51.08,52.92,1.84,OVERTAKING,SAME_DIRECTION,APPROACH_AND_ESCAPE,RIGHT,CRITICAL_PROXIMITY,2.842381611403957,1.3091861598802261,FAST,18.527263235422744,,,,,,,,,,,,,,,LOW,20.32,LOW,4080.5584652196776,LOW,2.0,STABLE,DECELERATING,LINEAR,LINEAR,cyc,02_tracks.csv
1.0,ped_noise,cyc_noise,[130],[129],5994.0,6103.0,239.76,244.12,4.36,OVERTAKING,SAME_DIRECTION,APPROACH_AND_ESCAPE,RIGHT,CRITICAL_PROXIMITY,0.719217522713606,0.07715953622419154,MODERATE,1.5844728770019465,,,,,,,,,,,,,,,CRITICAL,0.16,CRITICAL,0.09090199543078324,CRITICAL,7.0,UNKNOWN,DECELERATING,LINEAR,LINEAR,ped,02_tracks.csv
