interaction_id,type_ped,type_cyc,ids_ped,ids_cyc,start_frame,end_frame,start_time_s,end_time_s,duration_s,interaction_label,direction,approach,position,distance,dist_mean,dist_min,speed,speed_mean,in_hull,split,density_ped_evolution,mean_density_ped,std_density_ped,min_density_ped,max_density_ped,trend_density_ped,density_cyc_evolution,mean_density_cyc,std_density_cyc,min_density_cyc,max_density_cyc,trend_density_cyc,pet,pet_val,ttac,ttac_min,risk,risk_score,speed_var_ped,speed_var_cyc,spatial_var_ped,spatial_var_cyc,most_reactive_agent,recording
0,ped_noise,cyc_noise,[152],[1],143,144,71.5,72.0,0.5,AVOIDANCE,OPPOSITE_DIRECTION,LATERAL_APPROACH,LEFT,CLOSE,2.4843104321224594,2.0899126739519405,VERY_FAST,19.2461188306402,,,,,,,,,,,,,,,None,,None,,MEDIUM,3,UNKNOWN,DECELERATING,LINEAR,LINEAR,both,D1_trajectory.csv
1,ped_noise,cyc_noise,[25],[26],443,446,221.5,223.0,1.5,MOVING_AWAY,SAME_DIRECTION,MOVING_AWAY,FRONT,CLOSE,3.246519363873755,2.1198889911416448,MODERATE,10.041649429834086,,,,,,,,,,,,,,,LOW,21.5,LOW,17.791844605684325,LOW,0,DECELERATING,UNKNOWN,LINEAR,LINEAR,cyc,D1_trajectory.csv
2,ped_cluster,cyc_noise,"[22, 23]",[26],454,458,227.0,229.0,2.0,OVERTAKING_GROUP,SAME_DIRECTION,,BEHIND,CLOSE,3.4303602320242725,2.611195392153097,MODERATE,12.021697486307861,False,False,STABLE,0.0,0.0,0.0,0.0,0.0,STABLE,0.0,0.0,0.0,0.0,0.0,,,,,LOW,0,,,,,,D1_trajectory.csv
3,ped_cluster,cyc_noise,"[20, 21]",[26],457,464,228.5,232.0,3.5,OVERTAKING_GROUP,SAME_DIRECTION,,BEHIND,CLOSE,3.4140437664903196,2.156500086788646,MODERATE,9.30303842057492,False,False,STABLE,0.0,0.0,0.0,0.0,0.0,STABLE,0.0,0.0,0.0,0.0,0.0,,,,,LOW,0,,,,,,D1_trajectory.csv
4,ped_cluster,cyc_noise,"[169, 170]",[171],554,561,277.0,280.5,3.5,OVERTAKING_GROUP,SAME_DIRECTION,,LEFT,CRITICAL_PROXIMITY,2.919457273013082,1.3253570138317308,MODERATE,9.432229923469052,False,False,STABLE,0.0,0.0,0.0,0.0,0.0,STABLE,0.0,0.0,0.0,0.0,0.0,,,,,MEDIUM,1,,,,,,D1_trajectory.csv
5,ped_noise,cyc_noise,[168],[171],558,563,279.0,281.5,2.5,OVERTAKING,SAME_DIRECTION,APPROACH_AND_ESCAPE,LEFT,CLOSE,2.9604834385530197,1.8123372128086586,MODERATE,11.034984832726769,,,,,,,,,,,,,,,LOW,18.0,None,,LOW,0,STABLE,UNKNOWN,LINEAR,LINEAR,cyc,D1_trajectory.csv
6,ped_noise,cyc_noise,[166],[171],566,569,283.0,284.5,1.5,OVERTAKING,SAME_DIRECTION,APPROACH_AND_ESCAPE,LEFT,MODERATE_DISTANCE,4.099989001930889,3.6352732144507613,MODERATE,11.747942416308339,,,,,,,,,,,,,,,LOW,21.5,LOW,536.8984821767275,LOW,0,STABLE,DECELERATING,LINEAR,LINEAR,cyc,D1_trajectory.csv
7,ped_noise,cyc_noise,[28],[171],576,578,288.0,289.0,1.0,AVOIDANCE,DIVERGING,FRONTAL_APPROACH,RIGHT,CLOSE,3.1803348238671063,2.4407561781095275,VERY_FAST,18.54380397663928,,,,,,,,,,,,,,,LOW,48.0,None,,MEDIUM,3,UNKNOWN,ACCELERATING,LINEAR,LINEAR,ped,D1_trajectory.csv
8,ped_noise,cyc_noise,[67],[205],1070,1073,535.0,536.5,1.5,AVOIDANCE,OPPOSITE_DIRECTION,LATERAL_APPROACH,RIGHT,CLOSE,3.136506996687927,2.0979636949262543,FAST,15.635521364678462,,,,,,,,,,,,,,,HIGH,1.0,None,,MEDIUM,4,DECELERATING,UNKNOWN,LINEAR,LINEAR,cyc,D1_trajectory.csv
9,ped_noise,cyc_noise,[68],[205],1073,1076,536.5,538.0,1.5,AVOIDANCE,OPPOSITE_DIRECTION,LATERAL_APPROACH,RIGHT,CLOSE,3.304002331716606,2.2562693602118915,FAST,16.287178095391674,,,,,,,,,,,,,,,None,,None,,LOW,2,STABLE,UNKNOWN,LINEAR,LINEAR,ped,D1_trajectory.csv
10,ped_cluster,cyc_noise,"[203, 204]",[205],1079,1084,539.5,542.0,2.5,OVERTAKING_GROUP,SAME_DIRECTION,,FRONT,MODERATE_DISTANCE,3.888489896906267,3.2409492932064494,MODERATE,9.170691992267882,False,False,STABLE,0.0,0.0,0.0,0.0,0.0,STABLE,0.0,0.0,0.0,0.0,0.0,,,,,LOW,0,,,,,,D1_trajectory.csv
11,ped_noise,cyc_noise,[69],[205],1081,1084,540.5,542.0,1.5,AVOIDANCE,OPPOSITE_DIRECTION,APPROACH_AND_ESCAPE,RIGHT,CLOSE,3.3646965440528014,1.8449904219584476,VERY_FAST,20.430570385394617,,,,,,,,,,,,,,,LOW,9.0,None,,MEDIUM,3,DECELERATING,ACCELERATING,LINEAR,LINEAR,cyc,D1_trajectory.csv
12,ped_noise,cyc_noise,[210],[82],1244,1245,622.0,622.5,0.5,AVOIDANCE,OPPOSITE_DIRECTION,LATERAL_APPROACH,LEFT,MODERATE_DISTANCE,4.457182207187413,4.120995896953165,VERY_FAST,22.945913357378124,,,,,,,,,,,,,,,None,,None,,LOW,2,DECELERATING,DECELERATING,LINEAR,LINEAR,both,D1_trajectory.csv
13,ped_noise,cyc_cluster,[87],"[88, 89]",1330,1331,665.0,665.5,0.5,OVERTAKING_GROUP,SAME_DIRECTION,,BEHIND,MODERATE_DISTANCE,3.5220181586479957,3.053853632764856,MODERATE,11.502121388496478,False,False,STABLE,0.0,0.0,0.0,0.0,0.0,STABLE,0.0,0.0,0.0,0.0,0.0,,,,,LOW,0,,,,,,D1_trajectory.csv
14,ped_cluster,cyc_cluster,"[83, 84, 85, 86]","[88, 89]",1332,1336,666.0,668.0,2.0,GROUP_SPLIT,SAME_DIRECTION,,BEHIND,CRITICAL_PROXIMITY,2.0758902127091536,1.3404427489892512,MODERATE,11.876656321000752,False,True,DISPERSED,2.915461636389874,0.8052830989923899,2.1200458919871554,4.397521254899844,-0.5260857304130561,STABLE,0.0,0.0,0.0,0.0,0.0,,,,,MEDIUM,1,,,,,,D1_trajectory.csv
15,ped_cluster,cyc_noise,"[92, 93]",[94],1423,1425,711.5,712.5,1.0,OVERTAKING_GROUP,SAME_DIRECTION,,BEHIND,MODERATE_DISTANCE,3.9432787101820828,3.7508142134011297,MODERATE,8.861481719220667,False,False,STABLE,0.0,0.0,0.0,0.0,0.0,STABLE,0.0,0.0,0.0,0.0,0.0,,,,,LOW,0,,,,,,D1_trajectory.csv
16,ped_noise,cyc_noise,[91],[94],1437,1440,718.5,720.0,1.5,OVERTAKING,SAME_DIRECTION,APPROACH_AND_ESCAPE,RIGHT,MODERATE_DISTANCE,4.7011380338471875,4.62969416864769,MODERATE,9.300377305915339,,,,,,,,,,,,,,,None,,LOW,18.18839279560498,LOW,0,DECELERATING,STABLE,LINEAR,LINEAR,cyc,D1_trajectory.csv
17,ped_noise,cyc_noise,[213],[94],1442,1443,721.0,721.5,0.5,AVOIDANCE,OPPOSITE_DIRECTION,FRONTAL_APPROACH,LEFT,MODERATE_DISTANCE,4.116942327433382,4.08681730081436,VERY_FAST,21.607708283848456,,,,,,,,,,,,,,,None,,None,,LOW,2,ACCELERATING,DECELERATING,LINEAR,LINEAR,both,D1_trajectory.csv
18,ped_noise,cyc_noise,[214],[94],1443,1445,721.5,722.5,1.0,AVOIDANCE,OPPOSITE_DIRECTION,APPROACH_AND_ESCAPE,LEFT,MODERATE_DISTANCE,4.061905373970422,3.2729602099837303,VERY_FAST,22.68153071542982,,,,,,,,,,,,,,,None,,None,,LOW,2,DECELERATING,ACCELERATING,LINEAR,LINEAR,cyc,D1_trajectory.csv
19,ped_noise,cyc_noise,[97],[98],1445,1448,722.5,724.0,1.5,OVERTAKING,SAME_DIRECTION,APPROACH_AND_ESCAPE,RIGHT,MODERATE_DISTANCE,4.04029750023224,3.4715841236560148,FAST,15.697938143466246,,,,,,,,,,,,,,,LOW,4.0,None,,LOW,1,DECELERATING,UNKNOWN,LINEAR,LINEAR,cyc,D1_trajectory.csv
20,ped_cluster,cyc_noise,"[92, 93]",[98],1454,1457,727.0,728.5,1.5,OVERTAKING_GROUP,SAME_DIRECTION,,BEHIND,MODERATE_DISTANCE,3.8622490955205855,3.4461425317576464,FAST,14.049059942734653,False,False,STABLE,0.0,0.0,0.0,0.0,0.0,STABLE,0.0,0.0,0.0,0.0,0.0,,,,,MEDIUM,1,,,,,,D1_trajectory.csv
21,ped_cluster,cyc_noise,"[92, 93]",[215],1482,1486,741.0,743.0,2.0,BYPASSING_GROUP,OPPOSITE_DIRECTION,,LEFT,CLOSE,2.915093711670357,1.6721372169876862,MODERATE,1.7627264578023591,False,False,STABLE,0.0,0.0,0.0,0.0,0.0,STABLE,0.0,0.0,0.0,0.0,0.0,,,,,LOW,0,,,,,,D1_trajectory.csv
22,ped_cluster,cyc_noise,"[216, 217, 218]",[215],1483,1488,741.5,744.0,2.5,OVERTAKING_GROUP,SAME_DIRECTION,,RIGHT,CLOSE,3.6855734119598473,2.475447712879605,MODERATE,3.4607507635744845,False,False,DENSER,8.88597613665634,6.689449938479958,0.0,17.78356753882797,7.367057845699027,STABLE,0.0,0.0,0.0,0.0,0.0,,,,,LOW,0,,,,,,D1_trajectory.csv
23,ped_cluster,cyc_noise,"[96, 95]",[215],1485,1490,742.5,745.0,2.5,BYPASSING_GROUP,OPPOSITE_DIRECTION,,FRONT,CRITICAL_PROXIMITY,2.643948559416924,0.8283206875404856,MODERATE,2.338286298143586,False,False,STABLE,0.0,0.0,0.0,0.0,0.0,STABLE,0.0,0.0,0.0,0.0,0.0,,,,,MEDIUM,1,,,,,,D1_trajectory.csv
24,ped_noise,cyc_noise,[134],[240],2051,2052,1025.5,1026.0,0.5,AVOIDANCE,OPPOSITE_DIRECTION,FRONTAL_APPROACH,RIGHT,MODERATE_DISTANCE,4.630635196564969,4.533576017127615,VERY_FAST,25.24687417510428,,,,,,,,,,,,,,,None,,None,,LOW,2,DECELERATING,ACCELERATING,LINEAR,LINEAR,both,D1_trajectory.csv
25,ped_cluster,cyc_noise,"[238, 239]",[136],2051,2053,1025.5,1026.5,1.0,BYPASSING_GROUP,OPPOSITE_DIRECTION,,FRONT,CLOSE,3.0433764961999885,1.6946265458242211,FAST,13.993891973480899,False,False,STABLE,0.0,0.0,0.0,0.0,0.0,STABLE,0.0,0.0,0.0,0.0,0.0,,,,,HIGH,2,,,,,,D1_trajectory.csv
26,ped_noise,cyc_noise,[135],[240],2052,2053,1026.0,1026.5,0.5,AVOIDANCE,OPPOSITE_DIRECTION,FRONTAL_APPROACH,RIGHT,MODERATE_DISTANCE,4.664575013544443,4.590372740408227,VERY_FAST,25.71472293002804,,,,,,,,,,,,,,,LOW,25.0,None,,LOW,2,ACCELERATING,DECELERATING,LINEAR,LINEAR,both,D1_trajectory.csv
27,ped_noise,cyc_noise,[242],[241],2054,2056,1027.0,1028.0,1.0,AVOIDANCE,OPPOSITE_DIRECTION,FRONTAL_APPROACH,LEFT,CLOSE,3.0723895170831512,2.2353363121662735,VERY_FAST,20.036354268550134,,,,,,,,,,,,,,,LOW,10.0,None,,MEDIUM,3,UNKNOWN,STABLE,LINEAR,LINEAR,ped,D1_trajectory.csv
28,ped_noise,cyc_noise,[135],[136],2062,2063,1031.0,1031.5,0.5,OVERTAKING,SAME_DIRECTION,LATERAL_APPROACH,RIGHT,MODERATE_DISTANCE,4.87332238569536,4.845130619267871,MODERATE,11.985705502920004,,,,,,,,,,,,,,,LOW,14.5,LOW,24.346428179226404,LOW,0,ACCELERATING,DECELERATING,LINEAR,LINEAR,both,D1_trajectory.csv
29,ped_noise,cyc_noise,[134],[136],2063,2065,1031.5,1032.5,1.0,FOLLOWING,SAME_DIRECTION,FRONTAL_APPROACH,RIGHT,MODERATE_DISTANCE,4.3616857420259265,3.9089469532787904,MODERATE,12.446239531179232,,,,,,,,,,,,,,,None,,LOW,19.245001941766336,LOW,0,DECELERATING,ACCELERATING,LINEAR,LINEAR,cyc,D1_trajectory.csv
30,ped_noise,cyc_noise,[242],[136],2064,2065,1032.0,1032.5,0.5,AVOIDANCE,OPPOSITE_DIRECTION,FRONTAL_APPROACH,LEFT,CLOSE,2.857576331803064,2.761634310078667,VERY_FAST,22.67971864610466,,,,,,,,,,,,,,,LOW,17.0,None,,MEDIUM,3,DECELERATING,ACCELERATING,LINEAR,LINEAR,both,D1_trajectory.csv
