time_step	object_id	x_m	y_m
0	6	19.831000000000003	13.469999999999999
1	6	21.075780185430464	13.435665350993377
2	6	22.928226650516933	13.401452262113065
3	6	24.98904826473412	13.398663295383308
4	6	27.18738013015999	13.37745294470131
5	6	29.530249093839817	13.375749476882639
6	6	31.91365213060795	13.462256370568648
7	6	34.33551467265955	13.684711554041767
8	6	36.79892728496007	13.966047046684075
9	6	39.304376907691065	14.190450290885485
10	6	41.796385064108534	14.181865515510413
11	6	44.28217175397861	14.058337938777994
12	6	46.631311432966434	13.877336467209199
13	6	49.147666389514924	13.667948171128256
14	6	51.579828432623835	13.494454930631603
15	6	54.05750734926908	13.355863456948912
16	6	56.45084123160325	13.283625308411679
0	5	22.287	13.3665
1	5	23.485956953642383	13.40573348344371
2	5	25.529082112566545	13.502221459168647
3	5	27.827666086897903	13.565486468776504
4	5	30.20333433462726	13.624011391188366
5	5	32.57285156967608	13.750661487033057
6	5	35.0293801562031	14.07435565205776
7	5	37.40081762946939	14.499387557767383
8	5	39.45251912371284	14.883012811534641
9	5	41.76942423792223	15.094773062585618
10	5	44.08950517482336	15.048608134491813
11	5	46.49286156584391	14.75775279157925
12	5	48.68442317924978	14.415477985437782
13	5	50.907206302048145	14.07930107669298
14	5	53.13767748420453	13.78794922460182
15	5	55.37117918882996	13.53252893372701
0	1	18.609	13.725999999999999
1	1	19.206176211920532	13.646366516556292
2	1	20.207776920117254	13.603293817494226
3	1	21.43407859603481	13.554621959715146
4	1	22.811272955460673	13.54902770846804
5	1	24.10523126400668	13.552337168313077
6	1	25.63654354379044	13.645119862311011
7	1	27.18218016309634	13.833193080475494
8	1	28.68217818794052	14.09526396960588
9	1	30.230715785874462	14.430847341063531
10	1	31.808589042017385	14.751172465062671
11	1	33.40591027555268	15.063403894074849
12	1	34.99874637919029	15.319229615136294
13	1	36.669726245507675	15.51557626808726
14	1	38.373718027151455	15.63360663462009
15	1	40.08711383132709	15.671472625193175
16	1	41.777715289005464	15.53675934329235
17	1	43.4536473748692	15.297632296494568
18	1	45.076625723634095	14.973873537736228
19	1	46.68741893181929	14.590355156475141
20	1	48.294450737614625	14.194835775889565
21	1	49.886588294012114	13.819237692243263
22	1	51.44817337291166	13.510539551664813
23	1	53.00942060226553	13.29125329269743
24	1	54.54764865400013	13.118619693478998
25	1	56.08119209085131	12.958124586331586
26	1	57.58076644218968	12.764083526678073
0	3	59.9065	13.051
1	3	58.95149617218543	13.070301033112582
2	3	57.529094795636176	13.147137981824006
3	3	55.58386877396319	13.233046029168706
4	3	53.46947059187941	13.27675833754623
5	3	51.349218597077105	13.298776003073998
6	3	49.09166075976285	13.328904586509783
7	3	46.7123834469405	13.384596470941005
8	3	44.25484203705903	13.523649320487362
9	3	41.71611538809955	13.768169275256398
10	3	39.10771885070114	13.978154440296121
11	3	36.453829082213566	14.051323920081336
12	3	33.77632652879964	14.000233447677056
13	3	31.05164037968599	13.890440548768673
14	3	28.324247508854366	13.7502883176129
15	3	25.60452212567944	13.627960424771553
16	3	22.92001484758728	13.549939319739027
17	3	20.25180965184532	13.512617360142103
18	3	17.648292291199922	13.524556507578534
0	2	60.2685	13.753
1	2	59.204900437086096	13.786109271523179
2	2	57.36693757241089	13.670096556423653
3	2	55.16284870539089	13.537117499745516
4	2	52.81123137763187	13.42583409875471
5	2	50.39012096931634	13.355990807061481
6	2	47.907316334326815	13.25191925267327
7	2	45.398901645214686	13.045445064208995
8	2	42.896295992952744	12.688704268392671
9	2	40.37210986020165	12.308191283604266
10	2	37.904745802178255	12.03906902754008
11	2	35.47967089326388	12.043667201651935
12	2	32.94492802814857	12.334187949189532
13	2	30.39806585615087	12.642592970204232
14	2	27.807347357700802	12.903799905035068
15	2	25.185856548192582	13.11635256251511
16	2	22.5531628783508	13.269764440568261
17	2	19.915663928286907	13.344857348521383
18	2	17.274647393055705	13.36912143184864
0	2	59.9845	13.685500000000001
1	2	59.363067735099335	13.696347801324503
2	2	58.16785337861898	13.700656735396008
3	2	56.72362908173597	13.64613250776748
4	2	55.159611458177075	13.6146817235387
5	2	53.53567048675833	13.595179767480753
6	2	51.70670152125568	13.680917963957755
7	2	50.1162388052149	13.806182153514792
8	2	48.52199564441976	13.987504620003241
9	2	46.79871226671038	14.238341287515665
10	2	45.089603059711344	14.503969821349223
11	2	43.326653227551404	14.769861939681283
12	2	41.51906883058619	14.991964202046994
13	2	39.70948848869524	15.137193370867312
14	2	37.924535360749594	15.167120664272778
15	2	36.10833832993105	15.07653042176234
16	2	34.27550422187442	14.870742737561672
17	2	32.441440550430656	14.581209070759348
18	2	30.596001546106553	14.257582546618297
19	2	28.744755371276607	13.95109618324034
20	2	26.864822436641962	13.715686621810509
21	2	24.99567662825211	13.556174812531435
22	2	23.137686664446495	13.488808432758109
23	2	21.29090823904592	13.503595898174762
24	2	19.465826873872377	13.580998064684579
25	2	17.64772048067062	13.67872697557057
0	1	16.810499999999998	13.4025
1	1	17.97472499337748	13.394369165562914
2	1	19.810385596314156	13.364798846425224
3	1	21.92171582183876	13.340212558652556
4	1	24.138413177691632	13.294828291257314
5	1	26.446818672564344	13.27257976700897
6	1	28.829412975349292	13.253450639395822
7	1	31.302649288285153	13.207236633262513
8	1	33.83033344455082	13.075994616794912
9	1	36.396912137254986	12.839249641245587
10	1	38.98639568513659	12.563918376995007
11	1	41.60040052707522	12.398644730133611
12	1	44.224901700662265	12.409295691753002
0	2	17.027	13.6585
1	2	18.293370105960268	13.67210757615894
2	2	20.329948220059492	13.623438509930573
3	2	22.73136914460636	13.575683305275767
4	2	25.273020547267244	13.542875696412622
5	2	27.94698197609357	13.528439221883827
6	2	30.573173504490736	13.593574204273198
7	2	33.14751419131661	13.76139776413638
8	2	35.67104186344143	14.079026894384986
9	2	38.18537647082771	14.515968195101305
10	2	40.87330743764347	14.931050287265588
11	2	43.591959696848136	15.160895052006138
12	2	46.227493216659624	15.050546768877913
13	2	48.604627645237116	14.784728701888838
14	2	50.99993180915292	14.40315769586564
15	2	53.43606948264575	14.042301844516816
16	2	55.860428261367716	13.704743036202935
17	2	58.374952358758215	13.05369479816257
0	3	16.2205	12.9585
1	3	17.09473459602649	13.024517880794704
2	3	18.59565110934977	13.101365958712648
3	3	20.166385963049123	13.135972861624023
4	3	21.75305301871892	13.160523306459675
5	3	23.319862317642038	13.13922776023265
6	3	24.90327913232043	13.080147119754145
7	3	26.523908450183992	12.972249351464278
8	3	28.183574188360268	12.813977012305104
9	3	29.815307139706455	12.626504150956457
10	3	31.62211568239106	12.367438002020219
11	3	33.291023668434086	12.116943658813112
12	3	35.15869132390863	11.856334644613392
13	3	36.85285952176743	11.617159159445503
14	3	38.69763818553657	11.429453213453275
15	3	40.51520792964679	11.30897330869895
16	3	41.92984954387349	11.280735345914204
17	3	43.771655152822795	11.38390847954371
18	3	45.494645441536434	11.567992056135392
19	3	47.32864018946773	11.902366027681166
20	3	49.131662442691834	12.271579441700323
21	3	50.6803929161102	12.61032458006076
22	3	52.15752338417677	12.89364413698228
23	3	53.98752296074867	13.045860162494566
24	3	55.758484411532464	13.101456716611503
25	3	57.36361669320067	13.077874588433621
26	3	58.79368941018819	12.963001808800254
2	23	51.051484	13.417712
3	23	49.76423030463576	13.417281245033113
4	23	47.880804126945286	13.41666192779066
5	23	45.76121258752736	13.497166391693844
6	23	43.47671627011966	13.824275906835377
7	23	41.45163694160987	14.153297180514818
8	23	39.26030789039613	14.406525633106295
9	23	36.978224672513335	14.523246528881986
10	23	34.573444775027276	14.474472303795404
11	23	32.11145757594059	14.292011184033427
12	23	29.644934135088505	14.080837813029786
13	23	27.134342645809465	13.87162332384057
14	23	24.61875012810801	13.702496644457618
15	23	22.100203734511446	13.562996245568542
16	23	19.595606441706103	13.465515662259929
17	23	17.126760299243347	13.420341238008492
0	2	60.3055	13.8235
1	2	59.4016918013245	13.778543629139072
2	2	57.5154101832985	13.679295109207864
3	2	55.169871634244096	13.593956165968608
4	2	52.64394244970725	13.475247708350855
5	2	50.1159642200462	13.351198782326795
6	2	47.52000940329039	13.16240099831759
7	2	44.87664531127165	12.854665026002356
8	2	42.19665729954193	12.472770250694914
9	2	39.46451346908238	12.183760656506523
10	2	36.765837400907365	12.113635622943361
11	2	34.0622941424774	12.281102404970671
12	2	31.359259875207552	12.557208134452429
13	2	28.653129047806868	12.825306791829503
14	2	25.944985345133052	13.04914126959454
15	2	23.263568164815517	13.249799013247644
16	2	20.587051640355664	13.462796373775276
17	2	17.933686266922322	13.683575018493785
0	2	59.6845	13.6265
1	2	58.819209589403975	13.596686940397351
2	2	57.92351337891258	13.614509800236146
3	2	56.73593617252469	13.581536493357774
4	2	55.394430098705044	13.549881868955586
5	2	53.952058654912626	13.56973106489031
6	2	52.44947580190119	13.63372096309525
7	2	50.91614170678111	13.828283130422255
8	2	49.329085271833016	14.094018431227607
9	2	47.69880331622583	14.41561105779781
10	2	46.02145312462007	14.749203610214257
11	2	44.31917579099372	15.060246661403191
12	2	42.64503674573383	15.3363588981352
13	2	40.92369368795629	15.536743639833377
14	2	39.161440963871165	15.642468048215672
15	2	37.381186085381245	15.62188902585638
16	2	35.59180684073305	15.472496968139456
17	2	33.80860162846674	15.186136574486774
18	2	32.03377038524881	14.796396450064794
19	2	30.249633143688563	14.369700944874884
20	2	28.45879340218718	13.996629458703879
21	2	26.66340641553992	13.720836168485688
22	2	24.882750282109217	13.552751302183944
23	2	23.11396920797909	13.47587206015313
24	2	21.369179548880247	13.4788288643335
25	2	19.638014111184116	13.557030060590272
26	2	17.913235375216594	13.68770691204107
27	2	16.1355922410375	13.852125242446137
13	1	16.187008	12.603728
14	1	16.89399462251656	13.255939178807948
15	1	18.50831824592663	13.600738849531288
16	1	20.452104726760105	13.741324154656875
17	1	22.494351429468598	13.751059798811644
18	1	24.47819947227333	13.784023548343148
19	1	26.66430176688416	13.960566481628012
20	1	28.97111881581875	14.237935423946256
21	1	31.401426799539713	14.428369052890933
22	1	33.955935497226506	14.415436328882484
23	1	36.61064745824435	14.235706692224943
24	1	39.26110779766883	14.042436224831395
25	1	41.97376288527327	13.86949589629937
26	1	44.78338289353582	13.709482183810024
27	1	47.599188997124806	13.562056137665449
28	1	50.374016771857974	13.46466633577988
29	1	53.15701945308156	13.41033317932096
30	1	55.79143230512208	13.392584018568945
11	1	16.404222	11.571536
12	1	17.252018675496693	12.06373909933775
13	1	18.83703726606874	12.67467059395902
14	1	20.79016077533483	13.107333712074254
15	1	22.95036413044626	13.407685230383498
16	1	25.312551036307738	13.759431922166764
17	1	27.69792378050943	14.219192107619659
18	1	30.127569090218312	14.697155552261123
19	1	32.58913015385996	14.95162774014538
20	1	35.086864272120515	14.930937427628335
21	1	37.56679452279821	14.749215235876157
22	1	40.07139577590926	14.486535561438115
23	1	42.605812307096315	14.198505914313355
24	1	45.145628302412845	13.915444383832945
25	1	47.672685541055436	13.681407448138334
26	1	50.19180708457524	13.493305462380219
27	1	52.684243667787385	13.345650378860014
28	1	55.14883926089345	13.208602087247831
29	1	57.545099556815096	12.986658759789739
9	1	17.344932	13.579946
10	1	18.319139205298015	13.550471390728477
11	1	19.712536624797817	13.553166181786041
12	1	21.07323471836023	13.649523109142324
13	1	22.406955899569247	13.857098095117346
14	1	23.95976662763691	14.23265474037568
15	1	25.456308924011793	14.63048019740211
16	1	26.931822195658462	14.98132302375163
17	1	28.468849263181855	15.247145147233875
18	1	30.09860668032617	15.41653269236354
19	1	31.72326050927864	15.424444188997999
20	1	33.395419377222474	15.230580449827913
21	1	34.913233318463114	14.940058286554489
22	1	36.471007241969545	14.553997993703206
23	1	38.08295337769796	14.174821199909431
24	1	39.71477866901276	13.830597549010026
25	1	41.35459705099405	13.542573455150253
26	1	43.02825710204107	13.333305521883387
27	1	44.5535431617177	13.218771975297814
28	1	46.18716683151779	13.122235232761788
29	1	47.78042466496879	13.056011517967654
30	1	49.382100943917216	13.008884564787929
31	1	51.02519580469593	12.956189694258848
32	1	52.725665541041046	12.894282038717256
33	1	54.30838319325569	12.816954247857964
34	1	55.77139231496797	12.714545219591942
35	1	57.138112438112145	12.604650180973657
0	1	59.4795	13.1025
1	1	59.47858121771523	13.101581217715232
2	1	59.477260240002245	13.100260240002246
3	1	59.47583962497698	13.098839624976979
4	1	59.4744035517087	13.0974035517087
5	1	58.72110936826072	13.107264074365508
6	1	57.47135954406875	13.143529634716817
7	1	55.851147559551194	13.216031351689086
8	1	53.965485856383665	13.322389906399692
9	1	51.826439324990616	13.437290066948306
10	1	49.489730901503954	13.532832783319105
11	1	46.96841930797219	13.614847870603747
12	1	44.19941309834126	13.760169965191988
13	1	41.448770855869306	13.974385588937771
14	1	38.6646868894984	14.256752381492058
15	1	35.801886277440055	14.527093396967308
16	1	32.907017736853895	14.617795359257448
17	1	30.009478222079764	14.471846734699788
18	1	27.151397382915757	14.20667623345395
19	1	24.33625360873241	13.952586994166818
20	1	21.57112182729546	13.754829464490419
21	1	18.87034762330018	13.643758006186099
0	1	59.893	13.302499999999998
1	1	59.891369126052304	13.300869126052305
2	1	59.88902433972663	13.298524339726633
3	1	59.886502693333554	13.296002693333554
4	1	59.88395360796367	13.293453607963665
5	1	59.823454693510755	13.280547171493426
6	1	58.95028267319702	13.18002877873743
7	1	57.47643108958434	13.13688865680878
8	1	55.61205610375386	13.126679074018957
9	1	53.44694017476116	13.09774290121641
10	1	51.02154418515855	13.055087704843956
11	1	48.43884547475526	12.784037305501863
12	1	45.88403087554076	12.430177578110046
13	1	43.28492941258884	12.17212924936033
14	1	40.661358950512195	12.12101760329139
15	1	38.006900918522334	12.397477580174824
16	1	35.4843821138497	12.675597764277782
17	1	32.93861788104446	12.916625840900842
18	1	30.370326254729278	13.108997607147153
19	1	27.794115964142144	13.259216052575077
20	1	25.196377760812506	13.380309755161612
21	1	22.593998565494946	13.512939358887207
22	1	20.017018741253768	13.703115229722043
23	1	17.441607435988583	13.892421410597422
5	1	60.734829999999995	12.93686
6	1	59.941051602649004	12.927980026490067
7	1	58.70699479449765	13.021316125252186
8	1	57.280763233064434	13.11637924807027
9	1	55.76894104797749	13.184257213613238
10	1	54.202295770273565	13.204039037516676
11	1	52.60579945939815	13.050484174354901
12	1	50.95948873829916	12.785095336536857
13	1	49.31577184384292	12.449614453472606
14	1	47.68154632076482	12.115718062275349
15	1	45.93190979570094	11.8137850742717
16	1	44.29104554043606	11.610322641672447
17	1	42.60295140347392	11.53649482451307
18	1	40.74551032242901	11.623696938969498
19	1	38.8971419877506	11.850694884664245
20	1	37.18995807853274	12.153206426187584
21	1	35.450873975318245	12.513409697122018
22	1	33.671305207432574	12.844336788782321
23	1	31.854882333455638	13.133156244821262
24	1	30.000584329347625	13.362653538376689
25	1	28.11320680063533	13.528097309803858
26	1	26.193824893830843	13.63439985237884
27	1	24.25678715390415	13.703223994898122
28	1	22.353149245859413	13.779547470289463
29	1	20.440372778836853	13.836767167210212
30	1	18.583469548148937	13.932557698711957
16	1	18.760156	13.5839
17	1	19.88614948344371	13.495777165562913
18	1	21.609511790555032	13.399157660188873
19	1	23.551141949079373	13.359080752607856
20	1	25.572290716841593	13.360654341545981
21	1	27.77502699236459	13.37422527397286
22	1	30.06148420415986	13.409216113241905
23	1	32.407765593760956	13.430957348950686
24	1	34.65403118951753	13.498587726101377
25	1	37.13731414579518	13.680809842269488
26	1	39.4778551942369	13.950536488348469
27	1	42.05902082670779	14.177683253747636
28	1	44.60571883274375	14.243649115560467
29	1	47.25245746755595	14.146503585844805
30	1	49.900113708292466	13.957668201180377
31	1	52.543278867770596	13.755829972288232
32	1	55.26178150755203	13.553778578878152
3	2	17.491348000000002	12.887622
4	2	18.847249589403972	13.034973642384106
