time_step	object_id	x_m	y_m
2	4	39.9663	13.4122
3	4	39.97415927152318	13.404039735099339
4	4	40.009735554826165	13.423946994390779
5	4	40.06317838882595	13.404517980653758
6	4	40.07280531117334	13.41356795453233
7	4	40.063895720806194	13.406747560109386
8	4	40.06192424198601	13.386732664437583
9	4	40.04380286639044	13.377860284594563
10	4	40.03053830617185	13.348366195803893
11	4	40.020710886693415	13.341849715077746
12	4	40.02683466314499	13.337627770275231
13	4	40.05647789004443	13.336044780688926
14	4	40.08266457529576	13.328290778451727
15	4	40.10654887703771	13.333315695041344
16	4	40.129035133150076	13.335894317120143
0	0	39.9855	13.4655
1	0	39.9855	13.461486754966886
2	0	39.9855	13.47522562273669
3	0	39.98523259333129	13.489546036729674
4	0	39.978602586717194	13.49765660555159
5	0	39.97506673734471	13.501675447262667
6	0	39.968606683887295	13.500627985533683
7	0	39.945558392282166	13.510378410495832
8	0	39.9480943037294	13.52073950320902
9	0	39.944469097221074	13.531191737554886
10	0	39.95375035577088	13.551180957264298
11	0	39.94401072284741	13.540498834434727
12	0	39.935292229763114	13.540459394781234
13	0	39.98464328802153	13.596398236945177
14	0	40.078377523249046	13.694261306070587
15	0	40.20461300600247	13.82281360080596
1	6	39.939112	13.351106
2	6	39.95509006622516	13.393843046357615
3	6	39.97029796069241	13.43839471180836
4	6	39.99908305609074	13.467389849409425
5	6	39.9949919191281	13.46130220742693
6	6	40.01040021942992	13.390750134111752
7	6	40.024663827901776	13.328503659227577
8	6	40.02334114127378	13.277007735615626
9	6	40.02632269656866	13.237804057701815
10	6	40.02233370990875	13.21154051631418
11	6	40.01847774821798	13.195906282969808
12	6	40.00988116706542	13.211488265044514
13	6	40.02626026280372	13.211904958926214
14	6	40.01553966861802	13.214353807304118
15	6	39.997354309667266	13.22778927412961
16	6	39.98806811445323	13.224694742185955
17	6	39.99811169900081	13.210181148526342
18	6	39.98610302360106	13.206747771654378
19	6	39.99346471410033	13.206162631447805
20	6	39.9878912228503	13.209814965221405
21	6	39.98594309052427	13.227159295992847
22	6	39.99051660298488	13.251280810548904
23	6	39.99879162270365	13.280867057262903
24	6	40.0078385214001	13.311234400354637
25	6	39.99167810702758	13.326869731047074
26	6	39.98520507586187	13.340062487986842
0	0	39.888999999999996	13.385
1	0	39.905052980132446	13.393553562913908
2	0	39.890736444439824	13.40517428609993
3	0	39.87561067368814	13.410748013994905
4	0	39.851678612833936	13.39078559242084
5	0	39.83763795287911	13.378521936592204
6	0	39.8242579103969	13.365904992706458
7	0	39.81648625412027	13.347873744843305
8	0	39.81237800259527	13.322522092637557
9	0	39.81877856971164	13.320160503277386
10	0	39.83408656478655	13.317819064016211
11	0	39.83638142602463	13.321617426046043
12	0	39.8487265395308	13.319045672401348
13	0	39.86233147042738	13.32674392244823
14	0	39.87281558701385	13.333292224431798
15	0	39.868554535611544	13.334204132572467
16	0	39.86290227583322	13.334962139017478
17	0	39.85454710913003	13.335562870335444
18	0	39.84258514124516	13.331590757168001
0	0	39.905	13.4165
1	0	39.88904333774835	13.364089695364239
2	0	39.94306492929068	13.36093491557662
3	0	40.055780162371036	13.440897632270786
4	0	40.190806223814036	13.560709778407267
5	0	40.042030759306876	13.51872704402751
6	0	39.94076088282132	13.447707752551896
7	0	39.92211633308666	13.447652599289988
8	0	39.88894013740434	13.425744219842105
9	0	39.87752229571288	13.421522878291048
10	0	39.89356812781933	13.437110175873704
11	0	39.883821133945524	13.42202992841861
12	0	39.8952308927279	13.431173836732354
13	0	39.883875652786315	13.405461341474766
14	0	39.942463724680394	13.447645575102483
15	0	39.988146708783034	13.471729491308475
16	0	40.00879058468762	13.480661145606646
17	0	40.07550657381356	13.53994190822806
18	0	40.17743561387246	13.637700700680773
0	0	39.8645	13.4075
1	0	39.85656982781457	13.386865231788079
2	0	40.012149352048006	13.384391781662156
3	0	39.95398769630105	13.333928952501628
4	0	39.88840155577524	13.344011306407939
5	0	39.89697960868268	13.329354798513716
6	0	39.914025216191135	13.337066570699754
7	0	39.877825466797496	13.318273708546426
8	0	39.89300866931331	13.329745167476757
9	0	39.87764073802526	13.294711762014154
10	0	39.897097670433844	13.322026528647
11	0	39.89073085563771	13.299097331238597
12	0	39.865514061635515	13.287891548386229
13	0	39.881010978537006	13.290339059190675
14	0	39.900473303597174	13.278118605423579
15	0	39.96425476257761	13.326969329485673
16	0	39.9540766290411	13.343900534263415
17	0	39.971407061027136	13.377709477166695
18	0	40.03654213402078	13.456448740266795
19	0	40.00553261403155	13.4403976319757
20	0	40.02680409982105	13.45176069783966
21	0	40.014740503937674	13.43563955907411
22	0	39.99009694845794	13.411990224156414
23	0	39.99693291723597	13.414998043296363
24	0	40.001970343408104	13.41693831822483
25	0	40.058681728225984	13.471813079622354
2	6	39.906712	13.4772
3	6	39.93557525827814	13.510431006622516
4	6	39.94182139966126	13.5188360869559
