time_step	object_id	x_m	y_m
0	0	26.563000000000002	9.224
1	0	26.428724847682123	9.146579152317882
2	0	25.989768154326928	9.175278456523579
3	0	25.469872330866032	9.242298574238104
4	0	24.991035743478026	9.279335462949755
5	0	24.42701701498642	9.3213271954466
6	0	23.854318818567812	9.280296995055256
7	0	23.300514848675494	9.235734169985891
8	0	22.697406332886477	9.188493664040049
9	0	22.06734764404923	9.137831053853777
10	0	21.526701111225393	9.067007861542876
11	0	20.99092972989082	9.03663255309412
12	0	20.441968192603916	9.011931194988824
13	0	20.01621555761226	9.005417539415232
14	0	19.704401754842692	9.027397896687253
15	0	19.502018833983502	9.054839834023472
16	0	19.288566506656018	9.056374459744534
17	0	19.038509870578384	8.959769017296129
18	0	18.743532002922546	8.864538384921216
19	0	18.32800337569157	8.760507148604685
20	0	17.86764420080258	8.622035370720052
21	0	17.372488130522157	8.53027981668529
22	0	16.792793861444334	8.451727250221882
23	0	16.171118549168124	8.407457050907707
24	0	15.61136091968215	8.381535724014883
25	0	15.03039986064871	8.392304249906628
26	0	14.426515353948336	8.425905055092093
27	0	13.892106340168139	8.48708745756555
28	0	13.369583267846917	8.54201502265271
29	0	12.808175183832889	8.620063189624515
30	0	12.282400948934693	8.691042230860065
31	0	11.770346834909324	8.736455519625888
32	0	11.232353319483137	8.7726795605355
33	0	10.708294394879575	8.785430656174228
34	0	10.222762084452526	8.784597317404176
0	1	24.4355	9.4955
1	1	23.967463324503314	9.454118092715232
2	1	23.273930377836646	9.461633780413127
3	1	22.529062668849598	9.516101957708509
4	1	21.87416114361294	9.569539115820014
5	1	21.19220688908158	9.611939175888297
6	1	20.47514263398454	9.642378541083731
7	1	19.71873713797086	9.648501253265565
8	1	18.957603590965057	9.62617176940198
9	1	18.27252843437339	9.615529223887982
10	1	17.595765055874494	9.623025648861622
11	1	16.928920238982904	9.653456268200332
12	1	16.249350748845796	9.665830682606899
13	1	15.555837647853751	9.69988726031429
14	1	14.931790479903627	9.716828185668286
15	1	14.344628035291159	9.74367535293554
16	1	13.763070372038188	9.763156565664474
17	1	13.131152730063432	9.7694136799656
18	1	12.515985623681068	9.792583237201093
19	1	11.933247171372322	9.786467957784227
20	1	11.375730444678634	9.786249610212902
21	1	10.75650743301109	9.795126839170065
22	1	10.133751654043872	9.81272368719048
23	1	9.552248117104197	9.826834544579537
24	1	8.996893474887324	9.843516878681642
25	1	8.398773682540767	9.877523356415558
26	1	7.819071110648017	9.927482841465782
27	1	7.29512053877107	10.001105826516385
28	1	6.75274627896297	10.066686423591689
29	1	6.201960682267797	10.110435320839363
30	1	5.690834631966522	10.146726960210167
31	1	5.195626964683923	10.170602743389047
32	1	4.813194281603933	10.160847696235365
33	1	4.583210671740331	10.133955213955609
34	1	4.517660072639023	10.158990582765998
0	2	23.1485	8.225999999999999
1	2	22.879464092715228	8.248072847682119
2	2	22.4383579583277	8.213258770565027
3	2	21.847273676388696	8.237474102871811
4	2	21.37669978716705	8.23451918544475
5	2	20.804946523339627	8.243304595519836
6	2	20.193342810768225	8.235515945001255
7	2	19.671435630298532	8.18362251044457
8	2	19.087081800754113	8.134355884049379
9	2	18.463965968212733	8.104404152544218
10	2	17.945080709390798	8.06956180191799
11	2	17.416684749682368	8.036530038873973
12	2	16.861284859316534	8.004896328998658
13	2	16.374365458029583	8.003470234388443
14	2	15.876087997334588	7.990771634362857
15	2	15.350413638035999	7.981492883028518
16	2	14.91102384599248	7.973736223675129
17	2	14.43428261173799	7.97380935637381
18	2	13.942455297685783	7.957538270636881
19	2	13.506226668372568	7.940688466317308
20	2	13.00590288443259	8.006332346199315
21	2	12.535099679622085	8.104859859589082
22	2	12.104029597862121	8.215707769507759
23	2	11.6063146464052	8.341217004721287
24	2	11.16570482802782	8.461704728109323
25	2	10.730507188629732	8.560610148226273
26	2	10.244152990557287	8.654634640364534
27	2	9.767698655184471	8.741315869368755
28	2	9.325933275972726	8.79337175370701
29	2	8.853121878879817	8.820973508582174
30	2	8.444717303229929	8.821851848091464
31	2	8.025787615202542	8.803120608220183
32	2	7.6092100674882	8.767822495621155
33	2	7.24214226909808	8.734419831531183
34	2	6.843725918863161	8.728307639546127
0	3	24.651	6.887499999999999
1	3	24.21891397350993	6.902373086092715
2	3	23.550000723192774	6.917008018855765
3	3	22.82771120755026	6.949794674601421
4	3	22.167987559301583	7.004767119916697
5	3	21.555646125071316	7.043136317877916
6	3	20.866571308074533	7.092704665717033
7	3	20.15728154425005	7.086839020639607
8	3	19.448067390620864	7.062223300413675
9	3	18.811172069840705	7.0429282606692185
10	3	18.16579439824662	7.01862647582879
11	3	17.511668123805418	6.991559980780452
12	3	16.841734038458732	6.988322746975888
13	3	16.196909849168925	7.011192612238685
14	3	15.579373408246516	7.067964689727065
15	3	14.971165051404435	7.106573002430298
16	3	14.352283352424086	7.124565494841708
17	3	13.691816737224471	7.145072151689952
18	3	13.081493264538702	7.158480718181944
19	3	12.494733740162781	7.195263140035249
20	3	11.869082539808371	7.236945532276124
21	3	11.22550231818484	7.30171856264154
22	3	10.622659625019503	7.370220818169055
23	3	10.050138467602228	7.422915129394704
24	3	9.48023122503557	7.495614550370185
25	3	8.89396097418854	7.561247774077809
26	3	8.318667619073018	7.630684379998514
27	3	7.820920238505808	7.690000171859766
28	3	7.3031395764224785	7.737276271668308
29	3	6.801504197296505	7.757037450535905
30	3	6.321269080061838	7.776345065449913
31	3	5.902408516623726	7.806428938877733
32	3	5.512593594088525	7.812149614936099
33	3	5.233975178844566	7.810771063762377
34	3	5.05020160472051	7.819621428417427
0	0	5.7855	9.991499999999998
1	0	6.083876741721854	10.040420119205297
2	0	6.5750315887257695	10.042448602378867
3	0	7.204599721608295	10.069568854677009
4	0	7.936204317786997	10.082476666738756
5	0	8.649751642161592	10.070533892167017
6	0	9.318577006199172	10.046798744209992
7	0	9.958117359603419	9.989181105612786
8	0	10.632803105706737	9.921355225961003
9	0	11.32837195501658	9.85582443733289
10	0	11.959413193287986	9.793993979304023
11	0	12.54860705810657	9.758076847671324
12	0	13.110911476912184	9.718219142182846
13	0	13.684604074662815	9.640454871080653
14	0	14.197359106758087	9.564142302065822
15	0	14.639066411261933	9.466320990326752
16	0	15.09779057215542	9.296777430791295
17	0	15.593623637155241	9.12175634391231
18	0	16.12806800436303	8.964817228509297
19	0	16.627125719933442	8.87211340990218
20	0	17.106249263077768	8.783418029457533
21	0	17.578285034455746	8.710592991585008
22	0	18.00098415847585	8.688208375971453
23	0	18.328448286372836	8.683386023191115
24	0	18.69256843661583	8.663930763691992
25	0	19.052519154508584	8.699061225681595
26	0	19.43106670198191	8.77258340103452
27	0	19.91565156253911	8.907910888748889
28	0	20.48507893709747	9.061069323499154
29	0	21.08791722518236	9.216808318684727
30	0	21.716014759013703	9.370942094527484
31	0	22.403551124671328	9.528501949804781
32	0	23.146555040523715	9.704973257445957
33	0	23.90648554183714	9.91497043361526
34	0	24.592107730700395	10.163927830261208
35	0	25.23016520394941	10.458634476037018
36	0	25.82813285525671	10.7819317440011
37	0	26.281935093268743	11.075823161788813
38	0	26.598710973625902	11.282623656269045
39	0	26.775009228188544	11.403303563150132
40	0	26.85500259805748	11.448794515194912
41	0	26.824737225475516	11.47741501361198
42	0	26.68955045783214	11.559561031037347
43	0	26.497398442414205	11.639442929304
44	0	26.26352859335319	11.703286568397088
0	1	4.8675	8.8505
1	1	5.2096184370860925	8.848739523178807
2	1	5.55142609501568	8.82608528052333
3	1	6.0103219547003714	8.794766505174202
4	1	6.409146961715071	8.794289175668256
5	1	6.877345649434096	8.794170324419047
6	1	7.385403527162287	8.788743875549766
7	1	7.812800911444562	8.780685593315509
8	1	8.289325272358855	8.781078429071027
9	1	8.7204047391104	8.795735722926699
10	1	9.16763786213601	8.815537065081935
11	1	9.699198783971315	8.846605663098456
12	1	10.193887648241322	8.880097075387456
13	1	10.698561689346509	8.908091788006915
14	1	11.217745502273777	8.937988514038198
15	1	11.672732294564472	8.953457935103168
16	1	12.175758053788813	8.931142104858905
17	1	12.591168479475312	8.90941126964421
18	1	13.035576289879792	8.910372927484595
19	1	13.46625086565921	8.916024556939458
20	1	13.879186873827987	8.87344909295445
21	1	14.330702524714651	8.855171839364267
22	1	14.741981102178665	8.854046521160958
23	1	15.232222622699737	8.876905044870853
24	1	15.683582699974421	8.90607822655286
25	1	16.15221883386402	8.95195592462492
26	1	16.65575108580061	9.024592853856465
27	1	17.09577259513348	9.106848511870986
28	1	17.622165915072014	9.190195648250837
29	1	18.13874241697871	9.273033625988228
30	1	18.652426629559727	9.337020587641357
31	1	19.219160148294883	9.389219068780445
32	1	19.75031993004491	9.450738948082995
33	1	20.34945343819843	9.494338200165991
34	1	20.923033353499875	9.541248034637361
35	1	21.44705799810887	9.595968727677024
36	1	22.013598119984376	9.657359117120246
37	1	22.526098601423598	9.736413877870195
38	1	23.031569330198014	9.814527972635872
39	1	23.53941334477506	9.8965254929703
40	1	23.988844196935627	9.922190122335156
41	1	24.490129919686396	9.9254869051598
42	1	24.902318030570925	9.903747569915556
43	1	25.341884168166164	9.885560376216612
44	1	25.70177874316362	9.87675565834527
0	2	6.2695	7.2985
1	2	6.589280715231788	7.311547059602649
2	2	7.13858448762621	7.3908686384454105
3	2	7.785231071235791	7.472097460933783
4	2	8.465149453732726	7.590730102136278
5	2	9.093114714347697	7.672258053217632
6	2	9.700989432477789	7.727528198694654
7	2	10.312233872662107	7.791686567378079
8	2	10.953492815612542	7.841912947100207
9	2	11.555728623719812	7.907860037010123
10	2	12.149626807484587	7.971402013459714
11	2	12.738856009446168	8.03077170499918
12	2	13.380240789642258	8.087893481152053
13	2	14.039047745158676	8.13210444105728
14	2	14.67881177807605	8.145318217780094
15	2	15.278993331236434	8.115600157526476
16	2	15.870373621790286	8.067776221841411
17	2	16.487655562494187	7.999476252359116
18	2	17.118949320892305	7.939260244265768
19	2	17.687581074820116	7.881722044610291
20	2	18.250068420081558	7.819484560352542
21	2	18.820578427352707	7.783526721019811
22	2	19.34634504180894	7.78932847691589
23	2	19.778788319841386	7.820490440679404
24	2	20.231376763518085	7.859926359630405
25	2	20.677313334881102	7.908652167892607
26	2	21.111770092160228	7.973129584770624
27	2	21.594351364306007	8.057215185170326
28	2	22.134480420708773	8.150734216234698
29	2	22.63952378634337	8.240776049183925
30	2	23.16155567838878	8.329827406474076
31	2	23.734415348320805	8.425293785461722
32	2	24.269468823872952	8.513062381237404
33	2	24.7723290473844	8.604733064165373
34	2	25.255036984421338	8.706948184674129
35	2	25.62551160526196	8.791348257978576
36	2	25.87986253926802	8.864926175973975
37	2	26.009764374015564	8.946093169007915
38	2	26.024611414614952	9.026969643028568
39	2	26.00041634938526	9.07184359642175
