time_step	object_id	x_m	y_m
306	41	-297580.80649	5630009.8062700005
307	41	-297580.16236	5630009.37949
308	41	-297579.50603	5630008.96929
309	41	-297578.89042	5630008.59879
310	41	-297578.25416	5630008.24864
311	41	-297577.60277	5630007.9219700005
312	41	-297576.95165	5630007.58122
313	41	-297576.31807	5630007.22993
314	41	-297575.72193	5630006.853680001
315	41	-297575.18182	5630006.43448
316	41	-297574.65865	5630005.988170001
317	41	-297574.13702	5630005.52183
318	41	-297573.6005	5630005.045890001
319	41	-297573.03686	5630004.57057
320	41	-297572.43875000003	5630004.104800001
321	41	-297571.80437	5630003.6552
322	41	-297571.13814	5630003.2249300005
323	41	-297570.45068	5630002.81297
324	41	-297569.76176	5630002.41184
325	41	-297569.09391	5630002.010120001
326	41	-297568.47448	5630001.596100001
327	41	-297567.92621	5630001.1382
328	41	-297567.38531	5630000.66734
329	41	-297566.82603	5630000.20064
330	41	-297566.28881	5629999.73104
331	41	-297565.75173	5629999.26377
332	41	-297565.21888	5629998.791010001
333	41	-297564.6872	5629998.31247
334	41	-297564.15387	5629997.82825
335	41	-297563.61565	5629997.3398400005
336	41	-297563.06908	5629996.849780001
337	41	-297562.51083	5629996.36132
338	41	-297561.93794000003	5629995.87808
339	41	-297561.34814	5629995.403700001
340	41	-297560.74005	5629994.94153
341	41	-297560.11355	5629994.494270001
342	41	-297559.47001	5629994.06365
343	41	-297558.81256	5629993.65007
344	41	-297558.14639	5629993.252280001
345	41	-297557.47936	5629992.86672
346	41	-297556.82119	5629992.4889400005
347	41	-297556.1776	5629992.1110000005
348	41	-297555.59788	5629991.7102500005
349	41	-297555.0602	5629991.27917
350	41	-297554.51424	5629990.84205
351	41	-297553.93999	5629990.41746
352	41	-297553.32637	5629990.02536
353	41	-297552.71352	5629989.64783
354	41	-297552.11532	5629989.26023
355	41	-297551.5265	5629988.8644900005
356	41	-297550.94465	5629988.46666
357	41	-297550.40488	5629988.046130001
358	41	-297549.92507	5629987.600140001
359	41	-297549.47349	5629987.130600001
360	41	-297549.03067	5629986.6294
361	41	-297548.58941	5629986.09798
362	41	-297548.14189	5629985.5399400005
363	41	-297547.71845	5629984.96092
364	41	-297547.34858	5629984.33763
365	41	-297547.07047	5629983.718780001
366	41	-297546.88404	5629983.10554
367	41	-297546.79137	5629982.49201
579	83	-297465.85176	5629976.497590001
580	83	-297465.90881	5629975.77228
581	83	-297466.03728	5629974.87021
581	84	-297466.64280000003	5629975.89965
582	83	-297466.2324	5629973.83702
582	84	-297466.89484	5629974.9883
583	83	-297466.47724	5629972.658840001
583	84	-297467.1484	5629973.91344
584	83	-297466.75027	5629971.36706
584	84	-297467.39542	5629972.68212
585	83	-297467.05095	5629969.99945
585	84	-297467.64728	5629971.33901
586	83	-297467.37815	5629968.56106
586	84	-297467.93559	5629969.93675
587	83	-297467.73231	5629967.07069
587	84	-297468.29167	5629968.510410001
588	83	-297468.12145	5629965.591820001
588	84	-297468.73223	5629967.08079
589	83	-297468.52052	5629964.1371
589	84	-297469.22159000003	5629965.67018
590	83	-297468.91232	5629962.73077
590	84	-297469.73228	5629964.29263
591	83	-297469.27842	5629961.43776
591	84	-297470.23542	5629962.927180001
592	83	-297469.60972	5629960.28866
592	84	-297470.67217	5629961.59723
593	83	-297469.95188	5629959.302990001
593	84	-297471.06029	5629960.34073
594	83	-297470.35115	5629958.4866700005
594	84	-297471.40024	5629959.20806
595	83	-297470.80571	5629957.7898200005
595	84	-297471.69437	5629958.22499
596	83	-297471.23072	5629957.148680001
596	84	-297471.90635	5629957.3592300005
597	83	-297471.56307	5629956.48058
597	84	-297472.04414	5629956.59392
598	83	-297471.79635	5629955.775210001
598	84	-297472.18978	5629955.90912
599	83	-297472.07671	5629955.12101
599	84	-297472.47983	5629955.3311600005
600	83	-297472.43121	5629954.536060001
600	84	-297472.88353	5629954.8515800005
601	83	-297472.85044	5629954.02027
601	84	-297473.30126	5629954.4066200005
602	83	-297473.28054	5629953.526640001
602	84	-297473.69227	5629953.96566
603	83	-297473.63453	5629952.993050001
603	84	-297474.02519	5629953.498310001
604	83	-297473.99922	5629952.51948
604	84	-297474.38368	5629953.09881
605	83	-297474.37	5629952.0916
605	84	-297474.77043	5629952.742640001
606	83	-297474.74273	5629951.7087900005
606	84	-297475.13286	5629952.35242
607	83	-297475.06975	5629951.27384
607	84	-297475.4764	5629951.928060001
608	83	-297475.45965	5629950.9425800005
608	84	-297475.80516	5629951.484420001
609	83	-297475.88457	5629950.66407
609	84	-297476.15305	5629951.0812800005
610	83	-297476.24503	5629950.253040001
610	84	-297476.51304	5629950.70268
611	83	-297476.52434	5629949.7355
611	84	-297476.87245	5629950.322070001
612	83	-297476.80343	5629949.2336
612	84	-297477.24785	5629949.9297400005
613	83	-297477.1077	5629948.765810001
