simulation_id,seq,time,cyclist_id,pedestrian_id,cyclist_x,cyclist_y,pedestrian_x,pedestrian_y,cyclist_vx,cyclist_vy,cyclist_speed,pedestrian_vx,pedestrian_vy,pedestrian_speed,cyclist_heading,distance,app_angle
1,0,1786610096.832046,0,1,59.480000,13.100032,29.003536,13.399990,-0.499999,0.000796,0.500000,0.088400,-0.000256,0.088400,3.140000,30.477940,0.472651
1,0,1786610096.872092,0,1,59.480000,13.100032,29.010208,13.399969,-0.499999,0.000796,0.500000,0.166799,-0.000509,0.166800,3.140000,30.471268,0.472736
1,1,1786610096.912061,0,1,59.457180,13.100526,29.020016,13.399939,-0.570498,0.012346,0.570631,0.245199,-0.000762,0.245200,3.119954,30.438637,0.676174
1,2,1786610096.952149,0,1,59.431534,13.100993,29.032960,13.399898,-0.641158,0.011676,0.641265,0.323598,-0.001012,0.323600,3.123383,30.400043,0.479966
1,3,1786610096.992114,0,1,59.403062,13.101496,29.049040,13.399848,-0.711786,0.012578,0.711897,0.401998,-0.001261,0.402000,3.123924,30.355489,0.449205
1,4,1786610097.032061,0,1,59.371766,13.102032,29.068256,13.399788,-0.782414,0.013415,0.782529,0.480398,-0.001507,0.480400,3.124449,30.304973,0.419293
1,5,1786610097.072081,0,1,59.337644,13.102608,29.090608,13.399718,-0.853040,0.014378,0.853161,0.558797,-0.001751,0.558800,3.124740,30.248496,0.402816
1,6,1786610097.112077,0,1,59.300698,13.103225,29.116095,13.399638,-0.923663,0.015443,0.923792,0.637197,-0.001993,0.637200,3.124874,30.186058,0.395257
1,7,1786610097.152102,0,1,59.260926,13.103890,29.144719,13.399549,-0.994285,0.016615,0.994424,0.715596,-0.002233,0.715600,3.124884,30.117658,0.394891
1,8,1786610097.192148,0,1,59.218330,13.104606,29.176313,13.399450,-1.064904,0.017893,1.065054,0.789850,-0.002457,0.789854,3.124792,30.043464,0.400317
1,9,1786610097.232134,0,1,59.172909,13.105377,29.210643,13.399344,-1.135521,0.019278,1.135685,0.858247,-0.002662,0.858251,3.124617,29.963708,0.410520
1,10,1786610097.272147,0,1,59.124664,13.106208,29.247493,13.399230,-1.206136,0.020772,1.206315,0.921255,-0.002847,0.921260,3.124372,29.878607,0.424729
1,11,1786610097.312081,0,1,59.073594,13.107103,29.286666,13.399109,-1.276749,0.022375,1.276945,0.979306,-0.003016,0.979310,3.124069,29.788359,0.442352
1,12,1786610097.352137,0,1,59.019699,13.108066,29.327977,13.398983,-1.347359,0.024089,1.347575,1.032796,-0.003168,1.032800,3.123716,29.693147,0.462923
1,13,1786610097.392145,0,1,58.962981,13.109103,29.371261,13.398850,-1.417967,0.025916,1.418204,1.082089,-0.003307,1.082094,3.123318,29.593138,0.486073
1,14,1786610097.432029,0,1,58.903438,13.110217,29.416362,13.398713,-1.488572,0.027856,1.488833,1.127522,-0.003431,1.127528,3.122882,29.488487,0.511504
1,15,1786610097.472030,0,1,58.841071,13.111414,29.463138,13.398571,-1.559175,0.029910,1.559461,1.169404,-0.003544,1.169410,3.122412,29.379336,0.538971
1,16,1786610097.512024,0,1,58.775880,13.112697,29.511459,13.398426,-1.629774,0.032081,1.630090,1.208019,-0.003646,1.208024,3.121911,29.265816,0.568273
1,17,1786610097.552018,0,1,58.707865,13.114071,29.561204,13.398276,-1.700371,0.034368,1.700718,1.243627,-0.003737,1.243632,3.121383,29.148047,0.599241
1,18,1786610097.592013,0,1,58.637027,13.115542,29.612263,13.398123,-1.770964,0.036773,1.771346,1.276470,-0.003818,1.276475,3.120831,29.026139,0.631735
1,19,1786610097.632018,0,1,58.563364,13.117114,29.664533,13.397968,-1.841554,0.039297,1.841974,1.306768,-0.003891,1.306774,3.120257,28.900196,0.665633
1,20,1786610097.672012,0,1,58.486879,13.118792,29.717922,13.397809,-1.912141,0.041940,1.912601,1.334726,-0.003956,1.334732,3.119663,28.770309,0.700833
1,21,1786610097.712021,0,1,58.407570,13.120580,29.772344,13.397649,-1.982724,0.044704,1.983228,1.360530,-0.004013,1.360536,3.119050,28.636567,0.737244
1,22,1786610097.752084,0,1,58.325438,13.122484,29.827718,13.397486,-2.053304,0.047588,2.053855,1.384353,-0.004064,1.384359,3.118420,28.499047,0.774790
1,23,1786610097.792071,0,1,58.240482,13.124507,29.883965,13.397322,-2.123879,0.050594,2.124482,1.406171,-0.004105,1.406177,3.117775,28.357830,0.813404
1,24,1786610097.832027,0,1,58.152703,13.126592,29.941010,13.397157,-2.194492,0.052129,2.195111,1.426143,-0.004138,1.426149,3.117843,28.212990,0.811295
1,25,1786610097.872012,0,1,58.062099,13.128746,29.998787,13.396990,-2.265103,0.053838,2.265743,1.444417,-0.004164,1.444423,3.117829,28.064594,0.813933
1,26,1786610097.912141,0,1,57.968670,13.130965,30.057232,13.396823,-2.335717,0.055475,2.336376,1.461130,-0.004183,1.461136,3.117847,27.912704,0.814822
1,27,1786610097.952064,0,1,57.872417,13.133247,30.116288,13.396655,-2.406334,0.057060,2.407010,1.476406,-0.004195,1.476412,3.117884,27.757378,0.814654
1,28,1786610097.992121,0,1,57.773338,13.135591,30.175903,13.396487,-2.476954,0.058580,2.477646,1.490360,-0.004201,1.490366,3.117947,27.598669,0.813149
1,29,1786610098.032141,0,1,57.671435,13.137991,30.236027,13.396319,-2.547576,0.060022,2.548283,1.503098,-0.004202,1.503104,3.118036,27.436625,0.810197
1,30,1786610098.072082,0,1,57.566707,13.140447,30.296615,13.396151,-2.618202,0.061378,2.618921,1.514717,-0.004198,1.514723,3.118154,27.271291,0.805687
1,31,1786610098.112066,0,1,57.459154,13.142952,30.357628,13.395983,-2.688830,0.062636,2.689560,1.525307,-0.004189,1.525313,3.118302,27.102708,0.799531
1,32,1786610098.152066,0,1,57.348776,13.145504,30.419026,13.395816,-2.759462,0.063787,2.760199,1.534950,-0.004176,1.534955,3.118481,26.930913,0.791655
1,33,1786610098.192026,0,1,57.235572,13.148096,30.480775,13.395650,-2.830096,0.064823,2.830839,1.543721,-0.004160,1.543727,3.118692,26.755942,0.782000
1,34,1786610098.232022,0,1,57.119542,13.150726,30.542842,13.395484,-2.900734,0.065734,2.901479,1.551691,-0.004139,1.551697,3.118935,26.577827,0.770519
1,35,1786610098.272015,0,1,57.000687,13.153386,30.605199,13.395320,-2.971374,0.066512,2.972119,1.558924,-0.004116,1.558929,3.119212,26.396597,0.757174
1,36,1786610098.312023,0,1,56.879007,13.156072,30.667818,13.395156,-3.042017,0.067150,3.042759,1.565478,-0.004089,1.565483,3.119522,26.212279,0.741937
1,37,1786610098.352014,0,1,56.754500,13.158778,30.730675,13.394994,-3.112664,0.067638,3.113398,1.571408,-0.004060,1.571413,3.119866,26.024898,0.724788
1,38,1786610098.392009,0,1,56.627168,13.161497,30.793745,13.394833,-3.183312,0.067971,3.184038,1.576764,-0.004028,1.576769,3.120244,25.834476,0.705711
1,39,1786610098.432143,0,1,56.497009,13.164222,30.857009,13.394673,-3.253964,0.068141,3.254677,1.581591,-0.003994,1.581596,3.120655,25.641036,0.684699
1,40,1786610098.472082,0,1,56.364024,13.166948,30.920446,13.394514,-3.324618,0.068142,3.325316,1.585933,-0.003958,1.585937,3.121099,25.444596,0.661748
1,41,1786610098.512028,0,1,56.228213,13.169667,30.984039,13.394358,-3.395274,0.067968,3.395955,1.589827,-0.003920,1.589832,3.121577,25.245174,0.636859
1,42,1786610098.552141,0,1,56.089576,13.172371,31.047772,13.394202,-3.465933,0.067613,3.466592,1.593310,-0.003880,1.593315,3.122087,25.042787,0.610036
1,43,1786610098.592127,0,1,55.948112,13.175054,31.111628,13.394049,-3.536593,0.067071,3.537229,1.596414,-0.003839,1.596419,3.122630,24.837450,0.581289
