simulation_id,seq,time,cyclist_id,pedestrian_id,cyclist_x,cyclist_y,pedestrian_x,pedestrian_y,cyclist_vx,cyclist_vy,cyclist_speed,pedestrian_vx,pedestrian_vy,pedestrian_speed,cyclist_heading,distance,app_angle
1,0,1786608447.350496,0,1,59.480000,13.100032,29.003536,13.399991,-0.499999,0.000796,0.500000,0.088400,-0.000228,0.088400,3.140000,30.477940,0.472653
1,0,1786608447.390491,0,1,59.480000,13.100032,29.010208,13.399973,-0.499999,0.000796,0.500000,0.166799,-0.000439,0.166800,3.140000,30.471268,0.472743
1,1,1786608447.430521,0,1,59.457175,13.100125,29.020016,13.399948,-0.570635,0.002323,0.570640,0.245199,-0.000634,0.245200,3.137522,30.438635,0.331122
1,2,1786608447.470498,0,1,59.431523,13.100106,29.032960,13.399916,-0.641280,-0.000467,0.641280,0.323599,-0.000810,0.323600,-3.140864,30.400042,0.606798
1,3,1786608447.510456,0,1,59.403047,13.099996,29.049040,13.399877,-0.711913,-0.002749,0.711919,0.401999,-0.000966,0.402000,-3.137731,30.355488,0.787314
1,4,1786608447.550496,0,1,59.371745,13.099790,29.068256,13.399833,-0.782539,-0.005145,0.782556,0.480399,-0.001102,0.480400,-3.135018,30.304975,0.943992
1,5,1786608447.590563,0,1,59.337619,13.099485,29.090608,13.399784,-0.853157,-0.007623,0.853191,0.558799,-0.001216,0.558800,-3.132658,30.248502,1.080754
1,6,1786608447.630584,0,1,59.300668,13.099076,29.116091,13.399732,-0.923767,-0.010224,0.923823,0.637085,-0.001305,0.637086,-3.130525,30.186075,1.204785
1,7,1786608447.670588,0,1,59.260894,13.098557,29.144455,13.399677,-0.994367,-0.012977,0.994452,0.709091,-0.001363,0.709092,-3.128543,30.117944,1.320540
1,8,1786608447.710513,0,1,59.218295,13.097921,29.175467,13.399622,-1.064957,-0.015909,1.065076,0.775319,-0.001393,0.775320,-3.126655,30.044343,1.431236
1,9,1786608447.750498,0,1,59.172874,13.097159,29.208917,13.399566,-1.135536,-0.019047,1.135696,0.836231,-0.001396,0.836233,-3.124821,29.965483,1.539198
