simulation_id,seq,time,cyclist_id,pedestrian_id,cyclist_x,cyclist_y,pedestrian_x,pedestrian_y,cyclist_vx,cyclist_vy,cyclist_speed,pedestrian_vx,pedestrian_vy,pedestrian_speed,cyclist_heading,distance,app_angle
1,0,1786547157.408848,0,1,53.280000,-13.199968,37.597264,-13.400035,-0.499999,0.000796,0.500000,-0.068395,-0.000882,0.068401,3.140000,15.684012,0.822144
1,0,1786547157.448848,0,1,53.280000,-13.199968,37.591393,-13.400107,-0.499999,0.000796,0.500000,-0.146790,-0.001799,0.146801,3.140000,15.689884,0.822133
1,1,1786547157.488835,0,1,53.257178,-13.200331,37.582385,-13.400217,-0.570562,-0.009064,0.570634,-0.225184,-0.002753,0.225201,-3.125707,15.676067,0.179561
1,2,1786547157.528836,0,1,53.231529,-13.200640,37.570242,-13.400367,-0.641222,-0.007726,0.641269,-0.303578,-0.003747,0.303601,-3.129544,15.662560,0.040297
1,3,1786547157.568792,0,1,53.203054,-13.200953,37.554963,-13.400559,-0.711861,-0.007826,0.711904,-0.381971,-0.004784,0.382001,-3.130599,15.649364,0.100916
1,4,1786547157.608885,0,1,53.171754,-13.201267,37.536549,-13.400793,-0.782501,-0.007849,0.782540,-0.460363,-0.005866,0.460401,-3.131563,15.636478,0.156463
1,5,1786547157.648841,0,1,53.137629,-13.201585,37.514999,-13.401073,-0.853139,-0.007963,0.853176,-0.538755,-0.006998,0.538801,-3.132259,15.623904,0.196824
1,6,1786547157.688857,0,1,53.100678,-13.201911,37.490549,-13.401397,-0.923776,-0.008141,0.923812,-0.611227,-0.008093,0.611281,-3.132780,15.611403,0.227243
1,7,1786547157.728853,0,1,53.060901,-13.202246,37.463436,-13.401763,-0.994413,-0.008380,0.994449,-0.677825,-0.009150,0.677887,-3.133166,15.598741,0.250035
1,8,1786547157.768807,0,1,53.018299,-13.202593,37.433876,-13.402170,-1.065050,-0.008675,1.065085,-0.739019,-0.010170,0.739089,-3.133447,15.585701,0.267008
1,9,1786547157.808928,0,1,52.972872,-13.202954,37.402066,-13.402616,-1.135687,-0.009023,1.135722,-0.795240,-0.011157,0.795318,-3.133648,15.572085,0.279472
