simulation_id,seq,time,cyclist_id,pedestrian_id,cyclist_x,cyclist_y,pedestrian_x,pedestrian_y,cyclist_vx,cyclist_vy,cyclist_speed,pedestrian_vx,pedestrian_vy,pedestrian_speed,cyclist_heading,distance,app_angle
1,0,1786606573.442219,0,1,53.280000,-13.199968,37.597505,-13.400023,-0.499999,0.000796,0.500000,-0.062383,-0.000566,0.062386,3.140000,15.683771,0.822109
1,0,1786606573.482204,0,1,53.280000,-13.199968,37.592336,-13.400062,-0.499999,0.000796,0.500000,-0.129208,-0.000997,0.129212,3.140000,15.688940,0.822014
1,1,1786606573.522188,0,1,53.257179,-13.200406,37.584700,-13.400115,-0.570526,-0.010955,0.570631,-0.190920,-0.001304,0.190924,-3.122394,15.673752,0.369968
1,2,1786606573.562192,0,1,53.231532,-13.200807,37.574782,-13.400175,-0.641185,-0.010016,0.641263,-0.247927,-0.001497,0.247932,-3.125973,15.658018,0.165395
1,3,1786606573.602121,0,1,53.203059,-13.201236,37.562758,-13.400238,-0.711814,-0.010725,0.711895,-0.300607,-0.001585,0.300611,-3.126527,15.641567,0.134254
1,4,1786606573.642118,0,1,53.171761,-13.201691,37.548786,-13.400301,-0.782444,-0.011367,0.782527,-0.349305,-0.001577,0.349308,-3.127066,15.624238,0.103960
1,5,1786606573.682185,0,1,53.137638,-13.202176,37.533012,-13.400360,-0.853072,-0.012144,0.853158,-0.394339,-0.001481,0.394342,-3.127358,15.605884,0.087932
1,6,1786606573.722186,0,1,53.100690,-13.202698,37.515572,-13.400412,-0.923697,-0.013031,0.923789,-0.436004,-0.001303,0.436006,-3.127486,15.586372,0.081406
1,7,1786606573.762201,0,1,53.060918,-13.203259,37.496590,-13.400454,-0.994320,-0.014032,0.994419,-0.474568,-0.001050,0.474569,-3.127482,15.565577,0.082604
1,8,1786606573.802190,0,1,53.018320,-13.203865,37.476178,-13.400483,-1.064942,-0.015147,1.065049,-0.510280,-0.000729,0.510280,-3.127371,15.543385,0.090074
1,9,1786606573.842189,0,1,52.972898,-13.204520,37.454444,-13.400497,-1.135561,-0.016378,1.135679,-0.543367,-0.000344,0.543367,-3.127171,15.519691,0.102772
1,10,1786606573.882179,0,1,52.924650,-13.205229,37.431482,-13.400493,-1.206178,-0.017727,1.206308,-0.574040,0.000098,0.574040,-3.126897,15.494399,0.119911
1,11,1786606573.922220,0,1,52.873579,-13.205997,37.407382,-13.400470,-1.276793,-0.019195,1.276937,-0.602492,0.000594,0.602492,-3.126560,15.467419,0.140888
1,12,1786606573.962143,0,1,52.819683,-13.206828,37.382226,-13.400424,-1.347405,-0.020784,1.347566,-0.628900,0.001138,0.628901,-3.126169,15.438670,0.165238
1,13,1786606574.002188,0,1,52.762962,-13.207728,37.356089,-13.400355,-1.418015,-0.022496,1.418194,-0.653428,0.001727,0.653431,-3.125729,15.408077,0.192594
