simulation_id,seq,time,cyclist_id,pedestrian_id,cyclist_x,cyclist_y,pedestrian_x,pedestrian_y,cyclist_vx,cyclist_vy,cyclist_speed,pedestrian_vx,pedestrian_vy,pedestrian_speed,cyclist_heading,distance,app_angle
1,0,1786606126.315569,0,1,53.280000,-13.199968,37.597264,-13.400031,-0.499999,0.000796,0.500000,-0.068396,-0.000784,0.068401,3.140000,15.684012,0.822130
1,0,1786606126.355526,0,1,53.280000,-13.199968,37.591392,-13.400093,-0.499999,0.000796,0.500000,-0.146792,-0.001550,0.146801,3.140000,15.689884,0.822083
1,1,1786606126.395541,0,1,53.257181,-13.200498,37.582385,-13.400185,-0.570467,-0.013250,0.570621,-0.225189,-0.002300,0.225200,-3.118371,15.676068,0.600624
1,2,1786606126.435474,0,1,53.231540,-13.201165,37.570241,-13.400307,-0.641024,-0.016683,0.641241,-0.303585,-0.003030,0.303600,-3.115573,15.662565,0.762308
1,3,1786606126.475471,0,1,53.203076,-13.201910,37.554962,-13.400456,-0.711614,-0.018621,0.711858,-0.381982,-0.003741,0.382000,-3.115431,15.649373,0.772007
1,4,1786606126.515486,0,1,53.171788,-13.202748,37.536547,-13.400633,-0.782191,-0.020943,0.782471,-0.460379,-0.004430,0.460400,-3.114824,15.636493,0.808588
1,5,1786606126.555611,0,1,53.137678,-13.203686,37.514996,-13.400837,-0.852757,-0.023445,0.853079,-0.538776,-0.005096,0.538800,-3.114106,15.623926,0.851862
1,6,1786606126.595551,0,1,53.100745,-13.204733,37.490481,-13.401065,-0.923313,-0.026170,0.923684,-0.612876,-0.005703,0.612903,-3.113257,15.611499,0.902928
1,7,1786606126.635539,0,1,53.060991,-13.205898,37.463234,-13.401315,-0.993856,-0.029127,0.994283,-0.681180,-0.006239,0.681209,-3.112294,15.598981,0.960917
1,8,1786606126.675605,0,1,53.018416,-13.207191,37.433468,-13.401583,-1.064387,-0.032333,1.064878,-0.744152,-0.006710,0.744182,-3.111225,15.586160,1.025349
1,9,1786606126.715546,0,1,52.973020,-13.208623,37.401379,-13.401868,-1.134903,-0.035801,1.135468,-0.802218,-0.007121,0.802250,-3.110057,15.572840,1.095829
1,10,1786606126.755608,0,1,52.924803,-13.210205,37.367148,-13.402167,-1.205405,-0.039544,1.206053,-0.855771,-0.007477,0.855804,-3.108799,15.558839,1.172037
1,11,1786606126.795548,0,1,52.873768,-13.211948,37.330941,-13.402479,-1.275889,-0.043575,1.276633,-0.905172,-0.007783,0.905205,-3.107454,15.543994,1.253707
1,12,1786606126.835541,0,1,52.819913,-13.213864,37.292911,-13.402800,-1.346356,-0.047904,1.347208,-0.950753,-0.008043,0.950787,-3.106027,15.528152,1.340610
1,13,1786606126.875638,0,1,52.763241,-13.215966,37.253198,-13.403131,-1.416805,-0.052544,1.417779,-0.992819,-0.008260,0.992854,-3.104523,15.511172,1.432550
1,14,1786606126.915606,0,1,52.703752,-13.218266,37.211932,-13.403468,-1.487233,-0.057505,1.488344,-1.031653,-0.008438,1.031687,-3.102946,15.492927,1.529352
1,15,1786606126.955554,0,1,52.641446,-13.220778,37.169232,-13.403811,-1.557639,-0.062796,1.558904,-1.067512,-0.008579,1.067546,-3.101299,15.473297,1.630861
1,16,1786606126.995550,0,1,52.576326,-13.223515,37.125206,-13.404159,-1.628022,-0.068427,1.629460,-1.100634,-0.008688,1.100668,-3.099587,15.452175,1.736934
1,17,1786606127.035550,0,1,52.508390,-13.226491,37.079957,-13.404510,-1.698381,-0.074406,1.700010,-1.131238,-0.008767,1.131272,-3.097811,15.429460,1.847442
1,18,1786606127.075538,0,1,52.437642,-13.229721,37.033576,-13.404862,-1.768714,-0.080740,1.770556,-1.159527,-0.008818,1.159560,-3.095975,15.405062,1.962266
1,19,1786606127.115534,0,1,52.364081,-13.233218,36.986148,-13.405216,-1.839020,-0.087437,1.841097,-1.185684,-0.008843,1.185717,-3.094083,15.378894,2.081295
1,20,1786606127.155541,0,1,52.287709,-13.236998,36.937753,-13.405570,-1.909296,-0.094503,1.911634,-1.209881,-0.008845,1.209914,-3.092137,15.350881,2.204426
1,21,1786606127.195510,0,1,52.208527,-13.241076,36.888462,-13.405923,-1.979543,-0.101944,1.982166,-1.232275,-0.008825,1.232306,-3.090139,15.320952,2.331561
1,22,1786606127.235517,0,1,52.126537,-13.245467,36.838342,-13.406274,-2.049757,-0.109764,2.052694,-1.253009,-0.008786,1.253039,-3.088094,15.289041,2.462612
1,23,1786606127.275539,0,1,52.041740,-13.250185,36.787463,-13.406625,-2.119938,-0.117968,2.123218,-1.271970,-0.008777,1.272000,-3.086003,15.255079,2.597484
1,24,1786606127.315549,0,1,51.954127,-13.255103,36.735891,-13.406977,-2.190309,-0.122944,2.193757,-1.289299,-0.008796,1.289329,-3.085520,15.218994,2.640925
1,25,1786606127.355526,0,1,51.863701,-13.260240,36.683686,-13.407331,-2.260663,-0.128421,2.264308,-1.305128,-0.008842,1.305158,-3.084847,15.180727,2.696130
1,26,1786606127.395547,0,1,51.770459,-13.265595,36.630903,-13.407687,-2.331030,-0.133868,2.334870,-1.319576,-0.008912,1.319606,-3.084227,15.140223,2.749067
1,27,1786606127.435540,0,1,51.674403,-13.271168,36.577593,-13.408047,-2.401404,-0.139330,2.405442,-1.332754,-0.009003,1.332784,-3.083637,15.097431,2.801117
1,28,1786606127.475549,0,1,51.575532,-13.276959,36.523802,-13.408412,-2.471788,-0.144775,2.476024,-1.344763,-0.009115,1.344794,-3.083088,15.052304,2.851675
1,29,1786606127.515522,0,1,51.473845,-13.282966,36.469574,-13.408782,-2.542181,-0.150183,2.546614,-1.355697,-0.009246,1.355729,-3.082585,15.004798,2.900471
1,30,1786606127.555539,0,1,51.369341,-13.289188,36.414949,-13.409158,-2.612586,-0.155531,2.617211,-1.365642,-0.009394,1.365675,-3.082131,14.954874,2.947239
1,31,1786606127.595531,0,1,51.262021,-13.295619,36.359962,-13.409540,-2.683001,-0.160798,2.687815,-1.374677,-0.009558,1.374711,-3.081732,14.902495,2.991759
1,32,1786606127.635523,0,1,51.151884,-13.302258,36.304647,-13.409929,-2.753429,-0.165963,2.758426,-1.382875,-0.009737,1.382910,-3.081390,14.847628,3.033841
1,33,1786606127.675531,0,1,51.038929,-13.309098,36.249034,-13.410327,-2.823869,-0.171007,2.829042,-1.390303,-0.009929,1.390338,-3.081109,14.790241,3.073326
1,34,1786606127.715527,0,1,50.923156,-13.316135,36.193154,-13.410732,-2.894322,-0.175910,2.899662,-1.397022,-0.010133,1.397059,-3.080890,14.730307,3.110078
1,35,1786606127.755553,0,1,50.804565,-13.323361,36.137030,-13.411146,-2.964788,-0.180653,2.970287,-1.403089,-0.010349,1.403127,-3.080735,14.667797,3.143981
1,36,1786606127.795532,0,1,50.683154,-13.330770,36.080688,-13.411569,-3.035270,-0.185218,3.040916,-1.408556,-0.010575,1.408596,-3.080646,14.602690,3.174937
1,37,1786606127.835541,0,1,50.558923,-13.338353,36.024149,-13.412001,-3.105766,-0.189586,3.111547,-1.413472,-0.010810,1.413513,-3.080625,14.534961,3.202864
1,38,1786606127.875516,0,1,50.431872,-13.346103,35.967434,-13.412443,-3.176278,-0.193740,3.182181,-1.417880,-0.011054,1.417923,-3.080672,14.464591,3.227693
