time_step,object_id,user_type,tl_x,tl_y,br_x,br_y,__file__,x_m,y_m
0,0,1,28.444,12.969,29.571,13.836,P2_01_02_04.csv,29.0075,13.4025
1,0,1,28.408,12.945,29.583,13.848,P2_01_02_04.csv,28.999473509933775,13.398486754966887
2,0,1,28.468,12.945,29.644,13.848,P2_01_02_04.csv,29.03355910011844,13.396492635486556
3,0,1,28.48,12.945,29.656,13.848,P2_01_02_04.csv,29.05810109363059,13.395638928892156
4,0,1,28.528,12.945,29.704,13.848,P2_01_02_04.csv,29.095634328408806,13.39530126356663
5,0,1,28.865,13.173,29.488,13.715,P2_01_02_04.csv,29.145410293580206,13.417680392243946
11,0,1,28.768,13.125,29.62,13.824,P2_01_02_04.csv,29.18292848694107,13.445247752243363
12,0,1,28.805,13.125,29.656,13.824,P2_01_02_04.csv,29.22070562193822,13.4631986187286
13,0,1,28.829,13.125,29.68,13.824,P2_01_02_04.csv,29.253647806955478,13.47475643803175
14,0,1,28.865,13.137,29.716,13.836,P2_01_02_04.csv,29.28782347036086,13.48646702896139
15,0,1,28.901,13.149,29.752,13.848,P2_01_02_04.csv,29.322877117394814,13.498289118965646
16,0,1,28.925,13.137,29.777,13.836,P2_01_02_04.csv,29.354263728314304,13.501244587750874
17,0,1,28.961,13.149,29.813,13.848,P2_01_02_04.csv,29.38711093607006,13.506427115750535
18,0,1,28.998,13.149,29.849,13.848,P2_01_02_04.csv,29.421299014810074,13.509078172896494
19,0,1,29.034,13.15,29.885,13.848,P2_01_02_04.csv,29.456329009410158,13.510102469261918
20,0,1,29.095,13.113,30.367,14.016,P2_01_02_04.csv,29.578832269873264,13.534028812259573
21,0,1,29.203,13.174,30.235,13.956,P2_01_02_04.csv,29.663818970485785,13.551736239554046
22,0,1,29.239,13.174,30.271,13.956,P2_01_02_04.csv,29.735126404055606,13.563967533543844
23,0,1,29.287,13.186,30.319,13.968,P2_01_02_04.csv,29.799417943131022,13.576195620561217
24,0,1,29.324,13.186,30.355,13.968,P2_01_02_04.csv,29.853744715628135,13.583977936173818
25,0,1,29.36,13.186,30.391,13.968,P2_01_02_04.csv,29.900181075460473,13.588335826530438
26,0,1,29.408,13.198,30.44,13.98,P2_01_02_04.csv,29.94541751892851,13.594611128049445
27,0,1,29.444,13.198,30.476,13.98,P2_01_02_04.csv,29.9855467707989,13.598126786800288
28,0,1,29.468,13.198,30.5,13.98,P2_01_02_04.csv,30.017699505026656,13.599621136582016
29,0,1,29.505,13.198,30.536,13.98,P2_01_02_04.csv,30.048777872460832,13.599720737668173
30,0,1,29.517,13.162,30.537,13.932,P2_01_02_04.csv,30.068547758566893,13.583446746034506
32,0,1,29.529,13.174,30.549,13.944,P2_01_02_04.csv,30.082151998176624,13.574701394547525
33,0,1,29.553,13.162,30.573,13.932,P2_01_02_04.csv,30.09616050119188,13.563508581574213
