time_step,object_id,user_type,tl_x,tl_y,br_x,br_y,__file__,x_m,y_m
0,0,1,50.201,13.015,51.113,13.729,P2_01_02_07.csv,50.657,13.372
1,0,1,50.177,12.992,51.125,13.74,P2_01_02_07.csv,50.65298675496688,13.367986754966887
2,0,1,50.154,12.992,51.102,13.74,P2_01_02_07.csv,50.63651828721643,13.365992635486556
3,0,1,50.142,12.98,51.09,13.729,P2_01_02_07.csv,50.6214355202756,13.358568038528531
4,0,1,50.13,12.992,51.078,13.741,P2_01_02_07.csv,50.60747825316453,13.360841736319523
5,0,1,49.836,12.994,50.643,13.779,P2_01_02_07.csv,50.42741616967199,13.371885278409644
61,0,1,50.119,12.992,51.066,13.741,P2_01_02_07.csv,50.4698635638046,13.370196946634994
62,0,1,50.095,12.993,51.043,13.741,P2_01_02_07.csv,50.492542883981464,13.36918747503476
63,0,1,49.553,12.937,50.501,13.686,P2_01_02_07.csv,50.296273276862145,13.346438188022136
64,0,1,49.589,12.949,50.525,13.697,P2_01_02_07.csv,50.16887142713558,13.334505477322812
65,0,1,49.553,12.949,50.478,13.698,P2_01_02_07.csv,50.06593399989747,13.326445959925996
66,0,1,49.518,12.949,50.442,13.698,P2_01_02_07.csv,49.98441080706893,13.321173593580218
67,0,1,49.483,12.95,50.407,13.698,P2_01_02_07.csv,49.91979026820042,13.31821755888753
68,0,1,49.459,12.95,50.372,13.699,P2_01_02_07.csv,49.87010640097336,13.316988273054958
69,0,1,49.412,12.95,50.325,13.699,P2_01_02_07.csv,49.82498762274111,13.316804136648667
70,0,1,49.377,12.95,50.289,13.699,P2_01_02_07.csv,49.786864894331046,13.3172977819808
71,0,1,49.33,12.951,50.231,13.7,P2_01_02_07.csv,49.74710542075005,13.318550475242759
72,0,1,49.294,12.951,50.195,13.7,P2_01_02_07.csv,49.71138815742556,13.319893792188655
73,0,1,49.247,12.963,50.148,13.712,P2_01_02_07.csv,49.674142569550284,13.325613259353092
74,0,1,49.224,12.975,50.113,13.724,P2_01_02_07.csv,49.64179462513204,13.334593856963682
75,0,1,49.189,12.964,50.078,13.712,P2_01_02_07.csv,49.61059080441657,13.337206230444496
76,0,1,49.153,12.976,50.042,13.724,P2_01_02_07.csv,49.57943850158792,13.343343357978638
77,0,1,49.118,12.964,49.995,13.713,P2_01_02_07.csv,49.546089911328856,13.343505987373996
78,0,1,49.083,12.976,49.96,13.725,P2_01_02_07.csv,49.512959415743744,13.34763551847571
79,0,1,49.059,12.964,49.936,13.713,P2_01_02_07.csv,49.48387383630903,13.346045641371784
80,0,1,49.036,12.976,49.913,13.725,P2_01_02_07.csv,49.458114528675864,13.348866790602859
81,0,1,48.988,12.965,49.866,13.714,P2_01_02_07.csv,49.425641474100104,13.34672198106296
82,0,1,48.953,12.977,49.831,13.726,P2_01_02_07.csv,49.39234470362716,13.349218386987353
83,0,1,48.918,12.965,49.783,13.715,P2_01_02_07.csv,49.35599612194567,13.346735784515685
84,0,1,48.894,12.977,49.76,13.727,P2_01_02_07.csv,49.323947946689,13.349057532905812
85,0,1,48.859,12.966,49.725,13.715,P2_01_02_07.csv,49.29105397496699,13.346517183847453
86,0,1,48.824,12.978,49.689,13.727,P2_01_02_07.csv,49.257274362614766,13.348859567408997
87,0,1,48.788,12.966,49.654,13.716,P2_01_02_07.csv,49.222798939383075,13.346387703369059
88,0,1,48.753,12.978,49.619,13.728,P2_01_02_07.csv,49.18798717651397,13.348823337785134
89,0,1,48.706,12.967,49.572,13.716,P2_01_02_07.csv,49.148523884490615,13.346452950924542
90,0,1,48.671,12.979,49.536,13.728,P2_01_02_07.csv,49.10976508163366,13.348987192092546
91,0,1,48.623,12.967,49.489,13.717,P2_01_02_07.csv,49.06728572510384,13.346705766257896
92,0,1,48.588,12.968,49.454,13.717,P2_01_02_07.csv,49.02666719516425,13.345075916350737
93,0,1,48.553,12.968,49.418,13.717,P2_01_02_07.csv,48.987485508833345,13.343842299757483
94,0,1,48.517,12.968,49.383,13.717,P2_01_02_07.csv,48.94950345074202,13.342956847955742
95,0,1,48.589,13.074,49.075,13.46,P2_01_02_07.csv,48.882059327523656,13.314525735828788
96,0,1,48.435,12.922,49.265,13.636,P2_01_02_07.csv,48.842139805003576,13.297224851414633
97,0,1,48.399,12.922,49.229,13.636,P2_01_02_07.csv,48.804289890455784,13.28485450576986
98,0,1,48.376,12.922,49.194,13.636,P2_01_02_07.csv,48.770474337255706,13.276579765731835
99,0,1,48.34,12.922,49.159,13.636,P2_01_02_07.csv,48.73719189180874,13.27154810921497
100,0,1,48.317,12.934,49.135,13.648,P2_01_02_07.csv,48.70849404371263,13.273387882797586
101,0,1,48.282,12.934,49.088,13.649,P2_01_02_07.csv,48.67665150105886,13.27613307544703
102,0,1,48.258,12.935,49.065,13.649,P2_01_02_07.csv,48.648548071587285,13.279271479218783
103,0,1,48.211,12.935,49.017,13.649,P2_01_02_07.csv,48.614322491248494,13.282264144380864
104,0,1,48.175,12.935,48.97,13.65,P2_01_02_07.csv,48.57738930849704,13.285111362939086
105,0,1,48.14,12.935,48.935,13.65,P2_01_02_07.csv,48.54078038248004,13.287495917074828
106,0,1,48.105,12.936,48.9,13.65,P2_01_02_07.csv,48.50450400180792,13.289583262611131
107,0,1,48.058,12.936,48.841,13.651,P2_01_02_07.csv,48.461902623520594,13.291356853343604
108,0,1,48.034,12.936,48.817,13.651,P2_01_02_07.csv,48.42517386478082,13.292646829749197
109,0,1,47.987,12.936,48.77,13.651,P2_01_02_07.csv,48.38468415337537,13.293528998398639
110,0,1,47.952,12.937,48.735,13.651,P2_01_02_07.csv,48.34572705982823,13.29426796263194
111,0,1,47.916,12.937,48.699,13.652,P2_01_02_07.csv,48.30768325452619,13.29489753299039
112,0,1,47.881,12.937,48.664,13.652,P2_01_02_07.csv,48.2707470979702,13.295263403305809
113,0,1,47.846,12.937,48.629,13.652,P2_01_02_07.csv,48.23466405306235,13.295433725850211
114,0,1,47.798,12.926,48.582,13.641,P2_01_02_07.csv,48.19459706423145,13.29141151420799
115,0,1,47.763,12.926,48.546,13.641,P2_01_02_07.csv,48.155848600665465,13.288243625491761
116,0,1,47.739,12.915,48.523,13.629,P2_01_02_07.csv,48.122614883135526,13.281626895628323
117,0,1,47.716,12.915,48.499,13.629,P2_01_02_07.csv,48.09363609537369,13.276684755921616
118,0,1,47.68,12.915,48.464,13.63,P2_01_02_07.csv,48.063354586112666,13.273376830042999
119,0,1,47.633,12.904,48.416,13.618,P2_01_02_07.csv,48.02741177894359,13.266978930006696
120,0,1,47.598,12.904,48.381,13.618,P2_01_02_07.csv,47.99158521572024,13.262464790598987
121,0,1,47.574,12.904,48.358,13.619,P2_01_02_07.csv,47.96013760600436,13.259682910334504
122,0,1,47.539,12.892,48.322,13.607,P2_01_02_07.csv,47.92766173354762,13.253646813032727
123,0,1,47.492,12.893,48.275,13.607,P2_01_02_07.csv,47.890056529585785,13.249690999112813
124,0,1,47.456,12.893,48.24,13.608,P2_01_02_07.csv,47.85270653474762,13.247402534434078
125,0,1,47.421,12.893,48.204,13.608,P2_01_02_07.csv,47.815664648734995,13.24620390521272
126,0,1,47.374,12.894,48.157,13.608,P2_01_02_07.csv,47.77469989466931,13.245972884590103
127,0,1,47.338,12.894,48.122,13.609,P2_01_02_07.csv,47.735018940547604,13.246410811970918
128,0,1,47.303,12.894,48.086,13.609,P2_01_02_07.csv,47.6964806656974,13.247091644249592
129,0,1,47.256,12.906,48.039,13.621,P2_01_02_07.csv,47.6546652945122,13.25229596548601
130,0,1,47.221,12.906,48.004,13.621,P2_01_02_07.csv,47.6147933369531,13.256471744228682
131,0,1,47.185,12.907,47.969,13.621,P2_01_02_07.csv,47.576351042535144,13.259850745583517
132,0,1,47.138,12.907,47.921,13.622,P2_01_02_07.csv,47.53462085934014,13.262497978669733
133,0,1,47.103,12.907,47.886,13.622,P2_01_02_07.csv,47.49496512323961,13.264328284323621
134,0,1,47.079,12.907,47.863,13.622,P2_01_02_07.csv,47.46122882904056,13.265497425090983
135,0,1,47.044,12.908,47.827,13.622,P2_01_02_07.csv,47.427618651548684,13.266340612169921
136,0,1,46.997,12.92,47.78,13.635,P2_01_02_07.csv,47.389698044617894,13.271374987665872
137,0,1,46.891,12.991,47.793,13.776,P2_01_02_07.csv,47.348519142158885,13.314120668957203
138,0,1,46.95,13.026,47.746,13.741,P2_01_02_07.csv,47.324216474072614,13.346619155900541
139,0,1,46.915,13.027,47.71,13.741,P2_01_02_07.csv,47.29767522929078,13.37025061621691
140,0,1,46.88,13.027,47.663,13.742,P2_01_02_07.csv,47.266981145603246,13.386446285031527
141,0,1,46.856,13.027,47.639,13.742,P2_01_02_07.csv,47.23911412550345,13.396516190248015
142,0,1,46.821,13.027,47.604,13.742,P2_01_02_07.csv,47.20928357528968,13.40191871005424
143,0,1,46.762,13.028,47.533,13.743,P2_01_02_07.csv,47.166742092991655,13.404314073170289
144,0,1,46.738,13.04,47.51,13.755,P2_01_02_07.csv,47.12969205878274,13.408755657284587
145,0,1,46.691,13.04,47.463,13.755,P2_01_02_07.csv,47.0885213446461,13.410665369146452
146,0,1,46.656,13.04,47.427,13.755,P2_01_02_07.csv,47.04852591371412,13.410824938702632
147,0,1,46.608,13.041,47.38,13.756,P2_01_02_07.csv,47.00520540531685,13.410235627074155
148,0,1,46.573,13.041,47.345,13.756,P2_01_02_07.csv,46.964062225975404,13.408931129353306
149,0,1,46.538,13.053,47.309,13.768,P2_01_02_07.csv,46.92459738904053,13.411703009507429
150,0,1,46.491,13.053,47.262,13.768,P2_01_02_07.csv,46.88226724747659,13.413357350030632
151,0,1,46.455,13.053,47.227,13.769,P2_01_02_07.csv,46.841997047354766,13.414359069562835
152,0,1,46.42,13.042,47.191,13.745,P2_01_02_07.csv,46.80340633396362,13.40827256306472
153,0,1,46.384,13.054,47.156,13.757,P2_01_02_07.csv,46.76612147698549,13.407680545799986
154,0,1,46.349,13.054,47.121,13.758,P2_01_02_07.csv,46.7299871844716,13.40731788451129
155,0,1,46.313,13.031,47.085,13.734,P2_01_02_07.csv,46.694300698288615,13.398320090834005
156,0,1,46.278,13.031,47.05,13.734,P2_01_02_07.csv,46.65924069435168,13.391382671007015
157,0,1,46.243,13.019,47.014,13.723,P2_01_02_07.csv,46.62439662173004,13.382057315563044
158,0,1,46.207,13.032,46.967,13.735,P2_01_02_07.csv,46.587424634900295,13.379900107622161
159,0,1,46.184,13.02,46.943,13.723,P2_01_02_07.csv,46.55538584542451,13.374400027562519
160,0,1,46.148,13.032,46.908,13.735,P2_01_02_07.csv,46.522715667284466,13.375121564652309
161,0,1,46.101,13.009,46.861,13.712,P2_01_02_07.csv,46.48518214829258,13.367763006961825
162,0,1,46.054,13.009,46.814,13.712,P2_01_02_07.csv,46.44382617390219,13.362540364546872
163,0,1,46.018,13.009,46.778,13.713,P2_01_02_07.csv,46.40366413270656,13.359265464246269
164,0,1,45.983,13.009,46.743,13.713,P2_01_02_07.csv,46.364955220228964,13.35733579275957
165,0,1,45.947,12.998,46.707,13.701,P2_01_02_07.csv,46.32708969412291,13.352168812881287
166,0,1,45.9,13.01,46.66,13.714,P2_01_02_07.csv,46.28584928606755,13.353303355047995
167,0,1,45.853,12.999,46.613,13.702,P2_01_02_07.csv,46.24202063893304,13.350470708871002
168,0,1,45.806,12.999,46.566,13.702,P2_01_02_07.csv,46.196306020338085,13.348684747834547
169,0,1,45.77,12.999,46.53,13.703,P2_01_02_07.csv,46.153354180974276,13.347885820607699
170,0,1,45.735,13.011,46.495,13.715,P2_01_02_07.csv,46.11306756845924,13.352053120270005
171,0,1,45.7,13.0,46.46,13.703,P2_01_02_07.csv,46.07488359932828,13.351313888454644
172,0,1,45.664,13.012,46.424,13.715,P2_01_02_07.csv,46.03791135457712,13.355286224279299
173,0,1,45.617,13.0,46.377,13.704,P2_01_02_07.csv,45.997725788816226,13.354206749651526
174,0,1,45.582,13.012,46.342,13.716,P2_01_02_07.csv,45.959394402317585,13.357774160133546
175,0,1,45.546,13.013,46.306,13.716,P2_01_02_07.csv,45.92212959447605,13.36070533410584
176,0,1,45.523,13.025,46.283,13.728,P2_01_02_07.csv,45.89043154974539,13.367281566025973
177,0,1,45.476,13.037,46.236,13.74,P2_01_02_07.csv,45.85409051330052,13.376589919867675
178,0,1,45.452,13.037,46.212,13.74,P2_01_02_07.csv,45.822451166529916,13.383412729697966
179,0,1,45.405,13.025,46.165,13.729,P2_01_02_07.csv,45.78590726249872,13.38388438111662
180,0,1,45.357,13.026,46.118,13.729,P2_01_02_07.csv,45.74525190933429,13.383819484030235
181,0,1,45.322,13.026,46.082,13.73,P2_01_02_07.csv,45.70588133428387,13.383460740556403
182,0,1,45.287,13.038,46.047,13.742,P2_01_02_07.csv,45.6678137379341,13.387224611829785
183,0,1,45.239,13.026,45.999,13.73,P2_01_02_07.csv,45.62601954479078,13.385397079073375
184,0,1,45.216,13.038,45.976,13.742,P2_01_02_07.csv,45.59059677326644,13.38807983126848
185,0,1,45.157,13.027,45.917,13.731,P2_01_02_07.csv,45.546910715618246,13.38587050782708
186,0,1,45.121,13.027,45.881,13.731,P2_01_02_07.csv,45.505270943630364,13.383929833713495
187,0,1,45.086,13.028,45.846,13.731,P2_01_02_07.csv,45.46573981563166,13.382497301499717
188,0,1,45.062,13.04,45.822,13.743,P2_01_02_07.csv,45.431955474590374,13.385779008390326
189,0,1,45.015,13.028,45.775,13.732,P2_01_02_07.csv,45.39409679159375,13.384065465456766
190,0,1,44.992,13.04,45.752,13.744,P2_01_02_07.csv,45.36178806593946,13.38708489519032
191,0,1,44.944,13.029,45.704,13.732,P2_01_02_07.csv,45.32450557437688,13.38514174115239
192,0,1,44.909,13.017,45.669,13.721,P2_01_02_07.csv,45.288024435618084,13.37930629832983
193,0,1,44.873,13.017,45.633,13.721,P2_01_02_07.csv,45.251798199836735,13.374803413731373
194,0,1,44.85,13.017,45.61,13.721,P2_01_02_07.csv,45.22054378517561,13.371499569242433
195,0,1,44.814,12.994,45.574,13.698,P2_01_02_07.csv,45.188291084202,13.360735418369693
196,0,1,44.791,13.006,45.551,13.71,P2_01_02_07.csv,45.15990333055664,13.357193291416275
197,0,1,44.743,12.995,45.503,13.698,P2_01_02_07.csv,45.125166499257546,13.350781303016552
198,0,1,44.708,12.995,45.468,13.699,P2_01_02_07.csv,45.09016050152175,13.346577497956998
199,0,1,44.672,12.995,45.433,13.699,P2_01_02_07.csv,45.05480070873108,13.343957148190118
200,0,1,44.649,13.007,45.409,13.711,P2_01_02_07.csv,45.023630655537794,13.346968891477967
201,0,1,44.601,12.984,45.362,13.688,P2_01_02_07.csv,44.98686659747868,13.341346396430279
202,0,1,44.578,12.996,45.338,13.7,P2_01_02_07.csv,44.95456641140342,13.341796274404146
203,0,1,44.519,12.984,45.279,13.688,P2_01_02_07.csv,44.91269518666857,13.338148971653935
204,0,1,44.483,12.985,45.244,13.688,P2_01_02_07.csv,44.87208479062484,13.335859975478384
205,0,1,44.448,12.985,45.208,13.689,P2_01_02_07.csv,44.83267642082808,13.334650097262106
206,0,1,44.424,12.997,45.185,13.701,P2_01_02_07.csv,44.79876168265605,13.338497232135783
207,0,1,44.377,12.985,45.137,13.689,P2_01_02_07.csv,44.76029418417034,13.337336245734788
208,0,1,44.342,12.997,45.102,13.701,P2_01_02_07.csv,44.72284336459851,13.341000818077308
209,0,1,44.306,12.998,45.066,13.701,P2_01_02_07.csv,44.68586043256342,13.344134233004764
210,0,1,44.271,12.998,45.031,13.702,P2_01_02_07.csv,44.64961966974718,13.346723082325916
211,0,1,44.235,12.998,44.996,13.702,P2_01_02_07.csv,44.61376169051299,13.348617826719012
212,0,1,44.224,13.01,44.984,13.714,P2_01_02_07.csv,44.58702228206424,13.354348061225952
213,0,1,44.176,13.01,44.937,13.714,P2_01_02_07.csv,44.55397769702448,13.35857362356413
214,0,1,44.165,13.022,44.925,13.726,P2_01_02_07.csv,44.52907671530607,13.365937758075445
215,0,1,44.117,13.023,44.878,13.726,P2_01_02_07.csv,44.497108974008974,13.371411767773834
216,0,1,44.082,13.023,44.842,13.727,P2_01_02_07.csv,44.463870006428365,13.375297304566617
217,0,1,44.046,13.023,44.807,13.727,P2_01_02_07.csv,44.42964884536369,13.377726674809916
218,0,1,44.023,13.035,44.783,13.739,P2_01_02_07.csv,44.399130237080925,13.38346795638488
219,0,1,43.976,13.024,44.736,13.728,P2_01_02_07.csv,44.362842638640515,13.383317596402572
220,0,1,43.952,13.035,44.712,13.74,P2_01_02_07.csv,44.330541625688106,13.386881142937266
221,0,1,43.905,13.024,44.665,13.728,P2_01_02_07.csv,44.29293717325078,13.384940137847877
222,0,1,43.857,13.024,44.618,13.728,P2_01_02_07.csv,44.25105371800399,13.383004413813492
223,0,1,43.822,13.025,44.582,13.729,P2_01_02_07.csv,44.2104468410988,13.381594513511804
224,0,1,43.786,13.037,44.547,13.741,P2_01_02_07.csv,44.17105165379685,13.38476360135549
225,0,1,43.751,13.025,44.511,13.729,P2_01_02_07.csv,44.132730915844824,13.382676658620511
226,0,1,43.727,13.049,44.488,13.753,P2_01_02_07.csv,44.099736850410586,13.389756573646062
227,0,1,43.668,13.037,44.429,13.742,P2_01_02_07.csv,44.05777157648337,13.39087967803177
228,0,1,43.633,13.026,44.393,13.73,P2_01_02_07.csv,44.01745328495813,13.387239194242259
229,0,1,43.597,13.026,44.358,13.73,P2_01_02_07.csv,43.97855759457397,13.384206804401344
230,0,1,43.574,13.038,44.334,13.742,P2_01_02_07.csv,43.94525405269747,13.386223487373298
231,0,1,43.538,13.027,44.299,13.731,P2_01_02_07.csv,43.911835618276086,13.383741161571196
232,0,1,43.503,13.039,44.263,13.743,P2_01_02_07.csv,43.87817925929767,13.386221560533683
233,0,1,43.467,13.015,44.228,13.719,P2_01_02_07.csv,43.8442262083217,13.37931867158983
234,0,1,43.432,13.015,44.192,13.72,P2_01_02_07.csv,43.80996293839475,13.374166343138423
235,0,1,43.396,13.016,44.157,13.72,P2_01_02_07.csv,43.77540555829062,13.370568274711147
236,0,1,43.361,13.016,44.121,13.72,P2_01_02_07.csv,43.74058760629744,13.368092701864137
237,0,1,43.325,13.016,44.086,13.72,P2_01_02_07.csv,43.7055509594015,13.366522473132758
238,0,1,43.278,13.028,44.039,13.733,P2_01_02_07.csv,43.66609953925587,13.370257142084947
239,0,1,43.243,13.017,44.003,13.721,P2_01_02_07.csv,43.62750113023059,13.369188846339501
240,0,1,43.207,13.017,43.968,13.721,P2_01_02_07.csv,43.58968742369211,13.368499411754247
241,0,1,43.16,13.017,43.92,13.722,P2_01_02_07.csv,43.548128711263765,13.368288279757351
242,0,1,43.124,13.018,43.885,13.722,P2_01_02_07.csv,43.50815789423154,13.368435609914792
243,0,1,43.089,13.018,43.849,13.722,P2_01_02_07.csv,43.469544767229934,13.368652920472114
244,0,1,43.053,13.03,43.814,13.734,P2_01_02_07.csv,43.43203612285145,13.373321379615902
245,0,1,43.006,13.018,43.767,13.723,P2_01_02_07.csv,43.39114445852126,13.372718311534173
246,0,1,42.971,13.019,43.731,13.723,P2_01_02_07.csv,43.35187160028003,13.372345673027255
247,0,1,42.947,13.019,43.707,13.723,P2_01_02_07.csv,43.31816038224308,13.372003500438675
248,0,1,42.9,13.019,43.66,13.723,P2_01_02_07.csv,43.28025212656021,13.37170774881141
249,0,1,42.864,13.019,43.625,13.724,P2_01_02_07.csv,43.243211728948104,13.371649145538063
250,0,1,42.841,13.02,43.601,13.724,P2_01_02_07.csv,43.21126585018196,13.37178464123613
251,0,1,42.805,13.02,43.566,13.724,P2_01_02_07.csv,43.178783044977486,13.371887292913039
252,0,1,42.781,13.032,43.542,13.736,P2_01_02_07.csv,43.14996143109825,13.376385288959833
253,0,1,42.746,13.032,43.507,13.736,P2_01_02_07.csv,43.11977873087217,13.37982996432367
254,0,1,42.71,13.032,43.471,13.737,P2_01_02_07.csv,43.08798531211565,13.382520309492483
255,0,1,42.675,13.033,43.436,13.737,P2_01_02_07.csv,43.055209475980924,13.384560401238478
256,0,1,42.64,13.033,43.4,13.737,P2_01_02_07.csv,43.02145236163984,13.385883267560311
257,0,1,42.604,13.033,43.365,13.737,P2_01_02_07.csv,42.98693727149289,13.386648230960544
258,0,1,42.569,13.033,43.329,13.738,P2_01_02_07.csv,42.951865404566114,13.38718454538132
259,0,1,42.521,13.057,43.282,13.762,P2_01_02_07.csv,42.91198378393716,13.396237752981767
260,0,1,42.486,13.046,43.246,13.75,P2_01_02_07.csv,42.87288461505947,13.398767029931358
261,0,1,42.45,13.046,43.211,13.75,P2_01_02_07.csv,42.8345653915718,13.400302852592356
262,0,1,42.427,13.046,43.187,13.751,P2_01_02_07.csv,42.80138679588189,13.401273807906962
263,0,1,42.379,13.046,43.14,13.751,P2_01_02_07.csv,42.76337409333562,13.40166639170306
264,0,1,42.344,13.047,43.104,13.751,P2_01_02_07.csv,42.72597997270274,13.401846991929206
265,0,1,42.308,13.047,43.069,13.751,P2_01_02_07.csv,42.68912686914598,13.401734798866295
266,0,1,42.273,13.047,43.033,13.752,P2_01_02_07.csv,42.652722828271806,13.401631018857973
267,0,1,42.249,13.047,43.01,13.752,P2_01_02_07.csv,42.621098353087696,13.401396180474837
268,0,1,42.214,13.048,42.974,13.752,P2_01_02_07.csv,42.58871258001687,13.401281605430091
269,0,1,42.178,13.048,42.939,13.752,P2_01_02_07.csv,42.5555987474656,13.401107442350634
270,0,1,42.154,13.036,42.915,13.741,P2_01_02_07.csv,42.52607557976645,13.396669606377998
271,0,1,42.119,13.036,42.88,13.741,P2_01_02_07.csv,42.4952025435267,13.393218821544796
272,0,1,42.083,13.037,42.844,13.741,P2_01_02_07.csv,42.46278072153352,13.390849701753394
273,0,1,42.048,13.037,42.809,13.741,P2_01_02_07.csv,42.429465511111125,13.389207075426194
274,0,1,42.036,13.025,42.797,13.73,P2_01_02_07.csv,42.40393221158556,13.38391371735198
275,0,1,41.989,13.026,42.749,13.73,P2_01_02_07.csv,42.37129866758363,13.380246687435731
276,0,1,41.953,13.026,42.714,13.73,P2_01_02_07.csv,42.33742565934503,13.377753130053282
277,0,1,41.918,13.038,42.678,13.742,P2_01_02_07.csv,42.302640887298445,13.380622763667642
278,0,1,41.87,13.026,42.631,13.731,P2_01_02_07.csv,42.26279944217539,13.37893958107154
279,0,1,41.835,13.027,42.596,13.731,P2_01_02_07.csv,42.22376571620649,13.37802638093965
280,0,1,41.811,13.015,42.572,13.72,P2_01_02_07.csv,42.18961796430567,13.373287332002112
281,0,1,41.764,13.015,42.525,13.72,P2_01_02_07.csv,42.15088130237122,13.36983567150567
282,0,1,41.728,13.016,42.489,13.72,P2_01_02_07.csv,42.11264658217943,13.367655352683597
283,0,1,41.693,13.028,42.454,13.732,P2_01_02_07.csv,42.07527499123738,13.37073050702157
284,0,1,41.633,12.957,42.479,14.158,P2_01_02_07.csv,42.04508875103588,13.43885022028498
285,0,1,41.682,13.182,42.442,13.886,P2_01_02_07.csv,42.029110837479,13.482618349661973
286,0,1,41.646,13.182,42.407,13.875,P2_01_02_07.csv,42.008548615026456,13.512304537251827
287,0,1,41.611,13.182,42.371,13.875,P2_01_02_07.csv,41.98390537062847,13.532332649088561
288,0,1,41.587,13.194,42.348,13.887,P2_01_02_07.csv,41.960247330331185,13.549096382065937
289,0,1,41.552,13.194,42.312,13.875,P2_01_02_07.csv,41.932799584557046,13.556784411106953
290,0,1,41.516,13.195,42.277,13.876,P2_01_02_07.csv,41.90231955186317,13.560236042035413
291,0,1,41.492,13.195,42.253,13.876,P2_01_02_07.csv,41.8737662244132,13.560449695506657
292,0,1,41.469,13.195,42.229,13.876,P2_01_02_07.csv,41.84697538132671,13.558602193522168
293,0,1,41.433,13.195,42.194,13.876,P2_01_02_07.csv,41.81713445808657,13.5556002495738
294,0,1,41.398,13.195,42.158,13.876,P2_01_02_07.csv,41.78491833405368,13.552108010798548
295,0,1,41.374,13.184,42.135,13.865,P2_01_02_07.csv,41.75536602746577,13.54452816971255
296,0,1,41.338,13.184,42.099,13.865,P2_01_02_07.csv,41.72336773429164,13.53815156882943
297,0,1,41.291,13.172,42.052,13.854,P2_01_02_07.csv,41.685451750446056,13.528801352094735
