time_step,object_id,user_type,tl_x,tl_y,br_x,br_y,__file__,x_m,y_m
0,0,1,35.517,16.639,34.878,15.801,P2_02_04_11.csv,35.197500000000005,16.22
1,0,1,35.563,16.648,34.842,15.811,P2_02_04_11.csv,35.20084437086093,16.226354304635763
2,0,1,35.536,16.548,34.716,15.793,P2_02_04_11.csv,35.154363196109124,16.192381810569298
3,0,1,35.509,16.567,34.752,15.766,P2_02_04_11.csv,35.13312432967628,16.172535973996325
4,0,1,35.5,16.531,34.743,15.73,P2_02_04_11.csv,35.11799078969046,16.143811258859657
5,0,1,35.491,16.495,34.734,15.693,P2_02_04_11.csv,35.105996499752095,16.110508512749956
6,0,1,35.482,16.44,34.725,15.639,P2_02_04_11.csv,35.09571792434347,16.066879771455753
7,0,1,35.392,16.368,34.654,15.314,P2_02_04_11.csv,35.05684179181393,15.957442042153211
8,0,1,35.401,16.296,34.654,15.432,P2_02_04_11.csv,35.03299593617962,15.893056744447811
9,0,1,35.401,16.242,34.654,15.378,P2_02_04_11.csv,35.01795055765555,15.830706562989192
10,0,1,35.383,16.197,34.636,15.333,P2_02_04_11.csv,35.00246819361402,15.773431625781832
11,0,1,35.383,16.152,34.636,15.287,P2_02_04_11.csv,34.99327862032507,15.719923422268394
12,0,1,35.366,16.107,34.618,15.242,P2_02_04_11.csv,34.98224662150693,15.6695356148735
13,0,1,35.348,16.062,34.6,15.197,P2_02_04_11.csv,34.96939925374622,15.621524584966819
14,0,1,35.357,15.989,34.609,15.125,P2_02_04_11.csv,34.96497573864067,15.56510534384529
15,0,1,35.42,16.043,34.673,14.971,P2_02_04_11.csv,34.987034159801226,15.510411527761928
16,0,1,35.411,15.962,34.664,15.061,P2_02_04_11.csv,35.00236271188521,15.477278672630428
17,0,1,35.348,15.917,34.601,15.016,P2_02_04_11.csv,34.99159611591557,15.442490318398953
18,0,1,35.375,15.872,34.628,14.971,P2_02_04_11.csv,34.99339905243644,15.405844903768726
19,0,1,35.376,15.845,34.628,14.944,P2_02_04_11.csv,34.995365408751695,15.374001131523862
20,0,1,35.855,15.789,35.108,14.888,P2_02_04_11.csv,35.173961562073686,15.33487807835217
21,0,1,35.34,15.773,34.592,14.872,P2_02_04_11.csv,35.12104315252461,15.304569415268867
22,0,1,35.295,15.619,34.484,14.773,P2_02_04_11.csv,35.047112600463784,15.240216687693176
23,0,1,35.322,15.583,34.493,14.773,P2_02_04_11.csv,34.99455703696414,15.189442151816975
24,0,1,35.34,15.538,34.457,14.773,P2_02_04_11.csv,34.9511443308972,15.148183458005356
25,0,1,35.367,15.556,34.62,14.537,P2_02_04_11.csv,34.954581109276596,15.082530238289777
26,0,1,35.341,15.502,34.584,14.429,P2_02_04_11.csv,34.94841350252432,15.008356215079141
27,0,1,35.35,15.421,34.593,14.538,P2_02_04_11.csv,34.94895721224507,14.963285852201153
28,0,1,35.341,15.375,34.584,14.492,P2_02_04_11.csv,34.9477733928347,14.91916102094374
29,0,1,35.332,15.357,34.575,14.474,P2_02_04_11.csv,34.94487795139927,14.885807363574216
30,0,1,35.341,15.285,34.585,14.402,P2_02_04_11.csv,34.947237607775484,14.840564555679956
31,0,1,35.332,15.24,34.576,14.357,P2_02_04_11.csv,34.9466615184845,14.795644504427372
32,0,1,35.342,15.195,34.585,14.312,P2_02_04_11.csv,34.950383428447694,14.750921861527377
33,0,1,35.359,15.33,34.739,14.067,P2_02_04_11.csv,34.985297993083186,14.702614943166742
34,0,1,35.368,15.312,34.73,14.049,P2_02_04_11.csv,35.01240149265292,14.665154820024018
35,0,1,35.36,15.231,34.703,14.094,P2_02_04_11.csv,35.025968232809156,14.636088634497376
36,0,1,35.351,15.123,34.712,14.121,P2_02_04_11.csv,35.03497262885973,14.604905478921719
37,0,1,35.351,15.014,34.712,14.121,P2_02_04_11.csv,35.04038130862625,14.566483970690674
38,0,1,35.352,14.888,34.685,14.085,P2_02_04_11.csv,35.03829729364066,14.512445084133486
39,0,1,35.352,14.806,34.667,14.104,P2_02_04_11.csv,35.032090451007136,14.464654503445457
40,0,1,35.334,14.779,34.631,14.095,P2_02_04_11.csv,35.01642252642413,14.427080200665648
41,0,1,35.316,14.77,34.622,14.058,P2_02_04_11.csv,34.9988585631937,14.395667423640903
42,0,1,35.307,14.852,34.622,13.968,P2_02_04_11.csv,34.98373868450657,14.375817981107545
43,0,1,35.298,14.734,34.65,13.823,P2_02_04_11.csv,34.97616720302619,14.317520449740167
44,0,1,35.307,14.725,34.632,13.842,P2_02_04_11.csv,34.969555938992315,14.279459470655052
45,0,1,35.289,14.572,34.623,13.67,P2_02_04_11.csv,34.96040044781224,14.195840572016913
46,0,1,35.281,14.481,34.614,13.688,P2_02_04_11.csv,34.95113698855136,14.123647288723431
47,0,1,35.29,14.436,34.632,13.652,P2_02_04_11.csv,34.94997712676741,14.060028426729465
48,0,1,35.299,14.4,34.578,13.552,P2_02_04_11.csv,34.94182527379202,13.993520756532481
49,0,1,35.263,14.409,34.605,13.552,P2_02_04_11.csv,34.934755598469884,13.95180052461699
50,0,1,35.263,14.355,34.606,13.498,P2_02_04_11.csv,34.930416722383484,13.907833234633783
51,0,1,35.263,14.445,34.588,13.399,P2_02_04_11.csv,34.92468379167238,13.879900165877038
52,0,1,35.254,14.418,34.588,13.399,P2_02_04_11.csv,34.91947027764811,13.860633424616326
53,0,1,35.263,14.355,34.588,13.462,P2_02_04_11.csv,34.917959547536256,13.852273317509939
54,0,1,35.245,14.337,34.588,13.48,P2_02_04_11.csv,34.91428675485597,13.851462972507038
55,0,1,35.245,14.301,34.588,13.444,P2_02_04_11.csv,34.91214392442976,13.842210575605954
56,0,1,35.245,14.265,34.588,13.408,P2_02_04_11.csv,34.91113723928422,13.825503358039784
57,0,1,35.227,14.229,34.57,13.372,P2_02_04_11.csv,34.90429145145596,13.802556897078302
58,0,1,35.209,14.174,34.552,13.317,P2_02_04_11.csv,34.89287309730116,13.7676293044894
59,0,1,35.228,14.138,34.57,13.281,P2_02_04_11.csv,34.891502122539535,13.73054804052144
60,0,1,35.21,14.102,34.552,13.245,P2_02_04_11.csv,34.88459599992137,13.6921930463838
61,0,1,35.228,14.048,34.57,13.191,P2_02_04_11.csv,34.88658670213894,13.646584692380467
62,0,1,35.21,14.012,34.552,13.155,P2_02_04_11.csv,34.88219340825826,13.602366785690629
63,0,1,35.228,13.957,34.571,13.1,P2_02_04_11.csv,34.88614573538276,13.552674603816302
64,0,1,35.21,13.921,34.553,13.064,P2_02_04_11.csv,34.883065606953025,13.506109742418316
65,0,1,35.229,13.885,34.571,13.028,P2_02_04_11.csv,34.887817380290585,13.462358635043831
66,0,1,35.211,13.849,34.553,12.992,P2_02_04_11.csv,34.88514885987481,13.420999755356057
67,0,1,35.229,13.813,34.571,12.956,P2_02_04_11.csv,34.889850346090526,13.381576912944636
68,0,1,35.211,13.759,34.553,12.901,P2_02_04_11.csv,34.88698854891476,13.336827583875522
69,0,1,35.229,13.704,34.571,12.847,P2_02_04_11.csv,34.891421843905086,13.287940828728374
70,0,1,35.211,13.65,34.554,12.793,P2_02_04_11.csv,34.888450213320624,13.236180401127722
71,0,1,35.229,13.614,34.572,12.757,P2_02_04_11.csv,34.892737759686135,13.189064192114229
72,0,1,35.249,13.298,34.609,12.567,P2_02_04_11.csv,34.90656885648726,13.065758258493293
73,0,1,35.249,13.261,34.609,12.576,P2_02_04_11.csv,34.917082889705,12.972163855338891
74,0,1,35.248,13.334,34.609,12.494,P2_02_04_11.csv,34.92448307689563,12.907153461873493
75,0,1,35.249,13.298,34.609,12.458,P2_02_04_11.csv,34.92965842531746,12.853382796125581
76,0,1,35.249,13.243,34.609,12.404,P2_02_04_11.csv,34.93287337838669,12.801299200982786
77,0,1,35.249,13.207,34.609,12.368,P2_02_04_11.csv,34.93459526208332,12.756909376930151
78,0,1,35.249,13.153,34.609,12.313,P2_02_04_11.csv,34.93523773790979,12.711222655301171
79,0,1,35.249,13.117,34.61,12.277,P2_02_04_11.csv,34.935332063813384,12.670837619536897
80,0,1,35.249,13.062,34.61,12.223,P2_02_04_11.csv,34.93492822494815,12.627327328531399
81,0,1,35.25,13.008,34.61,12.169,P2_02_04_11.csv,34.93442631809723,12.581155174085094
82,0,1,35.25,12.972,34.61,12.132,P2_02_04_11.csv,34.933757763199495,12.539132595362231
83,0,1,35.232,12.918,34.592,12.078,P2_02_04_11.csv,34.92640076810442,12.493716488520693
84,0,1,35.232,12.864,34.592,12.024,P2_02_04_11.csv,34.92061197956521,12.445475965452218
85,0,1,35.232,12.809,34.592,11.97,P2_02_04_11.csv,34.91627317098037,12.394810385856664
86,0,1,35.214,12.755,34.575,11.915,P2_02_04_11.csv,34.906742485698224,12.34230916998463
87,0,1,35.214,12.701,34.575,11.861,P2_02_04_11.csv,34.899752903613056,12.288674621009784
88,0,1,35.196,12.665,34.557,11.825,P2_02_04_11.csv,34.888286560626995,12.240931899502877
89,0,1,35.197,12.611,34.557,11.771,P2_02_04_11.csv,34.88029554007912,12.191205437161559
90,0,1,35.197,12.574,34.557,11.734,P2_02_04_11.csv,34.87498885127248,12.14615472392898
91,0,1,35.179,12.52,34.539,11.68,P2_02_04_11.csv,34.865162108998796,12.098427879759955
92,0,1,35.179,12.484,34.539,11.644,P2_02_04_11.csv,34.85846873994008,12.05514947545726
93,0,1,35.161,12.448,34.521,11.608,P2_02_04_11.csv,34.84764898248281,12.015257739685538
94,0,1,35.134,12.303,34.44,11.572,P2_02_04_11.csv,34.82038096507231,11.957719870300302
95,0,1,35.107,12.357,34.467,11.526,P2_02_04_11.csv,34.800513998803396,11.921263594704262
96,0,1,35.107,12.312,34.467,11.481,P2_02_04_11.csv,34.786897952413995,11.883265253752795
97,0,1,35.107,12.267,34.467,11.436,P2_02_04_11.csv,34.778310063852786,11.843737067212937
98,0,1,35.107,12.222,34.468,11.391,P2_02_04_11.csv,34.77376321626699,11.802808303858312
99,0,1,35.108,12.177,34.468,11.345,P2_02_04_11.csv,34.772168531804546,11.760487512877866
100,0,1,35.108,12.131,34.468,11.3,P2_02_04_11.csv,34.77241967893751,11.717035310916236
101,0,1,35.108,12.086,34.468,11.255,P2_02_04_11.csv,34.77381616990641,11.672890468523871
102,0,1,35.108,12.041,34.468,11.21,P2_02_04_11.csv,34.77582477360076,11.628240405967215
103,0,1,35.108,11.996,34.468,11.164,P2_02_04_11.csv,34.778060218338254,11.583059243481433
104,0,1,35.171,12.113,34.523,11.019,P2_02_04_11.csv,34.8020137441505,11.549131075110608
105,0,1,35.19,11.968,34.523,10.983,P2_02_04_11.csv,34.82421284747771,11.495685972767996
106,0,1,35.172,11.896,34.532,11.065,P2_02_04_11.csv,34.839133741333264,11.462184896748477
107,0,1,35.172,11.851,34.532,11.019,P2_02_04_11.csv,34.84957579803559,11.42571521312599
108,0,1,35.172,11.787,34.532,10.956,P2_02_04_11.csv,34.856360627183456,11.380017547556324
109,0,1,35.172,11.742,34.533,10.911,P2_02_04_11.csv,34.86048185126414,11.333900337826629
110,0,1,35.019,11.598,34.506,10.694,P2_02_04_11.csv,34.82926767053504,11.237650040164091
111,0,1,35.083,11.571,34.452,10.739,P2_02_04_11.csv,34.806100119595776,11.172922007081343
112,0,1,35.029,11.48,34.461,10.739,P2_02_04_11.csv,34.78011170329509,11.113859088563212
113,0,1,35.056,11.516,34.434,10.694,P2_02_04_11.csv,34.76091505050958,11.074566417498472
114,0,1,35.056,11.462,34.434,10.639,P2_02_04_11.csv,34.74753140604404,11.032085120740838
115,0,1,35.056,11.426,34.434,10.603,P2_02_04_11.csv,34.738880994281374,10.993456548108323
116,0,1,35.038,11.372,34.416,10.549,P2_02_04_11.csv,34.727269704672594,10.950832753744564
117,0,1,35.02,11.335,34.398,10.513,P2_02_04_11.csv,34.713281555686635,10.911234831888084
118,0,1,35.02,11.281,34.398,10.458,P2_02_04_11.csv,34.7041104533504,10.867156977797883
119,0,1,35.02,11.227,34.398,10.404,P2_02_04_11.csv,34.69870911086125,10.81960712997534
120,0,1,35.093,11.218,34.39,10.051,P2_02_04_11.csv,34.70809913886767,10.722529707757781
121,0,1,35.048,11.055,34.426,10.232,P2_02_04_11.csv,34.715021977844025,10.657567154027195
122,0,1,35.048,11.0,34.426,10.178,P2_02_04_11.csv,34.72113873030481,10.595344291131129
123,0,1,35.075,11.154,34.354,10.015,P2_02_04_11.csv,34.717965139688,10.553898969083162
124,0,1,35.093,11.073,34.336,10.141,P2_02_04_11.csv,34.715686284869854,10.538460823138456
125,0,1,35.021,11.01,34.399,10.187,P2_02_04_11.csv,34.71249426771413,10.531026474060624
126,0,1,34.995,10.738,34.3,10.105,P2_02_04_11.csv,34.6872380277966,10.466436720460004
127,0,1,35.022,10.702,34.273,9.997,P2_02_04_11.csv,34.66813602222048,10.395544452155308
128,0,1,35.004,10.584,34.318,9.942,P2_02_04_11.csv,34.65941428873661,10.315239353613961
129,0,1,35.014,10.566,34.355,9.824,P2_02_04_11.csv,34.66269825967822,10.235320285167823
130,0,1,34.986,10.593,34.364,9.806,P2_02_04_11.csv,34.66300121859419,10.183321711342192
131,0,1,35.059,10.521,34.337,9.698,P2_02_04_11.csv,34.67262563155771,10.118597982737505
132,0,1,35.041,10.457,34.338,9.526,P2_02_04_11.csv,34.677583948814494,10.033509140837237
133,0,1,35.068,10.412,34.338,9.489,P2_02_04_11.csv,34.686638260234936,9.961337403552372
