time_step,object_id,user_type,tl_x,tl_y,br_x,br_y,__file__,x_m,y_m
0,0,1,36.879,10.122,35.828,9.363,P2_02_03_08.csv,36.3535,9.7425
1,0,1,36.907,10.15,35.809,9.354,P2_02_03_08.csv,36.35650993377483,9.748854304635762
2,0,1,36.861,10.132,35.762,9.336,P2_02_03_08.csv,36.328742167099826,9.740683909659522
3,0,1,36.814,10.151,35.716,9.355,P2_02_03_08.csv,36.287907965226154,9.747122099161404
4,0,1,36.758,10.142,35.66,9.346,P2_02_03_08.csv,36.2372491480985,9.746080724880034
5,0,1,36.721,10.143,35.622,9.347,P2_02_03_08.csv,36.19090913873832,9.745864775883684
6,0,1,36.665,10.144,35.566,9.347,P2_02_03_08.csv,36.13913087986598,9.745909936653222
7,0,1,36.628,10.153,35.529,9.357,P2_02_03_08.csv,36.09201918608496,9.749844772718308
8,0,1,36.6,10.135,35.501,9.339,P2_02_03_08.csv,36.051618876520266,9.745414321173355
9,0,1,36.553,10.154,35.454,9.358,P2_02_03_08.csv,36.00860491800005,9.749427824488677
10,0,1,36.516,10.164,35.417,9.368,P2_02_03_08.csv,35.96749717256693,9.756165566758606
11,0,1,36.422,10.035,35.323,9.238,P2_02_03_08.csv,35.90659445811404,9.712833578259454
12,0,1,36.423,10.165,35.324,9.369,P2_02_03_08.csv,35.8660296754789,9.728093539517017
13,0,1,36.386,10.166,35.287,9.369,P2_02_03_08.csv,35.82736315368364,9.740927863877323
14,0,1,36.368,10.212,35.268,9.416,P2_02_03_08.csv,35.79685748201174,9.768277176011203
15,0,1,36.311,10.194,35.212,9.398,P2_02_03_08.csv,35.75843925112511,9.782522721873255
16,0,1,36.274,10.204,35.175,9.408,P2_02_03_08.csv,35.72078730544551,9.796273325405076
17,0,1,36.228,10.205,35.128,9.408,P2_02_03_08.csv,35.6801672385958,9.80591029532406
18,0,1,36.181,10.205,35.082,9.409,P2_02_03_08.csv,35.63720622216208,9.812224288228833
19,0,1,36.125,10.197,35.026,9.4,P2_02_03_08.csv,35.58898285028481,9.812659612081585
20,0,1,36.088,10.188,34.988,9.391,P2_02_03_08.csv,35.543642580954106,9.808490232049804
21,0,1,36.032,10.179,34.932,9.383,P2_02_03_08.csv,35.49392323607973,9.801215181659286
22,0,1,35.994,10.17,34.895,9.374,P2_02_03_08.csv,35.447762308839344,9.791698158990556
23,0,1,35.938,10.171,34.839,9.374,P2_02_03_08.csv,35.39771443360113,9.784309690191439
24,0,1,35.901,10.172,34.801,9.375,P2_02_03_08.csv,35.3515609442021,9.779075853966114
25,0,1,35.864,10.2,34.764,9.403,P2_02_03_08.csv,35.30873772469539,9.785652144257728
26,0,1,35.827,10.191,34.727,9.394,P2_02_03_08.csv,35.26847955467748,9.787744726440943
27,0,1,35.789,10.201,34.69,9.404,P2_02_03_08.csv,35.229915257473316,9.79313049460828
28,0,1,35.752,10.211,34.652,9.414,P2_02_03_08.csv,35.19250489749105,9.800961912930752
29,0,1,35.715,10.211,34.615,9.414,P2_02_03_08.csv,35.15600026258201,9.806822748258092
