time_step,object_id,user_type,tl_x,tl_y,br_x,br_y,__file__,x_m,y_m
0,0,1,37.114,12.997,38.129,13.864,P2_01_02_11.csv,37.6215,13.4305
1,0,1,37.077,12.972,38.141,13.876,P2_01_02_11.csv,37.61313907284768,13.426152317880794
2,0,1,37.052,12.971,38.116,13.876,P2_01_02_11.csv,37.59325167001352,13.4236773620321
3,0,1,37.027,12.971,38.092,13.876,P2_01_02_11.csv,37.569460696988806,13.422592241936773
4,0,1,37.002,12.971,38.067,13.876,P2_01_02_11.csv,37.54418399905599,13.422146920387785
5,0,1,36.852,13.007,37.942,13.825,P2_01_02_11.csv,37.4651514740135,13.418454838193647
8,0,1,36.99,12.983,38.054,13.888,P2_01_02_11.csv,37.47151832202208,13.424796102054785
9,0,1,36.965,12.983,38.029,13.888,P2_01_02_11.csv,37.46800037346395,13.429169639452118
10,0,1,36.94,12.983,38.004,13.888,P2_01_02_11.csv,37.45782129849361,13.43221429605474
11,0,1,36.915,12.983,37.979,13.888,P2_01_02_11.csv,37.44289809534857,13.434309514845262
12,0,1,36.877,12.97,37.942,13.875,P2_01_02_11.csv,37.41975030926393,13.430795533248881
13,0,1,36.84,12.982,37.904,13.887,P2_01_02_11.csv,37.39049306653517,13.432452477743876
14,0,1,36.827,12.97,37.892,13.875,P2_01_02_11.csv,37.36603495773256,13.429205025455595
15,0,1,36.79,12.982,37.854,13.887,P2_01_02_11.csv,37.33625010672382,13.431068932553694
16,0,1,36.777,12.97,37.842,13.874,P2_01_02_11.csv,37.31172105813233,13.427902844949339
17,0,1,36.74,12.982,37.804,13.886,P2_01_02_11.csv,37.28223166415859,13.429862995614895
18,0,1,36.727,12.969,37.792,13.874,P2_01_02_11.csv,37.25819533576086,13.426818638498188
19,0,1,36.69,12.981,37.754,13.886,P2_01_02_11.csv,37.22929704755397,13.428900031743394
20,0,1,36.677,12.969,37.742,13.874,P2_01_02_11.csv,37.205866488162535,13.426153743657599
21,0,1,36.64,12.981,37.704,13.886,P2_01_02_11.csv,37.17753595417461,13.428475953182588
22,0,1,36.627,12.981,37.692,13.886,P2_01_02_11.csv,37.1546034157983,13.430341024006754
23,0,1,36.59,12.981,37.654,13.885,P2_01_02_11.csv,37.1266881500459,13.431584951458197
24,0,1,36.577,12.981,37.642,13.885,P2_01_02_11.csv,37.10408449913412,13.432482621417165
25,0,1,36.54,12.98,37.604,13.885,P2_01_02_11.csv,37.07641859599757,13.43290605454199
26,0,1,36.527,12.98,37.592,13.885,P2_01_02_11.csv,37.053993346224,13.43314110908414
27,0,1,36.49,12.98,37.554,13.885,P2_01_02_11.csv,37.026447615345106,13.433238566349972
28,0,1,36.477,12.98,37.542,13.885,P2_01_02_11.csv,37.004095729553384,13.43324141303287
29,0,1,36.427,12.98,37.492,13.884,P2_01_02_11.csv,36.97197970333018,13.432999959291536
30,0,1,36.402,12.98,37.467,13.884,P2_01_02_11.csv,36.9414957020689,13.432768075752787
31,0,1,36.377,12.979,37.442,13.884,P2_01_02_11.csv,36.91247773668993,13.432376314022788
32,0,1,36.352,12.979,37.417,13.884,P2_01_02_11.csv,36.88470454424417,13.432059361871996
33,0,1,36.327,12.979,37.392,13.884,P2_01_02_11.csv,36.857937538185276,13.431814821414026
34,0,1,36.302,12.979,37.367,13.884,P2_01_02_11.csv,36.83194614927326,13.431635425469494
35,0,1,36.265,12.979,37.329,13.883,P2_01_02_11.csv,36.80191460845336,13.431327066882055
36,0,1,36.252,12.979,37.317,13.883,P2_01_02_11.csv,36.777956217037946,13.431106408727462
37,0,1,36.215,12.978,37.279,13.883,P2_01_02_11.csv,36.74952515682214,13.43077430630519
38,0,1,36.202,12.991,37.267,13.896,P2_01_02_11.csv,36.7267670242017,13.43533577306516
39,0,1,36.165,13.003,37.229,13.908,P2_01_02_11.csv,36.699188191982444,13.443288415917209
40,0,1,36.152,12.99,37.217,13.895,P2_01_02_11.csv,36.67699485552006,13.444486380402553
41,0,1,36.115,13.003,37.179,13.907,P2_01_02_11.csv,36.64975448493005,13.449693422239097
42,0,1,36.102,12.99,37.167,13.895,P2_01_02_11.csv,36.6277298286946,13.448793755847285
43,0,1,36.065,13.002,37.129,13.907,P2_01_02_11.csv,36.60053755098767,13.452149947695641
44,0,1,36.052,12.99,37.117,13.895,P2_01_02_11.csv,36.57848103764333,13.450031246135378
45,0,1,36.015,13.002,37.079,13.907,P2_01_02_11.csv,36.551208960675865,13.452519519209853
46,0,1,35.99,12.989,37.054,13.894,P2_01_02_11.csv,36.524440143303124,13.449454837960545
47,0,1,35.965,13.002,37.029,13.906,P2_01_02_11.csv,36.49812958244176,13.451496587623977
48,0,1,35.94,12.989,37.004,13.894,P2_01_02_11.csv,36.472212456142934,13.448375902830147
49,0,1,35.915,13.001,36.979,13.906,P2_01_02_11.csv,36.44661658097933,13.450283680605787
50,0,1,35.89,12.989,36.954,13.894,P2_01_02_11.csv,36.42127086147352,13.447319404874243
51,0,1,35.852,13.001,36.917,13.906,P2_01_02_11.csv,36.39150195928303,13.449409870146592
52,0,1,35.815,12.988,36.879,13.893,P2_01_02_11.csv,36.358326364890885,13.44626167007902
53,0,1,35.802,13.0,36.867,13.905,P2_01_02_11.csv,36.33187363948606,13.448240608728021
54,0,1,35.752,12.988,36.817,13.893,P2_01_02_11.csv,36.2969480349354,13.445404135372405
55,0,1,35.727,12.987,36.792,13.892,P2_01_02_11.csv,36.26469280293518,13.442855085249757
56,0,1,35.69,12.987,36.754,13.892,P2_01_02_11.csv,36.23009130141833,13.440979255812003
57,0,1,35.665,12.987,36.729,13.892,P2_01_02_11.csv,36.19838684546748,13.439677484324408
58,0,1,35.64,12.987,36.704,13.892,P2_01_02_11.csv,36.169044038343166,13.43884155607368
59,0,1,35.602,12.987,36.667,13.892,P2_01_02_11.csv,36.13692865272956,13.438366139935686
60,0,1,35.565,12.986,36.629,13.891,P2_01_02_11.csv,36.102635064405895,13.437787408057881
61,0,1,35.552,12.986,36.617,13.891,P2_01_02_11.csv,36.07592873781715,13.437478665860837
62,0,1,35.515,12.986,36.579,13.891,P2_01_02_11.csv,36.04592396363478,13.43736490304029
63,0,1,35.49,12.986,36.554,13.891,P2_01_02_11.csv,36.01784987781286,13.43738327242713
64,0,1,35.465,12.986,36.529,13.891,P2_01_02_11.csv,35.99123891428938,13.437483599143919
65,0,1,35.44,12.986,36.504,13.891,P2_01_02_11.csv,35.96567963944722,13.437627695162245
66,0,1,35.402,12.985,36.467,13.89,P2_01_02_11.csv,35.936220168803075,13.43741928786647
67,0,1,35.365,12.985,36.429,13.89,P2_01_02_11.csv,35.903659588784514,13.437294130486066
68,0,1,35.352,12.985,36.417,13.89,P2_01_02_11.csv,35.87796593025744,13.437231474329922
69,0,1,35.314,12.997,36.379,13.902,P2_01_02_11.csv,35.84825425852363,13.441637489879971
70,0,1,35.289,12.997,36.354,13.902,P2_01_02_11.csv,35.82014033050191,13.445043785633452
71,0,1,35.264,12.997,36.329,13.902,P2_01_02_11.csv,35.79328249792908,13.447548296483635
72,0,1,35.239,12.997,36.304,13.902,P2_01_02_11.csv,35.76736527019144,13.449284501618425
73,0,1,35.214,12.997,36.279,13.902,P2_01_02_11.csv,35.74211473774435,13.450397714203737
74,0,1,35.177,12.996,36.241,13.901,P2_01_02_11.csv,35.712696426684104,13.450660486174996
75,0,1,35.139,12.996,36.204,13.901,P2_01_02_11.csv,35.680004807206736,13.450654715749327
76,0,1,35.114,12.996,36.179,13.901,P2_01_02_11.csv,35.64947323076733,13.450479869317068
77,0,1,35.089,12.996,36.154,13.901,P2_01_02_11.csv,35.62074483191595,13.450212175350996
