time_step,object_id,user_type,tl_x,tl_y,br_x,br_y,__file__,x_m,y_m
0,0,1,35.693,13.056,36.473,13.904,P2_01_02_14.csv,36.083,13.48
1,0,1,35.669,13.031,36.486,13.917,P2_01_02_14.csv,36.07932119205298,13.475986754966888
2,0,1,35.719,13.031,36.535,13.917,P2_01_02_14.csv,36.10864456395127,13.473992635486557
3,0,1,35.731,13.018,36.548,13.905,P2_01_02_14.csv,36.130871128895414,13.465996656757783
4,0,1,35.769,13.018,36.585,13.905,P2_01_02_14.csv,36.16174483929098,13.461749184976064
5,0,1,36.106,12.97,36.748,13.843,P2_01_02_14.csv,36.29733499277032,13.433469787301835
13,0,1,36.081,12.945,36.823,13.893,P2_01_02_14.csv,36.39235122322833,13.421436281151685
14,0,1,36.056,12.957,36.81,13.88,P2_01_02_14.csv,36.44382431034996,13.414028589868309
15,0,1,36.094,12.957,36.848,13.88,P2_01_02_14.csv,36.48926455432221,13.409843207948557
16,0,1,36.119,12.957,36.873,13.88,P2_01_02_14.csv,36.52561215633986,13.407851153514992
17,0,1,36.143,12.957,36.898,13.88,P2_01_02_14.csv,36.55539033429368,13.407365906622292
18,0,1,36.181,12.945,36.935,13.868,P2_01_02_14.csv,36.585467054986694,13.403410819501714
19,0,1,36.206,12.933,36.96,13.856,P2_01_02_14.csv,36.61156809401825,13.396710286351265
20,0,1,36.243,12.945,36.997,13.868,P2_01_02_14.csv,36.63947278297994,13.396746572955474
21,0,1,36.281,12.933,37.035,13.856,P2_01_02_14.csv,36.66956909167535,13.39310962991721
22,0,1,36.306,12.933,37.06,13.856,P2_01_02_14.csv,36.696868827368384,13.390924354244572
23,0,1,36.343,12.933,37.097,13.856,P2_01_02_14.csv,36.726644218473474,13.389829181588818
24,0,1,36.381,12.933,37.135,13.856,P2_01_02_14.csv,36.758924666821784,13.389509370224877
25,0,1,36.406,12.933,37.16,13.856,P2_01_02_14.csv,36.78844643699875,13.389704348206244
26,0,1,36.443,12.933,37.197,13.856,P2_01_02_14.csv,36.820293238207306,13.390208623419273
27,0,1,36.468,12.921,37.222,13.844,P2_01_02_14.csv,36.84959180660046,13.386442644820413
28,0,1,36.506,12.908,37.26,13.831,P2_01_02_14.csv,36.88173421638512,13.378958379427527
29,0,1,36.531,12.921,37.285,13.844,P2_01_02_14.csv,36.91134357112401,13.37827585804006
30,0,1,36.568,12.909,37.322,13.832,P2_01_02_14.csv,36.94341232988582,13.373756014762458
31,0,1,36.605,12.921,37.359,13.844,P2_01_02_14.csv,36.977425371876656,13.375068383360952
32,0,1,36.63,12.909,37.384,13.832,P2_01_02_14.csv,37.008478800722095,13.372062982392077
33,0,1,36.655,12.921,37.409,13.844,P2_01_02_14.csv,37.03718290120547,13.374465741305169
34,0,1,36.693,12.909,37.447,13.832,P2_01_02_14.csv,37.06890249284037,13.372196719314447
35,0,1,36.718,12.909,37.472,13.832,P2_01_02_14.csv,37.098231860320496,13.370629445082802
36,0,1,36.743,12.909,37.497,13.832,P2_01_02_14.csv,37.12570826160108,13.369629718766744
37,0,1,36.768,12.909,37.522,13.832,P2_01_02_14.csv,37.1518180963949,13.369067726352798
38,0,1,36.805,12.909,37.559,13.832,P2_01_02_14.csv,37.181401253674146,13.368826734690428
39,0,1,36.83,12.897,37.584,13.82,P2_01_02_14.csv,37.20934223650721,13.364383305719295
40,0,1,36.868,12.885,37.621,13.807,P2_01_02_14.csv,37.240621396268764,13.356502068307867
41,0,1,36.905,12.897,37.659,13.82,P2_01_02_14.csv,37.274502270875516,13.355300671550328
42,0,1,36.93,12.885,37.684,13.808,P2_01_02_14.csv,37.3057046218804,13.350372180240955
43,0,1,36.967,12.897,37.721,13.82,P2_01_02_14.csv,37.339147411541774,13.351377327695081
44,0,1,37.005,12.885,37.759,13.808,P2_01_02_14.csv,37.37465594591533,13.348153588641281
45,0,1,37.042,12.885,37.796,13.808,P2_01_02_14.csv,37.411297886799595,13.345987011780712
46,0,1,37.079,12.885,37.833,13.808,P2_01_02_14.csv,37.44868381242381,13.344659981733187
47,0,1,37.117,12.885,37.871,13.808,P2_01_02_14.csv,37.48687744832153,13.343968408577588
48,0,1,37.154,12.885,37.908,13.808,P2_01_02_14.csv,37.52519693113074,13.343732957186484
49,0,1,37.179,12.885,37.933,13.808,P2_01_02_14.csv,37.55906678752402,13.343804169572795
50,0,1,37.217,12.886,37.971,13.808,P2_01_02_14.csv,37.59421569886496,13.344247667956944
51,0,1,37.254,12.886,38.008,13.808,P2_01_02_14.csv,37.630029942806694,13.34474634180353
52,0,1,37.291,12.886,38.045,13.808,P2_01_02_14.csv,37.66635843488826,13.34524022642073
53,0,1,37.316,12.886,38.07,13.809,P2_01_02_14.csv,37.69864069823422,13.34587618894958
54,0,1,37.341,12.873,38.095,13.796,P2_01_02_14.csv,37.72778990782982,13.341613779373278
55,0,1,37.379,12.874,38.133,13.796,P2_01_02_14.csv,37.75942442289747,13.33854197777528
56,0,1,37.416,12.874,38.17,13.796,P2_01_02_14.csv,37.79276503030801,13.336321278571146
57,0,1,37.478,12.948,38.494,13.785,P2_01_02_14.csv,37.88498853623787,13.346427956293814
58,0,1,37.578,12.911,38.344,13.822,P2_01_02_14.csv,37.94201923413005,13.354403269809714
59,0,1,37.615,12.911,38.382,13.822,P2_01_02_14.csv,37.993357353037666,13.36039934333158
60,0,1,37.628,12.912,38.394,13.822,P2_01_02_14.csv,38.03078500033174,13.364853819117977
61,0,1,37.678,12.912,38.444,13.822,P2_01_02_14.csv,38.07127587949458,13.367836516101415
62,0,1,37.703,12.912,38.469,13.822,P2_01_02_14.csv,38.10523901131109,13.36965306800553
63,0,1,37.74,12.912,38.506,13.822,P2_01_02_14.csv,38.13879315429087,13.370589081942056
64,0,1,37.765,12.912,38.531,13.822,P2_01_02_14.csv,38.16793865298337,13.37089482896297
65,0,1,37.79,12.912,38.556,13.822,P2_01_02_14.csv,38.193971532445154,13.370778386631663
66,0,1,37.827,12.912,38.594,13.822,P2_01_02_14.csv,38.22256588362072,13.370404662328387
67,0,1,37.865,12.912,38.631,13.822,P2_01_02_14.csv,38.25348492758392,13.369898206747353
68,0,1,37.889,12.912,38.656,13.822,P2_01_02_14.csv,38.28160155174584,13.369348196646717
69,0,1,37.927,12.912,38.693,13.822,P2_01_02_14.csv,38.31245453183202,13.368814391171966
70,0,1,37.964,12.912,38.731,13.823,P2_01_02_14.csv,38.345563151575945,13.368517572692777
71,0,1,37.977,12.912,38.743,13.823,P2_01_02_14.csv,38.371227548569216,13.368249335622131
72,0,1,38.002,12.913,38.756,13.81,P2_01_02_14.csv,38.39354278606407,13.365808337497866
74,0,1,38.014,12.925,38.768,13.823,P2_01_02_14.csv,38.41089943619349,13.368533560480357
75,0,1,38.039,12.925,38.793,13.823,P2_01_02_14.csv,38.429492969898114,13.370688368446274
76,0,1,38.064,12.913,38.818,13.81,P2_01_02_14.csv,38.44937639255853,13.367703276170586
77,0,1,38.101,12.913,38.855,13.81,P2_01_02_14.csv,38.474904914211535,13.36532586361478
