time_step,object_id,user_type,tl_x,tl_y,br_x,br_y,__file__,x_m,y_m
0,1,1,32.11,9.343,31.352,8.636,P2_02_01_02.csv,31.731,8.9895
1,1,1,32.138,9.362,31.343,8.627,P2_02_01_02.csv,31.737354304635762,8.992844370860928
2,1,1,32.166,9.362,31.371,8.627,P2_02_01_02.csv,31.758132606199766,8.994506137094536
3,1,1,32.203,9.371,31.408,8.636,P2_02_01_02.csv,31.789600625770024,9.000359995193286
4,1,1,32.23,9.362,31.435,8.627,P2_02_01_02.csv,31.82013013301698,8.998800154820856
5,1,1,32.267,9.371,31.472,8.636,P2_02_01_02.csv,31.854556696385874,9.001946630629002
6,1,1,32.304,9.371,31.509,8.636,P2_02_01_02.csv,31.891034283347125,9.003807085053854
7,1,1,32.341,9.37,31.546,8.636,P2_02_01_02.csv,31.92867881522864,9.004671293502263
8,1,1,32.378,9.38,31.583,8.645,P2_02_01_02.csv,31.967015564308937,9.008851846111488
9,1,1,32.415,9.389,31.62,8.654,P2_02_01_02.csv,32.00574733536133,9.015131899253715
10,1,1,32.443,9.389,31.648,8.654,P2_02_01_02.csv,32.041265013723844,9.019494984407931
11,1,1,32.489,9.398,31.694,8.663,P2_02_01_02.csv,32.081004324318066,9.025735269545395
12,1,1,32.526,9.407,31.731,8.672,P2_02_01_02.csv,32.12052894875745,9.033361495290858
13,1,1,32.562,9.407,31.768,8.672,P2_02_01_02.csv,32.159556377599316,9.038647898345447
14,1,1,32.599,9.416,31.805,8.681,P2_02_01_02.csv,32.198264384626974,9.045371698782011
15,1,1,32.636,9.425,31.842,8.69,P2_02_01_02.csv,32.23663842407374,9.053182979581546
16,1,1,32.673,9.425,31.879,8.69,P2_02_01_02.csv,32.2746933383905,9.058456313162335
17,1,1,32.71,9.425,31.915,8.69,P2_02_01_02.csv,32.312278674090095,9.061708671881005
18,1,1,32.747,9.434,31.952,8.699,P2_02_01_02.csv,32.349665727199564,9.066746198478006
19,1,1,32.784,9.443,31.989,8.708,P2_02_01_02.csv,32.38689686174205,9.073225512687705
20,1,1,32.821,9.434,32.026,8.699,P2_02_01_02.csv,32.42401122306792,9.07417718077048
21,1,1,32.858,9.443,32.063,8.708,P2_02_01_02.csv,32.46104279751284,9.077486729969925
22,1,1,32.885,9.434,32.091,8.699,P2_02_01_02.csv,32.49451668611165,9.076099565495944
23,1,1,32.867,9.489,32.377,8.698,P2_02_01_02.csv,32.56453808730249,9.08441649475462
24,1,1,32.959,9.461,32.266,8.717,P2_02_01_02.csv,32.60980485299648,9.08872943630236
25,1,1,32.996,9.461,32.303,8.717,P2_02_01_02.csv,32.65223783411349,9.091473718309304
26,1,1,33.033,9.461,32.34,8.717,P2_02_01_02.csv,32.69245020946429,9.093009674574184
27,1,1,33.07,9.452,32.377,8.708,P2_02_01_02.csv,32.73100546325273,9.090342574381367
28,1,1,33.106,9.452,32.414,8.708,P2_02_01_02.csv,32.76820663388461,9.08783704159826
29,1,1,33.291,9.396,32.358,8.791,P2_02_01_02.csv,32.81482045999917,9.090609843519276
30,1,1,33.18,9.451,32.451,8.735,P2_02_01_02.csv,32.8416993102038,9.092405645493434
31,1,1,33.458,10.214,32.293,8.533,P2_02_01_02.csv,32.878707805495154,9.197003137136978
32,1,1,33.522,10.242,32.413,8.441,P2_02_01_02.csv,32.935736046787795,9.265262601304352
33,1,1,33.504,10.214,32.468,8.45,P2_02_01_02.csv,32.981083262602475,9.310910671431065
34,1,1,33.44,10.297,32.56,8.339,P2_02_01_02.csv,33.01526384644117,9.336242966714272
35,1,1,33.18,9.415,32.45,8.698,P2_02_01_02.csv,32.96742274021592,9.254374600194765
36,1,1,33.217,9.414,32.487,8.698,P2_02_01_02.csv,32.938750607104886,9.186783466676795
37,1,1,33.438,9.368,32.699,8.707,P2_02_01_02.csv,32.99357729849617,9.126900132124364
38,1,1,33.429,9.377,32.699,8.689,P2_02_01_02.csv,33.03248405162561,9.080332566477711
39,1,1,33.456,9.377,32.727,8.689,P2_02_01_02.csv,33.06968939834762,9.047173004010682
40,1,1,33.578,10.343,32.763,8.284,P2_02_01_02.csv,33.12403682762445,9.128529304164703
41,1,1,33.484,9.368,32.755,8.679,P2_02_01_02.csv,33.14323584670243,9.08766851945868
42,1,1,33.521,9.368,32.792,8.679,P2_02_01_02.csv,33.16711190576948,9.056774020139038
43,1,1,33.834,9.367,33.031,8.605,P2_02_01_02.csv,33.283099433423075,9.020800367657715
44,1,1,33.76,9.33,33.031,8.642,P2_02_01_02.csv,33.35455321688918,8.995324635634233
45,1,1,33.871,9.404,33.013,8.725,P2_02_01_02.csv,33.42006031951396,9.007442439122807
46,1,1,33.908,9.367,32.985,8.734,P2_02_01_02.csv,33.46481816271763,9.014464489464892
47,1,1,33.926,9.385,33.022,8.716,P2_02_01_02.csv,33.50175780151257,9.021760816708566
48,1,1,33.843,9.376,33.087,8.706,P2_02_01_02.csv,33.51955462223979,9.025148047451914
49,1,1,33.88,9.376,33.123,8.706,P2_02_01_02.csv,33.53991239745176,9.028545973551457
50,1,1,33.917,9.385,33.16,8.715,P2_02_01_02.csv,33.56335386603092,9.034998845300555
51,1,1,33.945,9.394,33.188,8.725,P2_02_01_02.csv,33.58650123244774,9.043767071986728
52,1,1,33.965,10.378,33.252,8.393,P2_02_01_02.csv,33.6150101034061,9.170744367643936
53,1,1,33.983,10.397,33.307,8.274,P2_02_01_02.csv,33.645947932166116,9.249536023897779
54,1,1,33.972,9.385,33.216,8.715,P2_02_01_02.csv,33.646601088737505,9.20084863076586
55,1,1,34.0,9.385,33.243,8.715,P2_02_01_02.csv,33.65297287560444,9.158125895910072
56,1,1,34.064,9.523,33.39,8.595,P2_02_01_02.csv,33.693391190217106,9.12588145388019
57,1,1,34.092,9.394,33.345,8.715,P2_02_01_02.csv,33.71844438942003,9.09855192442777
58,1,1,34.119,9.394,33.372,8.715,P2_02_01_02.csv,33.74421976593653,9.077798260995978
59,1,1,34.258,9.467,33.63,8.742,P2_02_01_02.csv,33.8337780641909,9.081279333949537
60,1,1,34.294,9.44,33.566,8.761,P2_02_01_02.csv,33.89391354950138,9.08384724175829
61,1,1,34.322,9.44,33.593,8.761,P2_02_01_02.csv,33.94488403687697,9.08679154627399
62,1,1,34.359,9.449,33.63,8.77,P2_02_01_02.csv,33.991706201641726,9.093057711332847
63,1,1,34.396,9.439,33.667,8.76,P2_02_01_02.csv,34.035129050884656,9.09463319055687
64,1,1,34.432,9.448,33.704,8.77,P2_02_01_02.csv,34.07571119337874,9.09951702550836
65,1,1,34.469,9.439,33.741,8.76,P2_02_01_02.csv,34.11435995423556,9.099851209863225
66,1,1,34.506,9.439,33.778,8.76,P2_02_01_02.csv,34.15165714204601,9.100034279560237
67,1,1,34.451,9.402,33.731,8.751,P2_02_01_02.csv,34.15563305671333,9.091627618010316
68,1,1,34.46,9.412,33.741,8.742,P2_02_01_02.csv,34.156510190075394,9.08530275174775
69,1,1,34.423,9.412,33.777,8.714,P2_02_01_02.csv,34.15242928946736,9.075488471676866
70,1,1,34.46,9.421,33.879,8.742,P2_02_01_02.csv,34.17131087561089,9.075121003778053
71,1,1,34.515,9.411,33.814,8.742,P2_02_01_02.csv,34.18124376480991,9.073552429565073
72,1,1,34.552,9.411,33.851,8.742,P2_02_01_02.csv,34.19982554658204,9.072796367109857
73,1,1,34.57,9.411,33.87,8.742,P2_02_01_02.csv,34.218510220654835,9.07261332760093
74,1,1,34.598,9.411,33.897,8.742,P2_02_01_02.csv,34.240563355322024,9.07280658878518
75,1,1,34.635,9.411,33.934,8.742,P2_02_01_02.csv,34.26867834715076,9.073222058140418
76,1,1,34.653,9.411,33.952,8.741,P2_02_01_02.csv,34.2943211935992,9.073560456193912
77,1,1,34.681,9.42,33.98,8.751,P2_02_01_02.csv,34.32148293936849,9.077470445837086
78,1,1,34.699,9.42,33.999,8.751,P2_02_01_02.csv,34.34616767106266,9.080576866161016
79,1,1,34.828,9.457,34.109,8.732,P2_02_01_02.csv,34.40603453556076,9.086247337344586
80,1,1,34.8,9.42,34.1,8.75,P2_02_01_02.csv,34.44197182085643,9.08698038120118
81,1,1,34.975,9.53,34.174,8.805,P2_02_01_02.csv,34.51119884576198,9.117702428977244
82,1,1,34.995,9.962,34.21,8.75,P2_02_01_02.csv,34.57025564103507,9.210551722981615
83,1,1,34.938,9.475,34.155,8.897,P2_02_01_02.csv,34.589454557132704,9.218048715806034
84,1,1,34.948,9.493,34.238,8.833,P2_02_01_02.csv,34.61530604336189,9.211755446727281
85,1,1,35.095,9.53,34.22,8.86,P2_02_01_02.csv,34.65363437439879,9.21570650459254
86,1,1,34.957,9.502,34.229,8.814,P2_02_01_02.csv,34.65435845393899,9.202914228364964
87,1,1,35.012,9.484,34.266,8.87,P2_02_01_02.csv,34.66689989312963,9.198274657127522
88,1,1,34.985,9.502,34.284,8.851,P2_02_01_02.csv,34.6709415943025,9.19347090579801
89,1,1,35.049,9.723,34.376,8.722,P2_02_01_02.csv,34.69935523012814,9.206049373402253
90,1,1,35.198,10.292,34.44,8.511,P2_02_01_02.csv,34.757602658773585,9.281292266848897
91,1,1,35.308,10.384,34.513,8.446,P2_02_01_02.csv,34.832988195780295,9.343322537811936
92,1,1,35.234,10.338,34.614,8.4,P2_02_01_02.csv,34.89171610377483,9.371218679934646
93,1,1,35.021,9.511,34.33,8.86,P2_02_01_02.csv,34.83973841967213,9.320999677176566
94,1,1,35.104,9.64,34.588,8.768,P2_02_01_02.csv,34.85673560219707,9.285350267484311
95,1,1,35.262,10.329,34.642,8.345,P2_02_01_02.csv,34.90569390320932,9.305415876736117
96,1,1,35.159,9.52,34.477,8.869,P2_02_01_02.csv,34.89087724981706,9.26805529930696
97,1,1,35.187,9.52,34.505,8.869,P2_02_01_02.csv,34.8860560291947,9.238624699656157
98,1,1,35.196,9.52,34.514,8.869,P2_02_01_02.csv,34.88314784120609,9.216538819425764
99,1,1,35.224,9.52,34.542,8.869,P2_02_01_02.csv,34.88939858451703,9.200844600455483
100,1,1,35.242,9.511,34.56,8.86,P2_02_01_02.csv,34.899472716525956,9.187114336404113
101,1,1,35.27,9.511,34.588,8.86,P2_02_01_02.csv,34.91627722097183,9.178317964943929
102,1,1,35.306,9.511,34.625,8.86,P2_02_01_02.csv,34.94135407619688,9.173335345439483
103,1,1,35.334,9.502,34.652,8.85,P2_02_01_02.csv,34.96924283214311,9.167653775381792
104,1,1,35.362,9.501,34.68,8.85,P2_02_01_02.csv,34.999060234011765,9.164545730541326
105,1,1,35.398,9.501,34.716,8.85,P2_02_01_02.csv,35.03290030468179,9.163453953461708
106,1,1,35.426,9.501,34.744,8.85,P2_02_01_02.csv,35.06650206874106,9.163721821288233
107,1,1,35.435,9.501,34.753,8.85,P2_02_01_02.csv,35.09250325750576,9.164826768080632
108,1,1,35.472,9.501,34.79,8.85,P2_02_01_02.csv,35.12267848121852,9.166372380475414
109,1,1,35.49,9.501,34.808,8.85,P2_02_01_02.csv,35.149026055259235,9.168073384084307
110,1,1,35.408,9.685,34.882,8.923,P2_02_01_02.csv,35.16418282462545,9.217113522737854
111,1,1,35.399,9.713,34.891,8.896,P2_02_01_02.csv,35.172227324774056,9.255161164782134
112,1,1,35.472,9.63,34.809,8.979,P2_02_01_02.csv,35.17348348575963,9.283101392481859
113,1,1,35.49,9.639,34.827,8.988,P2_02_01_02.csv,35.178292159430285,9.305758849680252
114,1,1,35.509,9.639,34.846,8.988,P2_02_01_02.csv,35.18676038951819,9.320677888121866
115,1,1,35.527,9.648,34.864,8.997,P2_02_01_02.csv,35.198007065895524,9.332844337335718
116,1,1,35.555,9.657,34.892,9.006,P2_02_01_02.csv,35.21523126343128,9.343021448207738
117,1,1,35.582,9.666,34.919,9.015,P2_02_01_02.csv,35.236716659847616,9.351849134867075
118,1,1,35.601,9.675,34.938,9.024,P2_02_01_02.csv,35.25838088345182,9.359838602718678
119,1,1,35.628,9.685,34.965,9.034,P2_02_01_02.csv,35.28289580686354,9.367747869919553
120,1,1,35.656,9.703,34.993,9.052,P2_02_01_02.csv,35.30977655482627,9.37872211536238
121,1,1,35.684,9.712,35.02,9.061,P2_02_01_02.csv,35.3380554675749,9.388871380095292
122,1,1,36.162,10.152,35.149,8.96,P2_02_01_02.csv,35.468912587924585,9.457582657428478
123,1,1,35.702,9.712,35.039,9.061,P2_02_01_02.csv,35.46127423979474,9.446288477751152
124,1,1,35.73,9.721,35.066,9.07,P2_02_01_02.csv,35.45937842870988,9.437725975281346
125,1,1,35.757,9.73,35.094,9.079,P2_02_01_02.csv,35.46344361158375,9.432283451151289
126,1,1,35.794,9.684,35.131,9.153,P2_02_01_02.csv,35.476636590726216,9.43180157796782
127,1,1,35.821,9.693,35.159,9.162,P2_02_01_02.csv,35.493981145910226,9.43375866118637
128,1,1,35.84,9.684,35.177,9.153,P2_02_01_02.csv,35.51143537480277,9.431178734553566
129,1,1,36.024,10.014,35.434,9.014,P2_02_01_02.csv,35.60351656455702,9.463752140024955
130,1,1,36.162,10.023,35.443,9.033,P2_02_01_02.csv,35.698717442436966,9.49347024195255
131,1,1,35.849,9.684,35.186,9.153,P2_02_01_02.csv,35.661989538942514,9.474604109182192
132,1,1,35.877,9.693,35.214,9.162,P2_02_01_02.csv,35.63764547320372,9.461554071338298
133,1,1,35.886,9.702,35.223,9.171,P2_02_01_02.csv,35.61827346549766,9.453927805286359
134,1,1,35.922,9.693,35.26,9.162,P2_02_01_02.csv,35.61443356417211,9.44441033169791
135,1,1,35.959,9.711,35.297,9.18,P2_02_01_02.csv,35.62378885474876,9.443694558653188
136,1,1,35.987,9.711,35.324,9.18,P2_02_01_02.csv,35.64016844851239,9.443386133113606
137,1,1,36.014,9.711,35.352,9.18,P2_02_01_02.csv,35.661866155872325,9.44335937766829
139,1,1,36.005,9.702,35.342,9.171,P2_02_01_02.csv,35.673740891202925,9.440194393676933
140,1,1,36.051,9.702,35.388,9.171,P2_02_01_02.csv,35.698178003647676,9.43790275690592
141,1,1,36.253,9.711,35.646,9.115,P2_02_01_02.csv,35.800097478820085,9.427680431000566
142,1,1,36.271,9.674,35.618,9.143,P2_02_01_02.csv,35.87446802449907,9.41840141084813
143,1,1,36.244,9.711,35.591,9.179,P2_02_01_02.csv,35.917029048177355,9.425213768644136
144,1,1,36.437,9.811,35.691,8.931,P2_02_01_02.csv,35.99794836689374,9.403803838158446
145,1,1,36.474,9.756,35.746,8.977,P2_02_01_02.csv,36.07124156075573,9.386021929951445
146,1,1,36.822,9.535,36.178,9.004,P2_02_01_02.csv,36.26437977317942,9.337482277606155
147,1,1,36.455,9.627,35.811,9.096,P2_02_01_02.csv,36.26972397140677,9.335356119097465
148,1,1,36.492,9.609,35.848,9.078,P2_02_01_02.csv,36.27587579207049,9.329454761532475
149,1,1,36.336,9.646,35.738,9.106,P2_02_01_02.csv,36.2223118566259,9.338827425938701
150,1,1,36.528,9.618,35.93,9.078,P2_02_01_02.csv,36.244559976889434,9.337374857651499
151,1,1,36.565,9.6,35.967,9.059,P2_02_01_02.csv,36.271010591056964,9.330481358398066
152,1,1,36.629,9.581,36.041,9.041,P2_02_01_02.csv,36.312750462601585,9.319230727379292
153,1,1,36.629,9.59,36.041,9.05,P2_02_01_02.csv,36.34086925841792,9.31479225183657
