scenario,variable,effect,sum_sq,df,F,p_value,significant,n
avoidance,distance_min,C(model),9.65007593103993,1.0,636.6758469229552,3.250475653969115e-56,True,160
avoidance,distance_min,C(sfm),0.31821475803062765,1.0,20.994617246571256,9.537591046742334e-06,True,160
avoidance,distance_min,C(speed_type),0.7400029369700262,1.0,48.8226206703115,8.229477818148203e-11,True,160
avoidance,distance_min,C(model):C(sfm),0.02961013991040065,1.0,1.9535660692910175,0.16423963374404602,False,160
avoidance,distance_min,C(model):C(speed_type),0.0066655363328996416,1.0,0.4397671085980026,0.5082393210081607,False,160
avoidance,distance_min,C(sfm):C(speed_type),0.011947910730624772,1.0,0.7882783760190202,0.37602397511504326,False,160
avoidance,distance_min,C(model):C(sfm):C(speed_type),0.03563516903039945,1.0,2.351074912239294,0.12727542160617453,False,160
avoidance,distance_min,Residual,2.3038592536644003,152.0,,,False,160
avoidance,angle_at_min,C(model),217.97622240856597,1.0,18.18412204853694,3.508739633616249e-05,True,160
avoidance,angle_at_min,C(sfm),64.7790470911845,1.0,5.404030244574648,0.02141381536501567,True,160
avoidance,angle_at_min,C(speed_type),17.69450862380032,1.0,1.4761201971882143,0.22626646788260626,False,160
avoidance,angle_at_min,C(model):C(sfm),1.6917873358524083,1.0,0.14113313395094604,0.7076808787079414,False,160
avoidance,angle_at_min,C(model):C(speed_type),3.299510125856871,1.0,0.27525339308112995,0.6005936420041842,False,160
avoidance,angle_at_min,C(sfm):C(speed_type),18.268369545685108,1.0,1.523993111614998,0.2189213121930754,False,160
avoidance,angle_at_min,C(model):C(sfm):C(speed_type),21.472087869611656,1.0,1.7912553128206887,0.18277183773370467,False,160
avoidance,angle_at_min,Residual,1822.0503424726958,152.0,,,False,160
avoidance,angle_increase_distance,C(model),0.5702958325524917,1.0,0.6810515444318852,0.4105181680587811,False,160
avoidance,angle_increase_distance,C(sfm),0.0010319258264053343,1.0,0.001232333532347556,0.9720423849330696,False,160
avoidance,angle_increase_distance,C(speed_type),112.48078240349517,1.0,134.3253907922538,1.1756623943111772e-22,True,160
avoidance,angle_increase_distance,C(model):C(sfm),4.209300536370044,1.0,5.02677815203729,0.02640578457786844,True,160
avoidance,angle_increase_distance,C(model):C(speed_type),7.936812058220095,1.0,9.478200263051859,0.00246771053900165,True,160
avoidance,angle_increase_distance,C(sfm):C(speed_type),0.5633823863840451,1.0,0.6727954553608961,0.41336310704023016,False,160
avoidance,angle_increase_distance,C(model):C(sfm):C(speed_type),0.017273977659009832,1.0,0.0206287131899525,0.8859852613554313,False,160
avoidance,angle_increase_distance,Residual,127.28106595850832,152.0,,,False,160
avoidance,relative_speed_mean,C(model),0.672540495520722,1.0,3.257123250153373,0.07309330889761462,False,160
avoidance,relative_speed_mean,C(sfm),0.18147000884523032,1.0,0.8788618513710393,0.35000078578152904,False,160
avoidance,relative_speed_mean,C(speed_type),37.256693624561265,1.0,180.434700715595,1.2914650343113788e-27,True,160
avoidance,relative_speed_mean,C(model):C(sfm),0.06379972631569535,1.0,0.30898298811788133,0.579122222564194,False,160
avoidance,relative_speed_mean,C(model):C(speed_type),0.2750108381309686,1.0,1.3318814270462682,0.2502821047065319,False,160
avoidance,relative_speed_mean,C(sfm):C(speed_type),0.2936108392012546,1.0,1.421961498569693,0.23493906382278373,False,160
avoidance,relative_speed_mean,C(model):C(sfm):C(speed_type),0.00018241576456186717,1.0,0.000883442159849324,0.976327154455292,False,160
avoidance,relative_speed_mean,Residual,31.38541205474373,152.0,,,False,160
avoidance,cyclist_speed_mean,C(model),0.19845401343574456,1.0,1.3652985753999034,0.24445065067014599,False,160
avoidance,cyclist_speed_mean,C(sfm),0.3301544060109335,1.0,2.2713541156711132,0.1338602318249443,False,160
avoidance,cyclist_speed_mean,C(speed_type),42.39784211010956,1.0,291.683259163236,3.487294770187183e-37,True,160
avoidance,cyclist_speed_mean,C(model):C(sfm),0.02226449181584787,1.0,0.15317240720869604,0.6960700323457969,False,160
avoidance,cyclist_speed_mean,C(model):C(speed_type),0.17957352131712406,1.0,1.2354069771090586,0.26811307342174245,False,160
avoidance,cyclist_speed_mean,C(sfm):C(speed_type),0.34828803564160454,1.0,2.396107544805469,0.12371713248224796,False,160
avoidance,cyclist_speed_mean,C(model):C(sfm):C(speed_type),0.0089160713910658,1.0,0.06133964920960078,0.8047252083962622,False,160
avoidance,cyclist_speed_mean,Residual,22.094075673811993,152.0,,,False,160
