speed_bin,distance_min,distance_min,distance_min,distance_min,distance_min,distance_min,angle_at_min,angle_at_min,angle_at_min,angle_at_min,angle_at_min,angle_at_min,relative_speed_mean,relative_speed_mean,relative_speed_mean,relative_speed_mean,relative_speed_mean,relative_speed_mean,cyclist_speed_mean,cyclist_speed_mean,cyclist_speed_mean,cyclist_speed_mean,cyclist_speed_mean,cyclist_speed_mean,model,sfm
,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,,
3-4 m/s,1.370402,0.12265191383749391,1.370402,1.283674,1.45713,2,87.4688055,5.469021939671889,87.4688055,83.601623,91.335988,2,4.960627384739613,0.04569310741759638,4.960627384739613,4.928317478631145,4.99293729084808,2,3.3948042555435696,0.15828064480467358,3.3948042555435696,3.2828829382716056,3.5067255728155335,2,Moussaid,SFM
4–5 m/s,1.3668447777777777,0.09824081591397968,1.338292,1.255385,1.529924,9,89.1846228888889,3.3554778566171217,89.787581,84.006685,93.314699,9,5.328395515958733,0.27803392346479316,5.406804615726422,4.733146922914469,5.680623197248547,9,3.88817392482594,0.24696554679320182,3.896105174377224,3.5631093820598,4.180321268199234,9,Moussaid,SFM
5–6 m/s,1.2420367142857143,0.09814500518062429,1.250686,1.095024,1.346363,7,87.24009014285714,4.608325605181253,87.352854,81.440759,95.237497,7,6.016793191412838,0.2426604185703713,5.949808369557792,5.638127425765405,6.33078163674479,7,4.431164965912745,0.15753146126350576,4.486041080321286,4.2616128725868725,4.630228917355372,7,Moussaid,SFM
6–7 m/s,1.253073,,1.253073,1.253073,1.253073,1,90.456648,,90.456648,90.456648,90.456648,1,6.296842727027454,,6.296842727027454,6.296842727027454,6.296842727027454,1,4.898783193415638,,4.898783193415638,4.898783193415638,4.898783193415638,1,Moussaid,SFM
> 7 m/s,1.1641,,1.1641,1.1641,1.1641,1,87.764831,,87.764831,87.764831,87.764831,1,7.246577394306599,,7.246577394306599,7.246577394306599,7.246577394306599,1,5.302368737864078,,5.302368737864078,5.302368737864078,5.302368737864078,1,Moussaid,SFM
3-4 m/s,1.38676075,0.06473347276525489,1.3830795,1.317183,1.463701,4,87.95819875,2.334403921372702,87.158334,86.170534,91.345593,4,4.634531648038572,0.4045385736132259,4.746402466541347,4.062035692853666,4.98328596621793,4,3.078950888237712,0.15277226989452364,3.0733260507418088,2.9090278646408843,3.2601235868263476,4,Moussaid,Without SFM
4–5 m/s,1.27820525,0.08635087647458234,1.2991644999999998,1.156512,1.417669,8,88.474019125,2.289271443656037,88.9978485,83.651478,91.118375,8,5.401432380622397,0.4041953711062829,5.354780677637213,4.8683966257884075,6.151892641185995,8,3.8530034920038916,0.18385040144247597,3.84408422064057,3.5533415625,4.167796670454545,8,Moussaid,Without SFM
5–6 m/s,1.1177009999999998,0.03501120906938238,1.126894,1.075839,1.16328,5,89.5311158,4.104912295534488,91.866538,84.490099,93.18076,5,5.993128815497116,0.3624866821557745,6.125989022103392,5.433151976717934,6.314705184598098,5,4.429859346038521,0.14455775372273336,4.5243697950819675,4.25407183011583,4.550810554621849,5,Moussaid,Without SFM
6–7 m/s,1.100549,0.11099866878030575,1.060268,1.015315,1.226064,3,86.87208400000002,7.183958391824587,83.313066,82.162425,95.140761,3,6.5344663174799775,0.17051571977085425,6.477842698451022,6.399465742237449,6.72609051175146,3,4.933513349062486,0.1396297143739263,4.879564394736842,4.828906711009174,5.0920689414414415,3,Moussaid,Without SFM
