scenario,variable,effect,sum_sq,df,F,p_value,significant,n
overtaking,distance_min,C(model),2.104728949155598,1.0,114.83586489307511,2.6018591638796213e-20,True,160
overtaking,distance_min,C(sfm),0.028066366972900172,1.0,1.5313256973219687,0.21782180547675437,False,160
overtaking,distance_min,C(speed_type),0.5113844027161032,1.0,27.90158333798397,4.347615361219259e-07,True,160
overtaking,distance_min,C(model):C(sfm),1.6124240250009243e-06,1.0,8.797527470681725e-05,0.9925286398342626,False,160
overtaking,distance_min,C(model):C(speed_type),0.43525329442562083,1.0,23.747803028498815,2.734787335859377e-06,True,160
overtaking,distance_min,C(sfm):C(speed_type),0.0014062876569000957,1.0,0.07672829293927283,0.782157423728189,False,160
overtaking,distance_min,C(model):C(sfm):C(speed_type),0.015828342895224713,1.0,0.8636083268235195,0.3542043596310465,False,160
overtaking,distance_min,Residual,2.7858787894316,152.0,,,False,160
overtaking,angle_at_min,C(model),60.59763555286696,1.0,3.540377791547035,0.061803851772898724,False,160
overtaking,angle_at_min,C(sfm),28.847050575197642,1.0,1.685370332955705,0.19617874250301626,False,160
overtaking,angle_at_min,C(speed_type),80.44845868163834,1.0,4.700149335565726,0.03171602324827746,True,160
overtaking,angle_at_min,C(model):C(sfm),5.16581868937705,1.0,0.3018096266656042,0.5835563744655168,False,160
overtaking,angle_at_min,C(model):C(speed_type),30.864386483715144,1.0,1.8032318828898561,0.18132407637392475,False,160
overtaking,angle_at_min,C(sfm):C(speed_type),19.30403877404885,1.0,1.127826020590864,0.2899239363675152,False,160
overtaking,angle_at_min,C(model):C(sfm):C(speed_type),1.6959414748763664,1.0,0.09908428734282092,0.7533629879565177,False,160
overtaking,angle_at_min,Residual,2601.6547234104437,152.0,,,False,160
overtaking,angle_increase_distance,C(model),3.5373859519853035,1.0,5.253302265909904,0.023277877303684445,True,160
overtaking,angle_increase_distance,C(sfm),0.97350754917182,1.0,1.4457369038497176,0.23108298407979105,False,160
overtaking,angle_increase_distance,C(speed_type),94.40107695209471,1.0,140.1931816850373,2.4886054325727926e-23,True,160
overtaking,angle_increase_distance,C(model):C(sfm),3.8043086012509946,1.0,5.649703839626549,0.018702979114295824,True,160
overtaking,angle_increase_distance,C(model):C(speed_type),8.117277954003873,1.0,12.054809751493641,0.0006728466073501557,True,160
overtaking,angle_increase_distance,C(sfm):C(speed_type),2.230934798036715,1.0,3.3131173665248435,0.07069618530533546,False,160
overtaking,angle_increase_distance,C(model):C(sfm):C(speed_type),2.929936461987629,1.0,4.351190982169538,0.038653762065578516,True,160
overtaking,angle_increase_distance,Residual,102.35136633788125,152.0,,,False,160
overtaking,relative_speed_mean,C(model),0.03198036533026255,1.0,0.1856413128239623,0.6671797224954679,False,160
overtaking,relative_speed_mean,C(sfm),0.04045984179310075,1.0,0.23486342540350758,0.6286385162925902,False,160
overtaking,relative_speed_mean,C(speed_type),32.00688143006861,1.0,185.79523487982792,3.8043545921899054e-28,True,160
overtaking,relative_speed_mean,C(model):C(sfm),0.6413807783070041,1.0,3.723120998630238,0.05552666011306081,False,160
overtaking,relative_speed_mean,C(model):C(speed_type),0.10246739415970041,1.0,0.5948081385879848,0.44176309637979716,False,160
overtaking,relative_speed_mean,C(sfm):C(speed_type),0.23208366594363172,1.0,1.3472115151231134,0.24758587991943573,False,160
overtaking,relative_speed_mean,C(model):C(sfm):C(speed_type),0.08880405555619438,1.0,0.5154944694125752,0.4738720403400704,False,160
overtaking,relative_speed_mean,Residual,26.184987900885258,152.0,,,False,160
overtaking,cyclist_speed_mean,C(model),0.2793538254900807,1.0,2.2765495497506323,0.13341959831887357,False,160
overtaking,cyclist_speed_mean,C(sfm),0.32004317276064387,1.0,2.6081409107994427,0.10839021454961197,False,160
overtaking,cyclist_speed_mean,C(speed_type),32.342552514327714,1.0,263.5704853338168,5.136675733305558e-35,True,160
overtaking,cyclist_speed_mean,C(model):C(sfm),0.2114394362154279,1.0,1.7230920409674213,0.19127404172819218,False,160
overtaking,cyclist_speed_mean,C(model):C(speed_type),0.22586354435075726,1.0,1.8406390150367078,0.1768875877095634,False,160
overtaking,cyclist_speed_mean,C(sfm):C(speed_type),0.31516009432065123,1.0,2.568347040053409,0.11109766262103067,False,160
overtaking,cyclist_speed_mean,C(model):C(sfm):C(speed_type),0.2558773152466774,1.0,2.0852314651295445,0.15078771516786388,False,160
overtaking,cyclist_speed_mean,Residual,18.651815190731703,152.0,,,False,160
