scenario,variable,effect,sum_sq,df,F,p_value,significant,n
overtaking,distance_min,C(model),2.104728949155598,1.0,114.83586489307511,2.6018591638796213e-20,True,160
overtaking,distance_min,C(speed_type),0.5113844027161032,1.0,27.90158333798397,4.347615361219259e-07,True,160
overtaking,distance_min,C(model):C(speed_type),0.43525329442562083,1.0,23.747803028498815,2.734787335859377e-06,True,160
overtaking,angle_at_min,C(speed_type),80.44845868163834,1.0,4.700149335565726,0.03171602324827746,True,160
overtaking,angle_increase_distance,C(model),3.5373859519853035,1.0,5.253302265909904,0.023277877303684445,True,160
overtaking,angle_increase_distance,C(speed_type),94.40107695209471,1.0,140.1931816850373,2.4886054325727926e-23,True,160
overtaking,angle_increase_distance,C(model):C(sfm),3.8043086012509946,1.0,5.649703839626549,0.018702979114295824,True,160
overtaking,angle_increase_distance,C(model):C(speed_type),8.117277954003873,1.0,12.054809751493641,0.0006728466073501557,True,160
overtaking,angle_increase_distance,C(model):C(sfm):C(speed_type),2.929936461987629,1.0,4.351190982169538,0.038653762065578516,True,160
overtaking,relative_speed_mean,C(speed_type),32.00688143006861,1.0,185.79523487982792,3.8043545921899054e-28,True,160
overtaking,cyclist_speed_mean,C(speed_type),32.342552514327714,1.0,263.5704853338168,5.136675733305558e-35,True,160
