simulation_id,distance_min,angle_at_min,relative_speed_mean,cyclist_speed_mean,pedestrian_speed_mean,cyclist_speed_max,distance_mean,angle_mean,heading_mean,cyclist_delta_v_mean,pedestrian_delta_v_mean,cyclist_delta_v_abs_mean,pedestrian_delta_v_abs_mean,cyclist_acc_mean,pedestrian_acc_mean,cyclist_acc_mean_positive,pedestrian_acc_mean_positive,cyclist_dec_mean,pedestrian_dec_mean,model,speed_type,sfm,angle_increase_distance
1,1.217447,90.781487,3.2162129945953093,4.73814805670103,1.5322809278350518,6.256919,8.713545639175258,49.69677954639175,0.18256207114667683,0.0254539896373057,0.008105176165803108,0.034841844559585486,0.00834619170984456,0.6363401101284311,0.2026360592177462,0.8979018423422487,0.4725019650129074,-0.7548819068219033,-0.01615015644608907,Moussaid,Fixed,SFM,7.644841
2,1.14171,94.225099,4.056268952124913,4.774161862244898,0.7225414591836735,6.32822,9.277025535714285,68.1570904234694,-0.5195107520130652,-0.0006968724489795964,-0.004530719387755101,0.060179647959183666,0.01196312755102041,0.602647077289229,0.08618888897309746,0.8233154522153973,0.28454924435216633,-1.5337782163020257,-0.028045306378969015,Moussaid,Fixed,SFM,8.1923
3,1.246982,87.742979,3.3956961403735826,4.810377358585858,1.4319202727272728,6.402175,8.878760176767678,54.416145166666674,0.95282058667356,-0.0002938636363636405,0.003714651515151516,0.059911792929292926,0.011454651515151511,0.5890791856707479,0.17729461344063913,0.8242940219671174,0.344388315070232,-1.7172750649614388,-0.03632825196132466,Moussaid,Fixed,SFM,7.744118
4,1.256042,92.271151,3.5258926680658402,4.7524296598984765,1.2399539847715737,6.405273,8.82586685786802,57.27186940609136,-0.1790433463897239,0.0010469695431472071,-0.0007855837563451783,0.05948160913705584,0.014556578680203049,0.6209492069739593,0.15835231305849132,0.9088267951712145,0.2512027569940217,-0.8350187698190361,-0.04605028002830748,Moussaid,Fixed,SFM,8.407382
5,1.179737,87.208446,3.2341832460896875,4.704862595744681,1.4796134680851065,6.317913,8.735446962765957,45.858420319148955,0.2072493043547889,0.002878867021276601,0.0013734095744680846,0.059311824468085105,0.014936164893617022,0.719837676030104,0.19972607806729137,0.8803808424518929,0.5398117717787929,-0.5149398453978411,-0.035369687256524195,Moussaid,Fixed,SFM,8.09824
6,1.241795,90.510623,3.3139914843003706,4.75909537755102,1.4576907857142858,6.318032,8.779103331632653,51.3897518367347,-1.1265205055367005,-0.003209704081632653,-0.00021211224489795918,0.06257737755102041,0.015837500000000004,0.6090039364604615,0.18578812723090493,0.8080431011183271,0.47262952915714135,-1.7388657770032296,-0.02669312749244399,Moussaid,Fixed,SFM,7.656271
7,1.218951,91.031417,3.904232809973862,4.706422296875,0.8090019166666668,6.37519,8.971644203125,63.705019265625,-1.3897198545466372,0.0021069114583333326,-0.0034779010416666656,0.05909298437499999,0.012047067708333336,0.6757589153191207,0.10392387476320906,0.811447940438452,0.17139950832236162,-1.7126365478088623,-0.021948465862401928,Moussaid,Fixed,SFM,8.117573
8,1.183489,86.8177,3.739534926794207,4.826358868020304,1.0991604365482233,6.227083,9.03130121319797,64.25901783248732,-0.48984226197123387,-0.003918487309644673,0.0012330355329949235,0.06209280203045685,0.010082873096446699,0.550778140378566,0.12202200086982025,0.8225985989224625,0.28467821477492883,-1.3743193900035848,-0.03165056564684627,Moussaid,Fixed,SFM,8.474458
9,1.096046,87.699242,3.1572204812774083,4.751116510526316,1.6074289684210525,6.197287,8.672058321052631,45.835110284210515,-0.19612791599373428,0.0031303631578947456,0.003133336842105263,0.059151773684210526,0.014231915789473686,0.6507605388897687,0.20456221860864834,0.9679362673973249,0.5381250714117796,-0.5924703681036846,-0.01261541446717339,Moussaid,Fixed,SFM,7.899021
10,1.149457,90.266849,3.6443010616718166,4.782985050251256,1.1553802914572864,6.369717,8.941984819095477,60.41364973869346,-0.789347980434039,-0.0019098944723618056,-0.002367211055276381,0.060996115577889434,0.01446911055276382,0.5817302301110253,0.14522688295459085,0.8495783923534721,0.25954769644449804,-1.2485098434022652,-0.015479270251258934,Moussaid,Fixed,SFM,7.879656
11,1.088159,95.205779,3.216870963379368,4.678133258706468,1.47566207960199,6.013179,8.66145404477612,54.046003796019896,0.015012648100145744,-0.0014554378109452747,0.0014542388059701496,0.05663294029850747,0.01392467661691542,0.5398696347426388,0.18069492730360123,0.8774091690171417,0.3331099362964149,-0.7170679076532848,-0.028305758809271792,Moussaid,Fixed,SFM,7.711898
12,1.32903,92.696734,3.4729445378201533,4.782288780612245,1.325364586734694,6.456562,8.804094357142857,54.96894269387756,-1.0013206590020838,0.002982454081632657,-0.0006306785714285724,0.05815366836734694,0.014533505102040817,0.6286012912826638,0.16912165279666264,0.9133069323422678,0.3213312867042256,-0.8573059294428957,-0.024033485329000927,Moussaid,Fixed,SFM,8.088379
