speed_bin,distance_min,distance_min,distance_min,distance_min,distance_min,distance_min,angle_at_min,angle_at_min,angle_at_min,angle_at_min,angle_at_min,angle_at_min,relative_speed_mean,relative_speed_mean,relative_speed_mean,relative_speed_mean,relative_speed_mean,relative_speed_mean,cyclist_speed_mean,cyclist_speed_mean,cyclist_speed_mean,cyclist_speed_mean,cyclist_speed_mean,cyclist_speed_mean,model,sfm
,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,,
< 3 m/s,1.302264,,1.302264,1.302264,1.302264,1,85.239708,,85.239708,85.239708,85.239708,1,1.40359660474104,,1.40359660474104,1.40359660474104,1.40359660474104,1,2.3940013173333337,,2.3940013173333337,2.3940013173333337,2.3940013173333337,1,Moussaid,SFM
3-4 m/s,1.6425239999999999,0.23690764175517856,1.6425239999999999,1.475005,1.810043,2,102.7305565,18.815400805058935,102.7305565,89.426059,116.035054,2,1.7853848575314528,0.2757767158506718,1.7853848575314528,1.5903812716600871,1.9803884434028185,2,3.2211545115172644,0.14796965666499817,3.2211545115172644,3.116524163879599,3.3257848591549295,2,Moussaid,SFM
4–5 m/s,1.5098832222222223,0.11447298576495873,1.503932,1.311576,1.690345,9,92.759908,2.1319403028286787,93.136867,89.832344,96.66952,9,2.398991090012167,0.2246676760814133,2.311644935336513,2.167975584289504,2.844704549131643,9,3.844033210868261,0.12471051226179115,3.8372400942622953,3.603590375494071,4.0294649559471365,9,Moussaid,SFM
5–6 m/s,1.3081479999999999,0.0995672787475886,1.3429250000000001,1.130577,1.415999,6,91.39697583333333,1.494482116924446,90.959406,89.99394,93.796145,6,2.9258287687038322,0.36476216671184664,2.7425496545217327,2.627557960283313,3.4816846535110972,6,4.308029340700673,0.2209480083489442,4.325255057077625,4.008386801687763,4.673242296482412,6,Moussaid,SFM
6–7 m/s,1.23136,0.05026397843386449,1.23136,1.195818,1.266902,2,92.27215699999999,2.8679897491535895,92.27215699999999,90.244182,94.300132,2,3.4366643062558957,0.004727040652750674,3.4366643062558957,3.433321783755391,3.4400068287564,2,4.635508290089303,0.01953610436078661,4.635508290089303,4.6216941782178225,4.6493224019607835,2,Moussaid,SFM
3-4 m/s,1.2143785,0.09655048122355482,1.2143785,1.146107,1.28265,2,86.6257035,0.6980423793585119,86.6257035,86.132113,87.119294,2,1.5850709659885691,0.077017143980472,1.5850709659885691,1.5306116212123568,1.6395303107647816,2,3.081934259455782,0.0523702413473899,3.081934259455782,3.0449029066666666,3.1189656122448977,2,Moussaid,Without SFM
4–5 m/s,1.5104415,0.14043019844545038,1.520369,1.255806,1.672415,8,99.444294375,6.382114349594359,95.91394600000001,92.90678,108.174731,8,2.1426920676120593,0.32640382775060306,2.133836217038804,1.7369848941458148,2.817798052950135,8,3.6875607783266338,0.1930640070176516,3.60708537283157,3.482202576208178,4.073209824034334,8,Moussaid,Without SFM
5–6 m/s,1.2933382999999998,0.08091042743683359,1.3065795,1.156698,1.410795,10,93.1844261,1.9118834813071666,93.6989045,90.579063,96.290194,10,2.936650993921502,0.31850298955106,2.935273665941323,2.4469410455096936,3.369685117020484,10,4.33979847748608,0.1708390244022442,4.297068655449994,4.11486650660793,4.570683684210526,10,Moussaid,Without SFM
3-4 m/s,1.4344838,0.10494886534260389,1.408486,1.319971,1.567783,5,89.2327398,6.265220112523434,87.788855,83.099204,99.843504,5,1.6926074051322104,0.2397869725342185,1.7016540767286024,1.461690691879853,2.0678963674996433,5,3.0359681248328525,0.2823996887326384,3.1732633205574916,2.6651641411764704,3.318864736462094,5,NES,SFM
4–5 m/s,1.5397567272727273,0.13516591042425663,1.546991,1.266404,1.823262,11,92.199993,7.425110512972856,89.621779,88.095438,113.99933,11,2.316303701941219,0.36081591506832855,2.298835509472918,1.7732361983649916,2.826194877698877,11,3.6098760007376325,0.17347424500840106,3.6176316385542164,3.284103695035461,3.858890469387754,11,NES,SFM
5–6 m/s,1.6434756666666666,0.06881589572426805,1.61079,1.597094,1.722543,3,91.55699266666666,1.9774593273684176,92.189025,89.34078,93.141173,3,2.8638284216726575,0.17225753934349888,2.8841746477328583,2.682301338234786,3.025009279050329,3,4.242351738987867,0.04279819755119001,4.231913834080719,4.205738009009009,4.289403373873873,3,NES,SFM
6–7 m/s,1.555326,,1.555326,1.555326,1.555326,1,92.552256,,92.552256,92.552256,92.552256,1,3.407041998871376,,3.407041998871376,3.407041998871376,3.407041998871376,1,4.708293882653062,,4.708293882653062,4.708293882653062,4.708293882653062,1,NES,SFM
< 3 m/s,1.176022,,1.176022,1.176022,1.176022,1,94.108765,,94.108765,94.108765,94.108765,1,1.410793852920106,,1.410793852920106,1.410793852920106,1.410793852920106,1,2.495736961111111,,2.495736961111111,2.495736961111111,2.495736961111111,1,NES,Without SFM
4–5 m/s,1.5832002222222221,0.11981223551329996,1.617615,1.412642,1.754911,9,92.02057155555556,2.3892177854171788,92.819317,87.450852,95.25862,9,2.4101975680374563,0.19363499007627413,2.408124134789347,2.0536308004752373,2.726057856636896,9,3.736179102777448,0.17698276499129603,3.752063336363636,3.5279548661417324,4.039670687224669,9,NES,Without SFM
5–6 m/s,1.4916141,0.1901011210279939,1.57793,1.189767,1.690292,10,92.486572,2.8999392854693418,91.562477,89.707511,99.494346,10,2.847275149915896,0.3099028545053418,2.8959283073035174,2.212658149176575,3.2689189157633667,10,4.282043907148154,0.14383946587669866,4.2719629948425855,4.045508034188034,4.479961535545024,10,NES,Without SFM
