dataset_id,object_id,user_type,ingroup,group_id,gender,age,disable,cellphone,talking,extra_luggage
D1,1,cyc,0,,f,y,0,0,0,0
D1,2,ped,1,1,m,y,0,0,1,0
D1,3,ped,1,1,m,y,0,0,1,0
D1,4,ped,0,,f,y,0,0,0,0
D1,5,ped,1,2,m,y,0,0,1,0
D1,6,ped,1,2,m,y,0,0,1,0
D1,7,ped,1,2,m,y,0,0,1,0
D1,8,ped,1,2,m,y,0,0,1,0
D1,9,ped,1,2,m,y,0,0,1,0
D1,10,ped,1,3,m,y,0,0,1,0
D1,11,ped,1,3,m,y,0,0,1,0
D1,12,ped,1,3,m,y,0,0,1,0
D1,13,ped,1,4,m,y,0,0,1,0
D1,14,ped,1,4,m,y,0,0,1,0
D1,15,ped,0,,m,y,0,0,0,1
D1,16,veh,0,,u,u,0,0,0,0
D1,17,ped,0,,f,y,0,0,0,0
D1,18,ped,0,,m,y,0,0,0,0
D1,19,cyc,0,,f,y,0,0,0,0
D1,20,ped,1,5,m,y,0,0,1,0
D1,21,ped,1,5,m,y,0,0,1,0
D1,22,ped,1,6,f,y,0,0,1,0
D1,23,ped,1,6,m,y,0,0,1,0
D1,24,ped,0,,m,y,0,0,0,0
D1,25,ped,0,,m,y,0,0,0,0
D1,26,cyc,0,,m,y,0,0,0,0
D1,27,ped,0,,f,y,0,0,0,0
D1,28,ped,0,,m,y,0,0,0,0
D1,29,ped,0,,m,y,0,0,0,0
D1,30,ped,1,7,m,y,0,0,1,0
D1,31,ped,1,7,f,y,0,0,1,0
D1,32,ped,1,7,m,y,0,0,1,0
D1,33,ped,1,7,m,y,0,0,1,0
D1,34,ped,1,7,m,y,0,0,1,0
D1,35,ped,1,7,m,y,0,0,1,0
D1,36,ped,1,8,m,y,0,0,1,0
D1,37,ped,1,8,m,y,0,0,1,0
D1,38,ped,1,8,m,y,0,0,1,0
D1,39,ped,1,8,m,y,0,0,1,0
D1,40,ped,0,,m,y,0,0,0,0
D1,41,ped,1,9,m,y,0,0,1,0
D1,42,ped,1,9,m,y,0,0,1,0
D1,43,ped,1,9,m,y,0,0,0,0
D1,44,ped,1,10,m,y,0,0,1,0
D1,45,ped,1,10,m,y,0,0,1,0
D1,46,ped,0,,m,y,0,0,0,0
D1,47,veh,0,,u,u,0,0,0,0
D1,48,ped,1,11,m,y,0,0,0,0
D1,49,ped,1,11,m,y,0,0,0,0
D1,50,ped,1,11,m,y,0,0,1,0
D1,51,ped,1,11,m,y,0,0,1,0
D1,52,ped,1,11,f,y,0,0,1,0
D1,53,ped,1,11,m,y,0,0,1,0
D1,54,ped,1,11,m,y,0,0,1,0
D1,55,ped,1,11,m,y,0,0,1,0
D1,56,ped,1,11,m,y,0,0,1,0
D1,57,ped,1,12,m,y,0,0,1,0
D1,58,ped,1,12,m,y,0,0,1,0
D1,59,ped,0,,m,y,0,0,0,0
D1,60,ped,1,13,m,y,0,0,1,0
D1,61,ped,1,13,m,y,0,0,1,0
D1,62,ped,1,14,m,y,0,0,1,0
D1,63,ped,1,14,f,y,0,0,1,0
D1,64,ped,1,14,m,y,0,0,1,0
D1,65,ped,1,14,m,y,0,0,1,0
D1,66,ped,0,,m,y,0,0,0,0
D1,67,ped,0,,m,y,0,0,0,0
D1,68,ped,0,,f,y,0,0,0,0
D1,69,ped,0,,m,y,0,0,0,0
D1,70,ped,0,,m,y,0,0,0,0
D1,71,ped,1,15,m,y,0,0,1,0
